iter	Passed	Remaining
0	13	13864
1	25	12872
2	38	12649
3	50	12625
4	64	12831
5	77	12856
6	97	13837
7	114	14235
8	130	14330
9	142	14141
10	153	13777
11	164	13538
12	177	13460
13	205	14478
14	227	14949
15	239	14729
16	255	14748
17	278	15211
18	292	15120
19	319	15662
20	340	15882
21	359	15987
22	387	16444
23	418	17032
24	434	16930
25	465	17435
26	491	17729
27	519	18049
28	556	18636
29	581	18806
30	606	18944
31	627	18993
32	646	18945
33	661	18788
34	683	18840
35	703	18830
36	727	18928
37	744	18844
38	755	18610
39	770	18489
40	786	18401
41	801	18277
42	812	18078
43	826	17955
44	840	17827
45	851	17661
46	867	17585
47	889	17633
48	915	17773
49	933	17742
50	950	17682
51	979	17857
52	1000	17877
53	1016	17807
54	1055	18128
55	1069	18029
56	1081	17891
57	1109	18024
58	1140	18193
59	1168	18307
60	1193	18365
61	1210	18313
62	1238	18422
63	1256	18377
64	1303	18749
65	1341	18984
66	1367	19049
67	1401	19212
68	1426	19244
69	1496	19886
70	1504	19687
71	1536	19798
72	1564	19868
73	1603	20070
74	1618	19965
75	1628	19793
76	1635	19603
77	1648	19491
78	1661	19371
79	1669	19196
80	1686	19135
81	1701	19043
82	1713	18931
83	1726	18827
84	1737	18698
85	1753	18637
86	1772	18604
87	1792	18576
88	1797	18403
89	1825	18456
90	1852	18506
91	1872	18480
92	1886	18399
93	1908	18398
94	1924	18338
95	1955	18417
96	1973	18367
97	1991	18326
98	2009	18291
99	2042	18378
100	2107	18757
101	2124	18699
102	2150	18724
103	2161	18619
104	2173	18525
105	2185	18436
106	2217	18503
107	2244	18542
108	2301	18813
109	2317	18750
110	2342	18764
111	2372	18814
112	2393	18784
113	2454	19075
114	2490	19163
115	2533	19306
116	2576	19441
117	2599	19426
118	2607	19307
119	2622	19233
120	2636	19149
121	2649	19065
122	2658	18953
123	2673	18889
124	2684	18793
125	2704	18756
126	2715	18668
127	2731	18609
128	2750	18570
129	2767	18517
130	2782	18460
131	2798	18400
132	2815	18351
133	2829	18285
134	2849	18257
135	2865	18203
136	2885	18178
137	2899	18110
138	2911	18036
139	2930	17998
140	2944	17937
141	2958	17875
142	2971	17805
143	2977	17700
144	2994	17656
145	3012	17619
146	3024	17551
147	3049	17554
148	3069	17532
149	3083	17474
150	3102	17442
151	3118	17399
152	3138	17372
153	3157	17347
154	3176	17315
155	3197	17301
156	3214	17257
157	3236	17247
158	3266	17275
159	3282	17235
160	3300	17200
161	3322	17185
162	3345	17177
163	3366	17161
164	3383	17121
165	3398	17073
166	3415	17037
167	3430	16991
168	3446	16946
169	3464	16914
170	3478	16865
171	3495	16826
172	3517	16812
173	3529	16753
174	3541	16695
175	3555	16646
176	3571	16604
177	3587	16567
178	3605	16535
179	3618	16483
180	3633	16440
181	3650	16408
182	3666	16367
183	3673	16292
184	3688	16249
185	3702	16201
186	3716	16159
187	3731	16117
188	3743	16061
189	3761	16037
190	3780	16012
191	3797	15980
192	3814	15950
193	3827	15903
194	3838	15846
195	3851	15800
196	3870	15776
197	3883	15730
198	3901	15702
199	3917	15669
200	3936	15647
201	3949	15604
202	3962	15558
203	3978	15524
204	3992	15481
205	4009	15453
206	4019	15396
207	4042	15393
208	4057	15355
209	4072	15321
210	4081	15263
211	4097	15230
212	4110	15189
213	4125	15151
214	4132	15087
215	4143	15039
216	4155	14993
217	4172	14967
218	4185	14926
219	4194	14870
220	4207	14830
221	4215	14774
222	4223	14717
223	4237	14679
224	4245	14624
225	4263	14601
226	4274	14554
227	4287	14517
228	4301	14480
229	4320	14463
230	4337	14438
231	4367	14458
232	4387	14443
233	4408	14432
234	4431	14426
235	4446	14394
236	4467	14382
237	4486	14363
238	4503	14340
239	4515	14299
240	4539	14296
241	4559	14280
242	4574	14249
243	4588	14217
244	4603	14186
245	4621	14164
246	4639	14142
247	4658	14124
248	4673	14094
249	4690	14072
250	4705	14042
251	4720	14013
252	4738	13990
253	4752	13958
254	4768	13932
255	4787	13914
256	4806	13894
257	4821	13867
258	4836	13836
259	4853	13813
260	4868	13784
261	4876	13737
262	4892	13709
263	4909	13686
264	4925	13660
265	4947	13651
266	4966	13635
267	4981	13606
268	4990	13560
269	5006	13535
270	5021	13506
271	5032	13469
272	5050	13449
273	5064	13418
274	5074	13377
275	5089	13351
276	5103	13321
277	5115	13286
278	5129	13254
279	5148	13238
280	5160	13203
281	5168	13158
282	5179	13123
283	5193	13093
284	5202	13052
285	5214	13018
286	5228	12988
287	5243	12964
288	5260	12942
289	5277	12920
290	5290	12889
291	5300	12852
292	5315	12827
293	5327	12793
294	5338	12757
295	5349	12722
296	5364	12697
297	5381	12677
298	5393	12644
299	5408	12618
300	5416	12577
301	5426	12541
302	5438	12511
303	5447	12470
304	5459	12440
305	5473	12413
306	5486	12384
307	5493	12342
308	5507	12315
309	5519	12285
310	5528	12246
311	5539	12215
312	5552	12187
313	5568	12165
314	5586	12148
315	5602	12125
316	5615	12098
317	5632	12079
318	5651	12063
319	5666	12042
320	5676	12007
321	5690	11981
322	5708	11965
323	5722	11939
324	5737	11916
325	5755	11898
326	5767	11870
327	5781	11844
328	5791	11812
329	5804	11785
330	5820	11764
331	5837	11744
332	5850	11719
333	5867	11699
334	5882	11676
335	5896	11652
336	5911	11630
337	5925	11604
338	5950	11603
339	5967	11584
340	5982	11561
341	5997	11538
342	6010	11512
343	6022	11485
344	6032	11453
345	6048	11432
346	6060	11404
347	6073	11378
348	6088	11357
349	6099	11327
350	6115	11307
351	6131	11287
352	6142	11258
353	6164	11248
354	6173	11217
355	6187	11193
356	6201	11170
357	6219	11153
358	6233	11129
359	6250	11112
360	6258	11078
361	6268	11047
362	6282	11025
363	6298	11005
364	6310	10977
365	6318	10945
366	6343	10941
367	6358	10919
368	6366	10886
369	6379	10861
