hostname,tic_id,disc_year,disc_facility
TOI-1744,TIC 229455001,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-4377,TIC 394918211,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-858 B,TIC 198008005,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-1296,TIC 219854185,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-3807,TIC 289661991,2023,Transiting Exoplanet Survey Satellite (TESS)
HD 191939,TIC 269701147,2020,Transiting Exoplanet Survey Satellite (TESS)
TIC 38825265,TIC 38825265,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-1759,TIC 408636441,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-1410,TIC 199444169,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-5110,TIC 239977528,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-791,TIC 306472057,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-5624,TIC 53498154,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-7166,TIC 288421619,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-6695,TIC 118339710,2025,Transiting Exoplanet Survey Satellite (TESS)
HD 207496,TIC 290348383,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-1776,TIC 21535395,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-2525,TIC 149601126,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-1768,TIC 137906197,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1782,TIC 160045097,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-2141,TIC 287256467,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-4562,TIC 349576261,2023,Transiting Exoplanet Survey Satellite (TESS)
GJ 3090,TIC 262530407,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-206,TIC 55650590,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-707,TIC 167342439,2026,Transiting Exoplanet Survey Satellite (TESS)
GJ 3929,TIC 188589164,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-283,TIC 382626661,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-205,TIC 281575427,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-6019,TIC 125520907,2026,Transiting Exoplanet Survey Satellite (TESS)
TOI-286,TIC 150030205,2024,Transiting Exoplanet Survey Satellite (TESS)
HD 15906,TIC 4646810,2023,Transiting Exoplanet Survey Satellite (TESS)
TOI-1279,TIC 224297258,2024,Transiting Exoplanet Survey Satellite (TESS)
TOI-1807,TIC 180695581,2021,Transiting Exoplanet Survey Satellite (TESS)
TOI-1860,TIC 202426247,2022,Transiting Exoplanet Survey Satellite (TESS)
TOI-5592,TIC 88529975,2025,Transiting Exoplanet Survey Satellite (TESS)
TOI-1444,TIC 258514800,2021,Transiting Exoplanet Survey Satellite (TESS)
GJ 143,TIC 279741379,2019,Transiting Exoplanet Survey Satellite (TESS)
TOI-1659,TIC 288631580,2024,Transiting Exoplanet Survey Satellite (TESS)
