tid,toi,tfopwg_disp
384549882,1048.01,FP
16288184,1049.01,KP
144065872,105.01,KP
66818296,1050.01,KP
259863352,1051.01,FA
317060587,1052.01,CP
112395568,1053.01,FP
366989877,1054.01,CP
320004517,1055.01,CP
421894914,1056.01,PC
323132914,1057.01,PC
31553893,1058.01,PC
380783252,1059.01,PC
38846515,106.01,KP
101230735,1060.01,APC
253990973,1061.01,FP
299799658,1062.01,CP
406976746,1063.01,PC
79748331,1064.01,CP
79748331,1064.02,CP
7088246,1065.01,KP
201604954,1066.01,KP
201642601,1067.01,KP
6663331,1068.01,KP
31858843,1069.01,KP
92352620,107.01,KP
31858844,1070.01,FP
120247528,1071.01,KP
140830390,1072.01,FP
158297421,1073.01,CP
327301957,1074.01,PC
351601843,1075.01,CP
360742636,1076.01,KP
369960846,1077.01,PC
50365310,1000.01,FP
88863718,1001.01,PC
124709665,1002.01,FP
106997505,1003.01,FP
238597883,1004.01,FP
169904935,1005.01,FP
156115721,1006.01,FP
65212867,1007.01,PC
440801822,1008.01,FP
107782586,1009.01,PC
231663901,101.01,KP
139853601,1010.01,FP
114018671,1011.01,PC
427508467,1012.01,APC
97700520,1013.01,FP
96246348,1014.01,FP
155044736,1015.01,FP
175310067,1016.01,FP
182943944,1017.01,FP
291555748,1018.01,FP
341420329,1019.01,PC
149603524,102.01,KP
140706664,1020.01,FP
143994283,1021.01,FP
47384844,1022.01,FA
238374636,1023.01,FP
141482386,1024.01,FP
297967252,1025.01,FP
388624270,1026.01,FP
20318757,1027.01,PC
20318757,1027.02,PC
20318757,1027.03,PC
447283466,1028.01,FP
374908020,1029.01,FP
336732616,103.01,KP
464296022,1030.01,FP
304021498,1031.01,FP
146589986,1032.01,PC
149601557,1033.01,FP
400595342,1034.01,FP
361413119,1035.01,PC
146172354,1036.01,PC
363260203,1037.01,FP
90544017,1038.01,FP
461867584,1039.01,APC
231670397,104.01,KP
310483807,1040.01,FP
385624852,1041.01,FP
360286627,1042.01,FP
90448944,1043.01,FP
463402815,1044.01,PC
54044474,1045.01,FP
309787037,1046.01,FP
370745311,1047.01,FP
295599256,1108.01,FP
50309953,1109.01,FP
355703913,111.01,KP
446549905,1110.01,FP
412014494,1111.01,FP
369864738,1112.01,FP
290348382,1113.01,FP
409934330,1114.01,APC
