host,label,cadence_min,n_points
11_Com,1,2.0000232433812926,13502
11_UMi,1,1.9999879162787693,17584
14_And,1,2.0000272621109616,13878
14_Her,1,1.9999987747723935,18189
16_Cyg_B,1,2.0000199344940484,18345
17_Sco,1,2.0001023600343615,12720
18_Del,1,1.999970264514559,13386
1RXS_J160929.1-210524,1,2.00010705520981,12499
24_Boo,1,2.0000407212864957,17779
24_Sex,1,2.000051463546697,12834
2MASS_J01033563-5515561_A,1,1.9999961947178235,18271
2MASS_J01225093-2439505,1,1.9999911416743998,12869
2MASS_J02192210-3925225,1,2.0000035468910937,12295
2MASS_J0249-0557_A,1,9.999933915751171,3229
2MASS_J03590986+2009361,1,2.00019302603323,14022
2MASS_J04372171+2651014,1,2.0001791618415155,15263
2MASS_J04414489+2301513,1,2.0001747626520228,15204
2MASS_J11011926-7732383,1,2.0000139014882734,11700
2MASS_J11550485-7919108,1,2.0000141594937304,19512
2MASS_J12073346-3932539,1,1.999999150975782,14795
2MASS_J16262785-2625152,1,2.0001224779116455,12349
2MASS_J19383260+4603591,1,2.000014904369891,18394
2MASS_J21252752-8138278,1,1.9999981428554747,17212
2MASS_J22362452+4751425,1,0.33333787265291903,107640
2MASS_J22501512+2325342,1,1.9999977355473675,16290
47_UMa,1,0.3333365387516096,91569
4_UMa,1,2.000016601050447,17610
51_Eri,1,2.000001875749149,17253
51_Peg,1,0.3333345205464866,111344
55_Cnc,1,1.999972993216943,17335
55_Cnc_B,1,1.999972993216943,17335
61_Vir,1,2.000021272979211,15050
6_Lyn,1,1.9999676507359254,17625
70_Vir,1,2.000013885772205,13218
75_Cet,1,1.9999810892841197,14843
7_CMa,1,2.0000179480484803,14621
8_UMi,1,1.9999976399412844,17654
91_Aqr,1,2.0000010791409295,9432
AB_Aur,1,2.000183854070201,15605
AB_Pic,1,2.0000128596439026,18254
AF_Lep,1,2.000038085243432,17314
AT2021ueyL,1,0.3333365308935754,104127
AU_Mic,1,1.9999737173020549,17687
BD+03_2562,1,0.3333670462598093,98710
BD+05_4868_A,1,10.000067907676566,2405
BD+14_4559,1,1.9999849878513487,17204
BD+15_2375,1,2.0000279821033473,16148
BD+15_2940,1,2.0000379785051337,7803
BD+20_2457,1,2.0001991035678657,16506
BD+20_274,1,2.000010531046428,12712
BD+20_594,1,2.000190845428733,12201
BD+37_3172,1,0.33333385195874143,113600
BD+42_2315,1,3.333314279516344,6999
BD+45_564,1,1.999984405374562,15155
BD+48_738,1,3.333349209788139,11672
BD+49_828,1,3.3333673117522267,11591
BD+55_362,1,29.99980294429406,1000
BD+60_1417,1,2.0000051649913075,17746
BD+63_1405,1,1.9999941169226076,18416
BD-06_1339,1,1.9999790573274367,14674
BD-08_2823,1,2.0000400631761295,13055
BD-10_3166,1,1.9999911321792752,15774
BD-11_4672,1,1.999984971480444,12935
BD-13_2130,1,1.9999984967944329,16341
BD-14_3065_A,1,2.0000118315510917,15832
BD-210397,1,2.000034059965401,13023
BEBOP-3,1,2.000035035016481,16379
BEBOP-4_A,1,1.9999662768896087,12942
Barnard's_star,1,0.333328481647186,91147
CD-35_2722,1,1.999997518469172,14633
CD_Cet,1,2.0000226635238505,14782
CI_Tau,1,2.000171745166881,15129
COCONUTS-2_A,1,1.999965157774568,12578
CT_Cha,1,3.333396521047689,11273
CoRoT-1,1,2.0000273357800324,14628
CoRoT-10,1,1.9999635393469362,9366
CoRoT-11,1,1.99999770935392,11952
CoRoT-12,1,2.0000226419142564,14652
CoRoT-13,1,2.000029369701224,14638
CoRoT-14,1,2.0000320512554026,14619
CoRoT-16,1,1.9999876513975323,12217
CoRoT-17,1,1.9999876523797866,12320
CoRoT-18,1,2.0000132551649585,14620
CoRoT-19,1,2.000009231851436,14654
CoRoT-2,1,1.9999668901436962,9399
CoRoT-20,1,2.0000112654452096,14648
CoRoT-21,1,2.000023333421268,14615
CoRoT-22,1,1.9999973757148837,11967
CoRoT-23,1,1.9999936886597425,11878
CoRoT-24,1,2.000026666210033,14611
CoRoT-25,1,1.999997041421011,11989
CoRoT-26,1,1.9999943579023238,11954
CoRoT-28,1,1.9999903345888015,11924
CoRoT-29,1,1.9999910057958914,11991
CoRoT-3,1,1.9999668901436962,9410
CoRoT-30,1,1.999986310620443,11776
CoRoT-31,1,1.9999775954056531,13456
CoRoT-32,1,2.0000192881707335,14622
CoRoT-4,1,2.0000273564073723,14655
CoRoT-5,1,2.0000240036461037,14656
CoRoT-6,1,1.9999990511132637,11993
CoRoT-7,1,2.00002331246651,14619
CoRoT-8,1,1.9999662195914425,9400
CoRoT-9,1,1.9999977119732648,11921
DENIS-P_J082303.1-491201,1,2.00001357767178,13085
DE_CVn,1,2.0000111695117084,13872
DH_Tau,1,2.000176478322828,15409
DMPP-1,1,1.9999743844164186,14604
DMPP-2,1,0.3333284809923498,183114
DMPP-3_A,1,1.9999848658881092,18277
DMPP-4,1,2.000016748388589,18397
DMPP-6,1,1.9999629044832545,18265
DMPP-7,1,2.0000373564107576,13428
DMPP-8,1,1.99999143520472,17207
DMPP-9,1,2.000022951324354,17219
DP_Leo,1,1.9999991490112734,15965
DS_Tuc_A,1,1.9999928272227407,18268
EPIC_201170410,1,2.0001761371531757,16202
EPIC_201238110,1,2.000200101538212,15988
EPIC_201427007,1,1.9998944901453797,10084
EPIC_201497682,1,2.000182507399586,16186
EPIC_201595106,1,2.000199596659513,16261
EPIC_201757695,1,2.0001788193621906,16230
EPIC_201841433,1,2.000177812878974,16232
EPIC_206024342,1,1.9999387177813333,9727
EPIC_206032309,1,1.9999702350469306,9519
EPIC_206042996,1,1.999958834348945,9749
EPIC_206317286,1,1.9999655411811545,9649
EPIC_211822797,1,2.0001970991143025,15281
EPIC_211945201,1,2.0001924052485265,15273
EPIC_212297394,1,0.3333378778916085,92628
EPIC_212424622,1,1.9999729454139015,11660
EPIC_212499991,1,1.9999709311377956,11531
EPIC_212587672,1,0.3333298293000553,68143
EPIC_212624936,1,1.9999923907744233,11364
EPIC_212737443,1,1.999962885165587,10218
EPIC_220492298,1,2.0001140675231,12953
EPIC_220674823,1,0.3333512830431573,72811
EPIC_228836835,1,2.0001928931014845,15987
EPIC_229004835,1,2.000196916415007,16379
EPIC_246851721,1,0.3333378792012809,100965
EPIC_248847494,1,2.000196923618205,15935
EPIC_249893012,1,2.0000594466546318,12488
FU_Tau,1,2.0001737974234857,15606
GJ_1002,1,0.3333418940019328,65657
GJ_1061,1,2.0000307081863866,13368
GJ_1132,1,2.0000189597703866,15869
GJ_1148,1,1.9999790314614074,15986
GJ_1151,1,1.9999743385778856,14054
GJ_1252,1,2.0000246280324063,16481
GJ_1265,1,0.33333989151287824,81135
GJ_1289,1,1.9999528635526076,12847
GJ_143,1,2.000032056494092,18275
GJ_15_A,1,1.9999870613901294,13063
GJ_160.2,1,1.9999663358248654,17216
GJ_163,1,2.000020477353246,12971
GJ_179,1,2.0000193097803276,17310
GJ_180,1,2.000006569614925,17319
GJ_2030,1,2.0000179696580744,14732
GJ_2056,1,2.000033975491533,17457
GJ_2126,1,30.00034531694837,937
GJ_229,1,1.9999964910311974,14632
GJ_238,1,2.0000064893974923,18278
GJ_251,1,1.9999824012484169,16532
GJ_27.1,1,2.00001128083386,18298
GJ_273,1,1.9999770371578052,16324
GJ_3021,1,1.9999693582212785,18260
GJ_3082,1,2.0000032355164876,18293
GJ_3090,1,2.000023687360226,18298
GJ_3138,1,2.0000394204544136,12750
GJ_317,1,1.9999897737216088,12977
