host,cadence_min,n_points,baseline_days
11_Com,2.0000232433812926,13502,24.214112433621267
11_UMi,1.9999879162787693,17584,26.84983952178345
14_And,2.0000272621109616,13878,23.007258516441425
14_Her,1.9999987747723935,18189,26.484809907379486
16_Cyg_B,2.0000199344940484,18345,26.85018040179466
17_Sco,2.0001023600343615,12720,24.377652252894222
18_Del,1.999970264514559,13386,27.162240669990297
1RXS_J160929.1-210524,2.00010705520981,12499,24.109628950697697
24_Boo,2.0000407212864957,17779,26.883859626191224
24_Sex,2.000051463546697,12834,24.157455935878488
2MASS_J01033563-5515561_A,1.9999961947178235,18271,27.40546771353229
2MASS_J01225093-2439505,1.9999911416743998,12869,20.2651603769923
2MASS_J02192210-3925225,2.0000035468910937,12295,20.26529978317626
2MASS_J0249-0557_A,9.999933915751171,3229,25.416476195583073
2MASS_J03590986+2009361,2.00019302603323,14022,23.80645845332583
2MASS_J04372171+2651014,2.0001791618415155,15263,23.88823161954997
2MASS_J04414489+2301513,2.0001747626520228,15204,23.827061820706604
2MASS_J11011926-7732383,2.0000139014882734,11700,22.54738723151422
2MASS_J11550485-7919108,2.0000141594937304,19512,27.889045954539142
2MASS_J12073346-3932539,1.999999150975782,14795,24.244481829696042
2MASS_J16262785-2625152,2.0001224779116455,12349,23.854218181809756
2MASS_J19383260+4603591,2.000014904369891,18394,26.85009407575899
2MASS_J21252752-8138278,1.9999981428554747,17212,25.334731189260765
2MASS_J22362452+4751425,0.33333787265291903,107640,27.882764218324155
2MASS_J22501512+2325342,1.9999977355473675,16290,27.880515644865227
47_UMa,0.3333365387516096,91569,26.123624516758355
4_UMa,2.000016601050447,17610,26.318270962515726
51_Eri,2.000001875749149,17253,25.701415871040354
51_Peg,0.3333345205464866,111344,27.882384742559225
55_Cnc,1.999972993216943,17335,27.34412205205308
55_Cnc_B,1.999972993216943,17335,27.34412205205308
61_Vir,2.000021272979211,15050,24.39610146634959
6_Lyn,1.9999676507359254,17625,26.317628880327447
70_Vir,2.000013885772205,13218,24.88621763186802
75_Cet,1.9999810892841197,14843,25.631753189743677
7_CMa,2.0000179480484803,14621,21.772402668106906
8_UMi,1.9999976399412844,17654,26.849965415524366
91_Aqr,2.0000010791409295,9432,22.75022559415993
AB_Aur,2.000183854070201,15605,24.314712032812622
AB_Pic,2.0000128596439026,18254,27.880750317601496
AF_Lep,2.000038085243432,17314,25.725490863032064
AT2021ueyL,0.3333365308935754,104127,25.8548308200443
AU_Mic,1.9999737173020549,17687,27.100874766856577
BD+03_2562,0.3333670462598093,98710,25.841470316675895
BD+05_4868_A,10.000067907676566,2405,27.1529759545906
BD+14_4559,1.9999849878513487,17204,25.85255280237925
