host,bucket,cadence_min,period,depth_ppm,repeat,duration_h,n_points,window_old_pts,window_new_pts,protected_old_h,protected_new_h,transit_pts,old_status,old_recovered,old_SDE,old_snr,old_period,old_scatter,new_status,new_recovered,new_SDE,new_snr,new_period,new_scatter,status
TIC_425721385,20-sec,0.3333298279903829,2.0,250,1,3.5562803453395335,74016,401,2405,2.2277543504023924,13.360970605281182,640.1371938623155,ok,False,6.019869126388424,3.0932436596060495,1.3203495914618992,0.0020140421638107143,ok,False,3.2919375431587206,5.999685199354132,7.781628396963579,0.0020228436156662795,ok
KELT-10,20-sec,0.3333291561284568,2.0,250,2,2.5460470417365397,81310,401,2405,2.2277498601251864,13.360943674815644,458.2942106790124,ok,False,18.830869972377954,12.90995719405409,4.164247498713328,0.0027081387571660557,ok,False,19.047378145235673,49.56157766867251,4.164247498713328,0.0028333026583085754,ok
TOI-1011,20-sec,0.3333328487497056,2.0,250,0,2.0713289812860785,98349,401,2405,2.2277745391438657,13.361091687384032,372.83975864762255,ok,False,10.002806795165961,5.131924062416322,1.7553705806955828,0.0009238761947491115,ok,True,14.656859903127485,12.001524232483527,2.0000448930560375,0.0009254672887126727,ok
HATS-52,20-sec,0.3333351976471022,2.0,2500,0,2.2034441650190715,80052,401,2405,2.227790237608133,13.361185839021346,396.6177314437398,ok,False,14.16362121828996,6.734013325112062,2.7340374591466574,0.015437433012483775,ok,False,14.428369463156534,49.251498299908604,1.3688118417715862,0.015835823947728627,ok
K2-62,20-sec,0.3333251315052621,2.0,700,1,1.7353724180694727,56380,401,2405,2.227722962226835,13.36078235450259,312.37472138378087,ok,False,5.1182313710337395,3.3283741445745214,1.263024359331508,0.005263173535709938,ok,True,5.382830258026788,3.322246700070085,2.0005584679801953,0.0053013005640430025,ok
WASP-144,20-sec,0.3333298325742362,2.0,2500,1,1.8958256625130474,79181,401,2405,2.227754381037812,13.360970789017301,341.2522031776126,ok,False,10.13301057967114,5.30367974192141,2.279651072216693,0.009551792662071339,ok,False,17.659945102431703,43.93331790060374,2.279651072216693,0.009722657420289597,ok
K2-199,20-sec,0.333330499852309,2.0,2500,2,1.6671303564113997,66266,401,2405,2.2277588406795985,13.36099753574672,300.0860150181396,ok,False,4.831529029998631,4.01377774802505,1.2470275823338395,0.004660953282384119,ok,True,17.423402173629974,14.94718883213813,2.0007400099611727,0.00471992623646352,ok
K2-249,20-sec,0.3333378772367723,6.0,700,0,4.5035723634472085,90886,401,2405,2.2278081461990946,13.361293245907289,810.631975120239,ok,False,5.711754313100519,3.4098875132243336,3.8543744147135786,0.007062547745190804,ok,False,3.619075732268082,4.386423706321538,6.305243870266662,0.0070809600454721415,ok
K2-37,20-sec,0.3333526280766818,6.0,250,1,2.6979727752291005,73437,401,2405,2.2279067309791567,13.36188450874033,485.6069905544852,ok,False,5.584212608198408,3.770627616451471,1.3621892469030545,0.006103125284203557,ok,False,7.2419662234225415,5.212928462684085,7.052246663705895,0.0061209901648335,ok
K2-242,20-sec,0.3333351950277574,2.0,700,0,1.1145055709133076,91718,401,2405,2.2277902201021784,13.361185734029275,200.6098823414973,ok,False,6.224237124955614,3.695612255451206,0.23022405630350068,0.04279036458443296,ok,False,5.152277644032691,3.5686022694592006,0.29715399106733065,0.04288695985736973,ok
EPIC_220674823,20-sec,0.3333512830431573,6.0,250,2,3.211148614047705,72811,401,2405,2.227897741671768,13.361830595313222,577.9756270442145,ok,False,6.584387024050969,4.325148161992227,0.7217707925621455,0.005228774852844385,ok,False,4.82773607922549,3.976295921068179,1.3343793179153776,0.005250369690802908,ok
HD_203387,20-sec,0.3333654491143534,2.0,700,2,7.28755868710282,92964,401,2405,2.227992418247595,13.362398418666999,1311.6341912091177,ok,False,7.439187893648876,14.061735506570109,6.376056239319099,0.000515126065349845,ok,False,6.868073919275048,25.053924917046082,6.716907261968086,0.0005482210180828046,ok
TOI-6054,20-sec,0.3333284881955478,6.0,2500,0,5.055498073157482,95244,401,2405,2.227745396106911,13.360916901838207,910.0028804363697,ok,True,7.253804283222172,7.4715909654214725,1.9998949399374029,0.0006324087473373343,ok,True,11.978165984919944,41.98490575560751,6.013558362914887,0.000659492874539311,ok
BD+05_4868_A,10-min,10.000067907676566,2.0,250,1,1.6954752814903773,2401,401,79,66.83378718297172,13.166756078440812,10.172782607939151,ok,False,15.315364670339216,42.56800574094838,1.2700034740691346,0.0011246055495007558,ok,False,17.412398920296873,27.76777362640814,1.2729844750106794,0.0005192169008183058,ok
NGTS-10,20-sec,0.3333291548187844,6.0,700,1,2.4748288395235902,82621,401,2405,2.227749851372209,13.360943622319608,445.47477538273665,ok,False,19.36621906989387,9.21504844070554,0.7666387468087044,0.050348988874404844,ok,False,15.65716274108526,19.65896549418427,0.7666387468087044,0.050638919187844654,ok
TOI-5350,10-min,10.000925310887396,2.0,700,0,2.617307705015068,3000,401,79,66.83951749443077,13.167884992668405,15.702393270545265,ok,True,10.158596282201076,11.479241747661234,1.9951799135743435,0.0009653665459715432,ok,False,8.649959056092523,8.605702380211845,7.590704311648166,0.0009525441596689757,ok
TIC_287329267,20-sec,0.3333299949736101,6.0,250,0,9.251158755753593,77551,401,2405,2.2277554664069608,13.360977298525539,1665.2252533983951,ok,False,6.484184394057189,3.644753225355093,0.7747694460279443,0.0027505516376971364,ok,False,4.96714252358742,3.0051063025085174,1.145706767292141,0.002761084927429499,ok
Kepler-356,20-sec,0.333330499852309,6.0,2500,2,3.9945711784446827,97470,401,2405,2.2277588406795985,13.36099753574672,719.0289241844807,ok,False,5.467945495747703,3.9134792250745347,1.193506458823973,0.012382739324569653,ok,False,4.496787218927562,4.958212591462589,8.764162147292653,0.012402297833163066,ok
TIC_51318828,10-min,10.00014626144548,2.0,700,2,2.9453855620910256,3514,401,79,66.83431084732729,13.166859244236548,17.67205489851675,ok,False,14.029075252936329,35.061293274124345,6.896429251434088,0.001203208926481291,ok,False,13.358021629979794,16.522811587212033,6.896429251434088,0.0011103279186549513,ok
TIC_62895484,10-min,10.000988490137388,2.0,700,1,1.920388224715035,3033,401,79,66.83993974241821,13.167968178680894,11.52119048997318,ok,False,10.432844879138763,7.775118904371309,2.8418759937674367,0.001553937429653858,ok,True,6.370813548739317,5.365675041040473,0.6672768930473567,0.0015024713568549605,ok
TOI-5350,10-min,10.000925310887396,2.0,2500,1,2.617307705015068,2999,401,79,66.83951749443077,13.167884992668405,15.702393270545265,ok,True,11.133664841829184,29.76812318275811,2.0046041629925355,0.0010095586668952138,ok,True,12.087389375135349,18.09376783935449,1.9951799135743435,0.00104224548543317,ok
WASP-80,20-sec,0.3333345205464866,6.0,700,2,2.2149018285234323,57446,401,2405,2.227785712319019,13.361158698571671,398.68090917655985,ok,False,28.073607956296932,7.562973207845625,12.273897923890647,0.003155596477701302,ok,False,21.96520939993427,8.15521664103397,12.273897923890647,0.003164329360311272,ok
TIC_239541449,20-sec,0.3333351910987403,6.0,2500,1,2.1365267947675504,114667,401,2405,2.227790193843248,13.361185576541175,384.5726797206965,ok,False,15.335530641207116,7.788940748936494,1.9280287782497014,0.0038011800761461093,ok,False,19.212959829366795,27.87702291150952,1.9280287782497014,0.003834124111161891,ok
TIC_129432342,10-min,3.333372032138868,2.0,250,0,7.28755868710282,7780,401,241,22.278036414794766,13.389044329091119,131.1745334785221,ok,False,16.53336921713381,20.63765924378335,1.7921604690213917,0.0013494678751558155,ok,False,17.505527528440716,17.800535318623208,1.7921604690213917,0.001344844591053805,ok
TOI-5350,10-min,10.000925310887396,6.0,250,2,3.774810912920251,3000,401,79,66.83951749443077,13.167884992668405,22.64676994724185,ok,False,9.153400119105173,7.985214999649664,7.590704311648166,0.0009434148110965896,ok,False,9.70106867769615,8.716556405247006,7.590704311648166,0.0009320842733695754,ok
BD+05_4868_A,10-min,10.000067907676566,6.0,700,1,2.4452984961963287,2401,401,79,66.83378718297172,13.166756078440812,14.67169134513092,ok,False,15.208596458618421,42.46914205346385,1.2700034740691346,0.0011267107797035734,ok,False,17.44577006205585,26.860892102924545,1.2729844750106794,0.0005218555165913035,ok
HIP_90988,10-min,3.3334109150018776,2.0,2500,0,7.28755868710282,7687,401,241,22.278296281929215,13.389200508590875,131.17300338170966,ok,True,18.076362122445982,11.677069679102361,2.001205414806583,0.0002385605050618118,ok,True,17.761524812003113,11.409608149425827,2.001205414806583,0.00023405264857515997,ok
