host,in_frozen_test,matched,methods,n_planets,any_transit,min_incl,min_imppar
11_UMi,True,True,Radial Velocity,1,0,,
1RXS_J160929.1-210524,False,True,Imaging,1,0,,
24_Sex,False,True,Radial Velocity,2,0,,
2MASS_J11550485-7919108,False,True,Imaging,1,0,,
4_UMa,False,True,Radial Velocity,1,0,,
51_Peg,True,True,Radial Velocity,1,0,49.8,
AB_Aur,True,True,Imaging,1,0,42.6,
AB_Pic,True,True,Imaging,1,0,,
AU_Mic,False,True,Radial Velocity|Transit|Transit Timing Variations,4,1,88.39,0.259
BD+03_2562,False,True,Radial Velocity,1,0,,
BD+20_2457,False,True,Radial Velocity,2,0,,
BD+48_738,True,True,Radial Velocity,1,0,,
BD+49_828,False,True,Radial Velocity,1,0,,
BD+60_1417,False,True,Imaging,1,0,,
CD_Cet,False,True,Radial Velocity,1,0,87.48,
CoRoT-13,False,True,Transit,1,1,88.02,0.374
CoRoT-19,True,True,Transit,1,1,88.0,0.24
DMPP-1,False,True,Radial Velocity,4,0,,
EPIC_246851721,False,True,Transit,1,1,86.21,0.647
FU_Tau,False,True,Imaging,1,0,,
GJ_2126,False,True,Radial Velocity,1,0,,
GJ_229,False,True,Radial Velocity,2,0,,
GJ_3021,False,True,Radial Velocity,1,0,,
GJ_3082,False,True,Radial Velocity,1,0,,
GJ_3222,True,True,Radial Velocity,1,0,,
GJ_3293,False,True,Radial Velocity,4,0,,
GJ_3378,False,True,Radial Velocity,1,0,,
GJ_338_B,False,True,Radial Velocity,1,0,,
GJ_341,False,True,Transit,1,1,89.24,
GJ_393,False,True,Radial Velocity,1,0,,
GJ_536,False,True,Radial Velocity,2,0,,
GJ_649,False,True,Radial Velocity,1,0,,
GJ_682,False,True,Radial Velocity,2,0,,
GJ_685,False,True,Radial Velocity,1,0,,
GJ_687,False,True,Radial Velocity,2,0,,
GJ_720_A,True,True,Radial Velocity,1,0,,
GJ_876,False,True,Radial Velocity,4,0,59.0,
GQ_Lup,False,True,Imaging,1,0,,
G_196-3,False,True,Imaging,1,0,,
G_261-6,True,True,Radial Velocity,1,0,,
Gaia-5,False,True,Astrometry,1,0,129.7,
Gl_410,False,True,Radial Velocity,1,0,,
HD_100777,False,True,Radial Velocity,1,0,90.0,
HD_102195,False,True,Radial Velocity,1,0,,
HD_106252,False,True,Radial Velocity,1,0,46.0,
HD_108236,False,True,Transit,5,1,87.59,0.423
HD_109286,False,True,Radial Velocity,1,0,,
HD_111232,False,True,Radial Velocity,2,0,87.902,
HD_112640,False,True,Radial Velocity,1,0,,
HD_113996,False,True,Radial Velocity,1,0,,
HD_11505,False,True,Radial Velocity,1,0,87.505,
HD_12484,False,True,Radial Velocity,1,0,,
HD_125271,False,True,Radial Velocity,1,0,93.088,
HD_128311,False,True,Radial Velocity,2,0,30.0,
HD_129445,True,True,Radial Velocity,1,0,52.0,
HD_13189,False,True,Radial Velocity,1,0,,
HD_136352,False,True,Radial Velocity,3,1,88.49,0.41
HD_147379,True,True,Radial Velocity,1,0,,
HD_150010,False,True,Radial Velocity,1,0,,
HD_150706,False,True,Radial Velocity,1,0,70.0,
HD_152843,True,True,Transit,2,1,89.21,0.2
HD_161178,False,True,Radial Velocity,1,0,,
HD_162020,False,True,Radial Velocity,1,0,,
HD_164922,False,True,Radial Velocity,4,0,,
HD_16760,False,True,Radial Velocity,1,0,43.3,
HD_174205,True,True,Radial Velocity,1,0,,
HD_175167,False,True,Radial Velocity,1,0,60.0,
HD_176986,False,True,Radial Velocity,3,0,0.2419,
HD_177565,False,True,Radial Velocity,1,0,,
HD_189567,False,True,Radial Velocity,2,0,,
HD_190007,False,True,Radial Velocity,1,0,,
HD_190647,False,True,Radial Velocity,1,0,,
HD_192263,False,True,Radial Velocity,1,0,,
HD_196050,False,True,Radial Velocity,1,0,42.0,
HD_199509,False,True,Radial Velocity,1,0,,
HD_19994,False,True,Radial Velocity,1,0,,
HD_2039,False,True,Radial Velocity,1,0,,
HD_20782,False,True,Radial Velocity,1,0,,
HD_211970,False,True,Radial Velocity,1,0,,
HD_212301,True,True,Radial Velocity,1,0,,
HD_214823,False,True,Radial Velocity,1,0,99.51,
HD_215497,True,True,Radial Velocity,2,0,0.2301,
HD_216520,False,True,Radial Velocity,2,0,,
HD_216536,True,True,Radial Velocity,1,0,,
HD_221287,False,True,Radial Velocity,1,0,,
HD_222237,False,True,Radial Velocity,1,0,49.9,
HD_222582,True,True,Radial Velocity,1,0,,
HD_22946,False,True,Transit,3,1,88.3,0.21
HD_25723,False,True,Radial Velocity,1,0,,
HD_27969,False,True,Radial Velocity,1,0,,
HD_28192,False,True,Radial Velocity,1,0,,
HD_284149_A,False,True,Imaging,1,0,,
HD_28471,True,True,Radial Velocity,3,0,,
HD_285968,False,True,Radial Velocity,1,0,,
HD_30562,False,True,Radial Velocity,1,0,65.0,
HD_32963,False,True,Radial Velocity,1,0,19.3,
HD_330075,False,True,Radial Velocity,1,0,,
HD_3651,False,True,Radial Velocity,1,0,,
HD_38283,False,True,Radial Velocity,1,0,,
HD_40979,False,True,Radial Velocity,1,0,,
HD_4113,False,True,Radial Velocity,1,0,,
HD_4308,False,True,Radial Velocity,1,0,,
HD_43197,False,True,Radial Velocity,2,0,11.42,
HD_46375,False,True,Radial Velocity,1,0,,
HD_47536,False,True,Radial Velocity,1,0,,
HD_5278,False,True,Radial Velocity|Transit,2,1,89.27,0.27
HD_60292,False,True,Radial Velocity,1,0,,
HD_62364,False,True,Radial Velocity,2,0,38.789,
HD_64114,True,True,Radial Velocity,1,0,,
HD_70573,False,True,Radial Velocity,1,0,,
HD_7199,False,True,Radial Velocity,1,0,1.496,
HD_75289,False,True,Radial Velocity,1,0,,
HD_79498,False,True,Radial Velocity,1,0,,
HD_80606,False,True,Radial Velocity,1,1,89.24,0.75
HD_80869,False,True,Radial Velocity,1,0,98.559,
HD_82943,False,True,Radial Velocity,2,0,90.0,
HD_86065,False,True,Radial Velocity,1,0,29.821,
HD_86264,True,True,Radial Velocity,1,0,93.591,
HD_86950,False,True,Radial Velocity,1,0,,
HD_89744,False,True,Radial Velocity,1,0,,
HD_89839,False,True,Radial Velocity,1,0,49.5,
HD_93083,False,True,Radial Velocity,2,0,,
HD_95127,True,True,Radial Velocity,1,0,,
HD_95872,True,True,Radial Velocity,1,0,,
HD_96127,True,True,Radial Velocity,1,0,89.9,
HD_99283,False,True,Radial Velocity,1,0,,
HD_99492,False,True,Radial Velocity,2,0,,
HIP_35173,False,True,Radial Velocity,1,0,,
HIP_9618,False,True,Transit,2,1,,0.2477
HIP_97166,False,True,Radial Velocity|Transit,2,1,,0.327997
HR_858,False,True,Transit,3,1,85.98,0.587
ITG_15_A,False,True,Imaging,1,0,,
K2-129,False,True,Transit,1,1,89.21,
K2-164,True,True,Transit,1,1,87.88981,0.14
K2-167,False,True,Transit,1,1,86.8,0.55
K2-18,False,True,Radial Velocity|Transit,2,1,89.5785,0.601
K2-180,False,True,Transit,1,1,89.15,0.33
K2-188,True,True,Transit,2,1,83.92815,0.37
K2-214,True,True,Transit,1,1,88.14511,0.39
K2-230,False,True,Transit,1,1,85.98986,0.39
K2-27,False,True,Transit,1,1,88.87126,0.3
K2-277,False,True,Transit,1,1,86.83,0.53
K2-284,False,True,Transit,1,1,89.0,0.28
K2-291,False,True,Transit,1,1,85.26,0.646
K2-323,False,True,Transit,1,1,89.88,0.14
K2-343,False,True,Transit,2,1,,0.36
K2-347,False,True,Transit,1,1,,0.21
K2-35,True,True,Transit,2,1,88.58,0.56
K2-358,True,True,Transit,1,1,,0.35
K2-406,False,True,Transit,1,1,,0.544
K2-46,True,True,Transit,1,1,88.64866,0.13
K2-63,False,True,Transit,2,1,,0.24
K2-77,False,True,Transit,1,1,88.33,0.55
K2-9,False,True,Transit,1,1,87.983,0.9261
K2-91,False,True,Transit,1,1,88.62,
KELT-24,False,True,Transit,1,1,89.67,0.061
KIC_8121913,False,True,Orbital Brightness Modulation,1,0,,
KIC_9663113,False,True,Transit,2,1,88.27,0.7495
KMT-2021-BLG-2294L,False,True,Microlensing,1,0,,
KOI-3680,False,True,Transit,1,1,89.892,0.15
KOI-984,False,True,Transit|Transit Timing Variations,2,1,88.93,0.83
Kepler-1000,False,True,Transit,1,1,89.5,0.489
Kepler-104,False,True,Transit,3,1,87.76,0.45
Kepler-1056,False,True,Transit,1,1,88.87,0.664
Kepler-111,False,True,Transit,2,1,86.96,0.01
Kepler-1124,False,True,Transit,1,1,89.45,0.295
Kepler-1127,False,True,Transit,1,1,88.72,0.308
Kepler-113,False,True,Transit,2,1,86.54,0.08
Kepler-1162,False,True,Transit,2,1,89.51,0.371
Kepler-1165,False,True,Transit,2,1,89.46,0.1291
Kepler-1173,False,True,Transit,1,1,80.42,0.6139
Kepler-1232,True,True,Transit,1,1,89.95,0.036
Kepler-1241,False,True,Transit,1,1,87.94,0.78
Kepler-1246,False,True,Transit,1,1,84.06,0.8264
Kepler-1254,True,True,Transit,3,1,88.16,0.1954
Kepler-1275,False,True,Transit,1,1,89.07,0.217
Kepler-1281,False,True,Transit,1,1,89.17,0.195
Kepler-1284,False,True,Transit,1,1,82.63,0.019
Kepler-1301,True,True,Transit,1,1,89.56,0.262
Kepler-1308,False,True,Transit,1,1,83.39,0.0361
Kepler-1323,False,True,Transit,1,1,88.59,0.102
Kepler-1335,False,True,Transit,1,1,89.33,0.232
Kepler-1340,True,True,Transit,1,1,80.48,0.0038
Kepler-1353,False,True,Transit,1,1,89.01,0.709
