injected_period,injected_depth_ppm,repeat,source_file,recovered_period,recovered_sde,recovered,alias,elapsed_s,sigma_point,n_points,baseline_days,n_in_transit,expected_snr,snr_bin
1.0,500,3,TIC_127425841.csv,1.519377962031891,11.801986279530416,False,,8.517076957970858,0.0002907151706823991,833,22.979040222901176,41.650000000000006,11.099663469498722,10-20
1.0,200,1,TIC_54044474.csv,3.707854842800829,16.07977893447306,False,,67.31556754198391,0.0008521620322546094,15515,23.90824101531507,775.75,6.536852828498041,5-10
1.0,200,2,TIC_347098457.csv,3.1539855658808778,13.642880729862352,False,,79.36584762507118,0.0014610077635151338,16875,25.00265528162936,843.75,3.9763478089491677,<5
1.0,500,2,TIC_312221462.csv,0.9986937741324964,12.953430112147595,True,exact,82.36897345806938,0.001279973405332999,15973,24.18842933396445,798.6500000000001,11.03944667887672,10-20
1.0,200,0,TIC_184679932.csv,2.170120451728721,16.849798882510523,False,,84.61943962506484,0.0007229056040823078,14228,23.813555519551755,711.4000000000001,7.379132941478219,5-10
1.0,500,0,TIC_39077574.csv,3.5772109950811095,8.0435462366132,False,,92.48228004202248,0.007412349001005454,15403,25.947039051073716,770.1500000000001,1.8719825879777967,<5
1.0,1000,0,TIC_260609205.csv,4.467773113552906,15.223615809036245,False,,91.58170724997764,0.005147432680857807,18235,27.88072432013928,911.75,5.866069585729199,5-10
1.0,500,1,TIC_284564230.csv,0.9992415442080816,15.305935608775952,True,exact,118.32750812498853,0.0012210347543476867,19610,28.200402907915304,980.5,12.822295398311844,10-20
1.0,200,3,TIC_23389848.csv,8.012632224981724,8.14589765841143,False,,137.83875054097734,0.0012040029735238432,18958,28.199724666487782,947.9000000000001,5.114270536930395,5-10
1.0,1000,1,TIC_392112968.csv,1.1963841672763609,9.466169006147467,False,,113.81417904200498,0.017196864733974228,18849,26.916946087777433,942.45,1.7851712508175877,<5
1.0,1000,3,TIC_232967666.csv,1.0006006072058171,18.61906867456231,True,exact,123.48911525006406,0.0012595226407392465,18613,27.34585859957315,930.6500000000001,24.220729096533578,20-40
1.0,3000,0,TIC_402740809.csv,1.000635456103481,17.415206347345723,True,exact,123.56385495804716,0.005457578953273821,17330,24.91967334161245,866.5,16.181005704779853,10-20
1.0,3000,1,TIC_156816238.csv,2.143512038249624,14.257893601459308,False,,119.66305191710126,0.005504026135568994,15402,26.034205791085697,770.1,15.1256598264215,10-20
1.0,1000,2,TIC_377304435.csv,0.9992325514262632,14.327855525560668,True,exact,153.30915758304764,0.001972512748646489,19533,28.200286079260877,976.6500000000001,15.843446380808276,10-20
3.0,200,1,TIC_169177766.csv,1.6889547936699545,12.601346757909536,False,,6.419586749980226,0.00033263146555911514,836,26.791778109916095,41.80000000000001,3.8873604090523646,<5
1.0,3000,3,TIC_330332501.csv,0.9999519765969024,20.73454956431879,True,exact,151.57119562500156,0.0014305266018000144,18881,27.162844470629807,944.0500000000001,64.43514567865968,40-80
3.0,200,3,TIC_219766989.csv,1.0221310361813527,18.04644832683534,False,,6.398616833030246,0.0008704494708601446,981,24.166713097514958,49.05000000000001,1.6091848527489123,<5
