host,crowd_ok,crowd_note,crowd_contratio,crowd_numcont,crowd_flux_ratio_max,crowd_nearest_arcsec,crowd_target_sep_arcsec,crowd_target_tmag,crowd_n_nb_21,crowd_n_nb_42,crowd_n_nb_63
11_UMi,1,,,,0.0,42.6504727986628,0.1653841126133419,3.82294,0.0,0.0,2.0
14_And,1,,,,0.0005216269244798,21.323196514439935,4.638388114757475,4.3214,0.0,5.0,11.0
14_Her,1,,0.000246318057,43.0,0.0001993609066223,15.464185104192229,5.030191040605916,5.8631,1.0,2.0,4.0
11_Com,1,,,,0.0008616283896062,9.978298932252054,2.1758015704820735,3.8379,1.0,1.0,5.0
16_Cyg_B,1,,1.22381461,410.0,1.2500287452039762,13.859571833948888,3.2724106493445917,5.6281,3.0,18.0,43.0
17_Sco,1,,,,8.861352236594976e-06,18.931749512877833,0.1652503159378116,3.97655,1.0,5.0,8.0
18_Del,1,,,,8.986694950475257e-05,12.536392165966593,0.9394138313026806,4.7181,3.0,11.0,20.0
1RXS_J160929.1-210524,1,,0.018071644,333.0,0.004959067275049,4.065745776076746,0.3935166904705504,11.1941,2.0,8.0,29.0
24_Boo,1,,,,1.7027857222941014e-06,25.502134395275576,4.768593396213169,4.7812,0.0,1.0,2.0
24_Sex,1,,,,0.0001906338417134,13.313964805075305,1.156553340072093,5.6416,1.0,3.0,7.0
2MASS_J01033563-5515561_A,1,,,,1.0,1.7881802772986273,0.0483458010049567,12.3239,1.0,1.0,7.0
2MASS_J01225093-2439505,1,,0.005296667,19.0,0.00963207820362,34.912222154916016,2.6728988427900373,11.6243,0.0,3.0,5.0
2MASS_J02192210-3925225,1,,0.00181007024,32.0,0.0088764640805694,3.9118926027145906,6.269953113660974e-05,13.4304,2.0,2.0,4.0
2MASS_J0249-0557_A,1,,0.007723448,30.0,0.0209816674801916,40.15169965407617,0.9398254438353236,14.0996,0.0,1.0,7.0
2MASS_J03590986+2009361,1,,0.0224056263,90.0,0.0763413788936555,4.663436888740831,0.2321217495895219,15.4702,1.0,2.0,6.0
2MASS_J04372171+2651014,1,,0.005880592,93.0,0.042705125255094,27.637969090425052,0.4393015332740366,13.0123,0.0,2.0,8.0
2MASS_J04414489+2301513,1,,,,66.92679069358428,12.390208467327806,0.000188719760881,17.1815,1.0,6.0,15.0
2MASS_J11011926-7732383,1,,,,5.936356854955035,1.6187457412353272,0.0001659221345219,16.7448,2.0,4.0,12.0
2MASS_J11550485-7919108,1,,0.013925177,193.0,0.0747411885826739,5.754259326665536,0.6417917599083147,13.344,2.0,4.0,16.0
2MASS_J12073346-3932539,1,,0.316894442,195.0,6.245396276587333,8.288316462832755,1.0590522743022783,15.662,2.0,10.0,17.0
2MASS_J16262785-2625152,1,,0.6732445,777.0,3.4501660710325583,5.082140294666719,0.436611729281472,12.9013,11.0,34.0,70.0
2MASS_J21252752-8138278,1,,0.0174535587,108.0,0.0020115368825958,10.843395617406356,1.9100651013615024,9.71772,1.0,7.0,12.0
2MASS_J19383260+4603591,1,,0.19926171,533.0,0.0944147831510322,7.004022715262354,0.1078646005605745,12.4561,6.0,22.0,58.0
2MASS_J22362452+4751425,1,,0.5245441,557.0,0.269376682454429,7.726592484817055,1.0832085073997997,11.1286,6.0,32.0,58.0
2MASS_J22501512+2325342,1,,0.0574749932,66.0,0.0662460518224098,7.126610541353962,1.475157685504149,12.3193,1.0,3.0,9.0
4_UMa,1,,,,0.0,43.399266396005224,1.0331355787299783,3.5681,0.0,0.0,2.0
47_UMa,1,,0.000367554749,26.0,0.0002988959290452,15.557068374440938,4.99671576285038,4.4698,1.0,3.0,4.0
51_Eri,1,,0.0506009758,73.0,0.0018289422812817,18.821045327179966,1.2046865197905492,4.9574,3.0,8.0,9.0
51_Peg,1,,0.0007685973,59.0,0.0002882969182353,18.043008270693935,3.3550799885586375,4.8576,1.0,1.0,2.0
55_Cnc,1,,0.004668652,55.0,4.702404669670045e-06,24.544410707335317,8.356408770920392,5.2058,0.0,2.0,2.0
