tic,kept_host,kept_side,dropped_host,dropped_side,dropped_label,straddled
11755687,Gaia-1,train,TIC_11755687,train,1,False
14336130,TOI-1716,train,TIC_14336130,train,1,False
20856917,HD_154088,train,TIC_20856917,train,1,False
20856917,HD_154088,train,TIC_20856917,train,1,False
24133681,HIP_77900,train,TIC_24133681,test,1,True
26583108,Kepler-1574,test,TIC_26583108,train,1,True
26656768,Kepler-1587,test,TIC_26656768,train,1,True
26657021,Kepler-1431,test,TIC_26657021,test,1,False
27394293,Kepler-142,train,TIC_27394293,test,1,True
27533282,Kepler-678,train,TIC_27533282,test,1,True
27533282,Kepler-678,train,TIC_27533282,test,1,True
27533327,16_Cyg_B,train,TIC_27533327,train,1,False
33595516,TOI-849,test,TIC_33595516,train,1,True
38846515,WASP-100,train,TIC_38846515,test,1,True
39903405,HAT-P-2,test,TIC_39903405,train,1,True
46096489,WASP-16,train,TIC_46096489,train,1,False
49512708,K2-366,train,TIC_49512708,train,1,False
49709169,K2-294,train,TIC_49709169,train,1,False
49709169,K2-294,train,TIC_49709169,train,1,False
55525572,TOI-813,test,TIC_55525572,train,1,True
56754291,K2-152,train,TIC_56754291,train,1,False
59040029,K2-81,train,TIC_59040029,train,1,False
63004906,Kepler-245,train,TIC_63004906,train,1,False
63070427,Kepler-194,test,TIC_63070427,test,1,False
63373449,Kepler-1560,train,TIC_63373449,train,1,False
63905972,HD_4732,train,TIC_63905972,train,1,False
67666096,KELT-3,test,TIC_67666096,train,1,True
73416947,omi_UMa,test,TIC_73416947,train,1,True
80224448,HD_50554,test,TIC_80224448,train,1,True
94986319,TOI-421,train,TIC_94986319,train,1,False
94986319,TOI-421,train,TIC_94986319,train,1,False
97714451,TOI-4734,train,TIC_97714451,train,1,False
100909102,WASP-155,train,TIC_100909102,train,1,False
115319029,HD_11112,train,TIC_115319029,test,1,True
116048097,TOI-6080,train,TIC_116048097,train,1,False
120422519,Kepler-1805,train,TIC_120422519,train,1,False
120496423,Kepler-1932,train,TIC_120496423,train,1,False
120578185,Kepler-354,train,TIC_120578185,test,1,True
120610833,WASP-45,train,TIC_120610833,test,1,True
120693011,Kepler-1308,train,TIC_120693011,test,1,True
121462999,Kepler-1690,train,TIC_121462999,train,1,False
121946404,Kepler-1438,train,TIC_121946404,train,1,False
122069243,Kepler-970,train,TIC_122069243,train,1,False
122142813,Kepler-1979,test,TIC_122142813,train,1,True
122224871,Kepler-788,train,TIC_122224871,train,1,False
122298422,Kepler-1506,train,TIC_122298422,test,1,True
122298422,Kepler-1506,train,TIC_122298422,test,1,True
122298563,Kepler-759,train,TIC_122298563,train,1,False
122781795,Kepler-1733,train,TIC_122781795,train,1,False
122781795,Kepler-1733,train,TIC_122781795,train,1,False
125739286,NGTS-2,train,TIC_125739286,train,1,False
134537478,KELT-14,train,TIC_134537478,train,1,False
137150544,Kepler-405,train,TIC_137150544,test,1,True
137150544,Kepler-405,train,TIC_137150544,test,1,True
137150599,Kepler-383,train,TIC_137150599,train,1,False
137347078,Kepler-264,train,TIC_137347078,train,1,False
138297607,Kepler-636,test,TIC_138297607,train,1,True
138477646,Kepler-1524,test,TIC_138477646,train,1,True
138477646,Kepler-1524,test,TIC_138477646,train,1,True
138969239,Kepler-633,train,TIC_138969239,train,1,False
138969285,Kepler-1277,train,TIC_138969285,test,1,True
139034625,Kepler-1801,train,TIC_139034625,train,1,False
144310492,TOI-3877,test,TIC_144310492,train,1,True
150151262,TOI-712,train,TIC_150151262,train,1,False
150151262,TOI-712,train,TIC_150151262,train,1,False
152805642,K2-241,train,TIC_152805642,train,1,False
158114000,Kepler-802,train,TIC_158114000,test,1,True
158555987,Kepler-1517,test,TIC_158555987,train,0,True
158588995,TOI-674,train,TIC_158588995,train,1,False
158662813,Kepler-1578,train,TIC_158662813,train,1,False
158933249,Kepler-953,train,TIC_158933249,test,1,True
159301821,Kepler-562,train,TIC_159301821,train,1,False
159654016,Kepler-100,train,TIC_159654016,train,1,False
164552984,Kepler-715,train,TIC_164552984,train,1,False
164724987,Kepler-1074,train,TIC_164724987,train,1,False
164831457,Kepler-1991,test,TIC_164831457,train,1,True
171098231,Kepler-1309,train,TIC_171098231,test,1,True
171974763,Kepler-695,test,TIC_171974763,train,1,True
171974763,Kepler-695,test,TIC_171974763,train,1,True
178217113,K2-34,test,TIC_178217113,test,1,False
184008951,Kepler-1283,train,TIC_184008951,test,1,True
184090767,Kepler-199,test,TIC_184090767,train,1,True
185057567,Kepler-946,test,TIC_185057567,train,1,True
185335907,Kepler-1705,train,TIC_185335907,test,1,True
185335907,Kepler-1705,train,TIC_185335907,test,1,True
189694184,HD_130322,train,TIC_189694184,train,1,False
190496853,TOI-615,train,TIC_190496853,train,1,False
199671901,HAT-P-40,train,TIC_199671901,train,1,False
199671901,HAT-P-40,train,TIC_199671901,train,1,False
200851505,HD_22496,train,TIC_200851505,train,1,False
200851704,HD_22532,train,TIC_200851704,train,1,False
207468071,TOI-1836,train,TIC_207468071,train,0,False
210083929,TOI-6130,train,TIC_210083929,test,1,True
210083929,TOI-6130,train,TIC_210083929,test,1,True
219152539,HD_41004_A,train,TIC_219152539,train,1,False
219857012,TOI-1742,test,TIC_219857012,test,1,False
220479565,TOI-269,train,TIC_220479565,train,1,False
220479565,TOI-269,train,TIC_220479565,train,1,False
224297258,TOI-1279,train,TIC_224297258,train,1,False
236339228,HD_145457,train,TIC_236339228,train,1,False
237158408,Kepler-1540,train,TIC_237158408,train,1,False
237158650,Kepler-546,test,TIC_237158650,train,1,True
237191392,Kepler-1566,train,TIC_237191392,test,1,True
244089109,WASP-74,train,TIC_244089109,train,1,False
248111245,HATS-27,train,TIC_248111245,test,1,True
257392778,K2-206,train,TIC_257392778,train,1,False
261136679,HD_39091,test,TIC_261136679,train,1,True
267574918,WD_1856534,train,WD_1856+534,test,1,True
267747398,Kepler-973,train,TIC_267747398,train,1,False
267747398,Kepler-973,train,TIC_267747398,train,1,False
268484648,KIC_8121913,train,TIC_268484648,train,1,False
268804174,BD-210397,train,TIC_268804174,test,1,True
268804174,BD-210397,train,TIC_268804174,test,1,True
268935452,Kepler-1056,train,TIC_268935452,test,1,True
269262974,Kepler-1091,test,TIC_269262974,train,1,True
270696519,Kepler-1199,train,TIC_270696519,train,1,False
270696519,Kepler-1199,train,TIC_270696519,train,1,False
271040560,Kepler-1723,train,TIC_271040560,train,1,False
271040678,Kepler-1562,train,TIC_271040678,test,1,True
271040768,Kepler-35,train,TIC_271040768,train,1,False
271351820,Kepler-727,test,TIC_271351820,train,1,True
271433874,Kepler-830,train,TIC_271433874,test,1,True
272179260,Kepler-1607,test,TIC_272179260,train,1,True
272179260,Kepler-1607,test,TIC_272179260,train,1,True
272597130,Kepler-744,train,TIC_272597130,train,1,False
272597196,Kepler-1963,train,TIC_272597196,train,1,False
273047792,Kepler-1622,train,TIC_273047792,test,1,True
273129679,Kepler-764,test,TIC_273129679,train,1,True
273875149,Kepler-1167,train,TIC_273875149,train,1,False
274030824,Kepler-312,train,TIC_274030824,train,1,False
278380701,HD_63454,train,TIC_278380701,train,1,False
281575427,TOI-205,train,TIC_281575427,train,1,False
281731203,K2-261,train,TIC_281731203,train,1,False
281837575,TOI-5143,train,TIC_281837575,test,1,True
287973473,HD_126614,train,TIC_287973473,train,1,False
287973473,HD_126614,train,TIC_287973473,train,1,False
288268410,HD_158996,train,TIC_288268410,train,1,False
297820335,HD_18438,train,TIC_297820335,train,1,False
299032847,Kepler-117,train,TIC_299032847,train,1,False
322347050,GJ_3378,train,TIC_322347050,train,1,False
