host,st_rad,st_teff,crowd_flux_ratio_max,crowd_nearest_arcsec,var_oot_rms,var_excess,var_ls_amp,var_ls_power,var_ls_period,st_mass
TIC_31604105,0.830753,5344.0,0.0561720145928701,6.076687417192242,0.0056023242898477,1.2983857178676133,0.0012630206687635,0.0138410165490991,13.0,0.92
TIC_41033344,2.67922,6210.5,0.0233195411113985,1.7622448869599845,0.0154488774260881,12.558085491218794,0.0032046030878983,0.0255541265185582,6.907287562319828,1.19
TIC_150108811,0.579531,3761.0,0.0157819259024672,7.48227931825043,0.0139734156857927,3.0041077461307277,0.0029822401775105,0.0191968452621247,7.319228361489218,0.571058
TIC_389920950,1.30703,6482.0,0.0802342874395645,6.437027913836989,0.003309823750493,13.282804490188878,0.0014396667658546,0.0343675753123767,13.0,1.32
TIC_40976749,2.03018,6235.85,0.0065681036850195,7.451979870445493,0.0069518429634697,6.964985353814912,0.0011968536996044,0.0217158452958173,7.0213201424795875,1.21
TIC_149503544,0.99813,5984.0,0.0057459256222971,4.181297374403258,0.0096778508286298,6.125629024144457,0.002308798334068,0.0197708809909731,7.506080441564288,1.1
TIC_167006919,1.69725,7013.0,0.0230887276010762,1.5353876072485897,0.0042690332396872,6.486065797943705,0.0007842083404274,0.0136578071295274,6.8242039833314045,
TIC_31604303,1.91863,5840.75,0.0017504914747353,7.553385660169667,0.014376263143505,11.899907408547929,0.0022651525627452,0.0171329640697952,6.754258214737437,1.05
TIC_150272131,1.75116,7421.98,0.3571412382172199,7.363361801611581,0.0067910926587986,5.589694643252338,0.0010303473790063,0.0129569298289593,13.0,1.7
TIC_150065109,1.35667,6643.0,0.0478013321606112,4.059816510662965,0.0059445484109007,11.045799098267048,0.000784246475296,0.0182840581070787,6.856925132912503,1.4
TIC_41089123,1.79178,5839.0,0.0366606364249471,6.144846800933295,0.007861935352858,4.004475503011948,0.0015373689158217,0.0156754479826434,7.475423732471302,1.05
TIC_31526975,0.912549,5600.85,0.0246490394560465,4.471354548044925,0.0047403893837061,1.6893076703394738,0.0009578194884535,0.0170107943892047,7.2506379301197885,0.99
TIC_41083208,2.47346,7443.35,0.0023165410474774,8.06154066260622,0.0084725658965912,8.522337432726482,0.0006935722354041,0.0043197759472859,7.208377630427613,1.71
TIC_41083578,0.712362,5033.25,0.003880788726359,11.148089996833663,0.0050061490007785,1.392861873715567,0.0005192750119205,0.0139405836595212,8.001260528313086,0.84
TIC_41085097,19.8974,5935.73,0.0433710563500441,13.013825529780153,0.0057816292159727,1.4420802962917332,0.0005968132304462,0.0091481008929242,5.874017363798034,
TIC_150148658,1.0015,5327.0,0.0031332857243155,23.968661380387925,0.0052222130600898,2.456837945902738,0.0019361142029542,0.0181112228988348,7.573810312123812,0.92
TIC_31410025,1.11095,5527.42,0.0134400226308216,9.042268163120012,0.0058923366966121,4.272260756878806,0.001140454268212,0.0175980928762674,7.349642334758508,0.97
TIC_149503727,2.55106,5094.0,0.0135656310123454,6.491725194441456,0.0063114804850876,2.421931680719304,0.001389710308598,0.0179086372753197,13.0,
TIC_31604176,1.12881,5380.0,0.615857167191635,8.708152384853143,0.0206747722927684,3.511580837612995,0.0047411684857358,0.0232823399055219,7.016133547851893,0.93
TIC_41173667,9.05944,5047.0,0.000642155194523,16.955598789770963,0.0025414130799565,3.033536775273437,0.0007197511398056,0.0215024309906819,7.667583827377457,
TIC_31604147,1.90923,6200.12,0.0177729696800411,4.082164096267567,0.0080942882247595,4.338532276606259,0.0012984795807044,0.0204922653785735,6.882580280332888,1.19
TIC_31512788,1.15226,5818.55,0.0183603095915183,4.105588634287047,0.0080387463433851,5.19581798099402,0.0025741713183184,0.0211832202191417,7.015823445838186,1.05
TIC_150105350,3.03262,5963.4,0.0359649946472667,13.753228204721154,0.004564387976043,6.718936539385491,0.0006766551702271,0.0163604859679168,7.236934104896942,1.09
TIC_150271680,1.30609,5316.6,0.0080805328471372,3.9354128535097614,0.0095878522796354,12.554962444899088,0.0013080677187031,0.0088085489733259,7.36489688187048,0.92
TIC_41173537,0.679786,4408.0,0.0550401995780319,6.108515268263636,0.011524724372505,5.062641768806886,0.0020974510724635,0.0145842148070725,7.293986117060145,0.69
TIC_374910243,2.18139,6736.68,0.0231440841658771,6.745045141331676,0.0029194013273705,3.913472099048578,0.0008512792318511,0.0139921371075317,7.765959826253468,1.44
TIC_150250528,0.81855,5270.0,0.0063585779546007,16.018519411654736,0.0061123798588218,3.5130628517565956,0.0022069947625774,0.0259804057425022,8.275978596125872,0.9
TIC_31527078,1.17666,5789.16,0.1038006325345065,6.7374748570291825,0.0094048119639648,3.096497155470371,0.0022289278932986,0.0217102999513999,12.845699241359505,1.04
TIC_167006493,0.982014,5668.0,0.0004440992093702,7.685450891142469,0.0044441275817295,9.594847522071918,0.0008090208764769,0.0177178981773029,6.84241195558936,1.01
TIC_40975842,1.89855,6268.1,0.0044128584811884,2.687177338809371,0.0058795107025477,9.528839057253464,0.0008007524216288,0.0171101504516156,6.516064301239911,1.22
TIC_40975922,0.549435,3876.0,0.1536455548095219,3.5207155591745796,0.0081359518078653,1.7939046309903035,0.0012812633590718,0.0145202937622075,7.3492514972548575,0.544747
TIC_41232189,2.47163,10345.0,4.8622803966013984e-05,17.98017532203859,0.0021289848437486,17.894877560014656,0.000591259360683,0.0248061205953127,7.022455410045973,2.66
TIC_31526716,3.55794,6407.1,0.0041415222603573,10.945292547481667,0.0066912806915198,8.368988513191402,0.0014923551589304,0.0116908472871308,7.72264665538697,1.29
TIC_150104808,2.14703,5595.0,0.0011715477654051,15.78815695820443,0.0065790155597244,10.302899880849074,0.0024881500852709,0.0317682034673674,9.04885896282198,0.99
TIC_150140723,1.30334,6446.0,0.0220008773528672,11.37614881298912,0.004751415255128,3.483964309832424,0.0014111991145127,0.020097160630883,7.521490802733316,1.31
TIC_41083258,1.10817,5645.0,0.127151064379788,11.20656741905572,0.0146810892920225,2.887060291480533,0.0028539479061977,0.0182666278691183,6.838694279652654,1.0
TIC_41115548,8.20095,5307.0,0.0018073405805644,10.598047349783725,0.0044880288268853,7.814363144976834,0.0007602212469507,0.0245194477988468,7.406167782377357,
TIC_31513988,0.793387,5506.42,0.0013580632590474,5.431893143614983,0.0069054194223024,6.783186898028314,0.0010930239923607,0.0187695045552311,6.757712124230666,0.97
TIC_31513962,1.87362,5912.4,0.0548681099188338,2.679306132309975,0.0045294898674741,1.7067676384250687,0.0009588344181117,0.0192217617435145,7.250637422700518,1.08
