host,injected_period,injected_depth_ppm,repeat,baseline_days,r_star,m_star,is_control,injected_duration_hours,n_transits_in_baseline,rp_earth_implied,tls_period_min,tls_period_max,period_in_search_range,recovered_period,recovered_sde,recovered_snr,detected,alias,score,classified_planet,status,elapsed_s
TIC_150105350,3.0,84,3,215.48817756672133,3.03262,1.09,False,7.530907405416807,71.82939252224044,3.0317043095070746,3.0395541227885037,107.73305482436638,True,53.337109180280265,11.931778494179522,-2.4370544679205746,False,,0.6363572302911371,True,ok,51.3713317909278
TIC_31526716,3.0,84,5,216.87491403761533,3.55794,1.29,False,7.86716674201656,72.29163801253844,3.55686569071219,3.553716345803032,108.43190146306699,True,100.05253049061858,10.941482833359272,46.00749345842941,False,,0.405642703229113,True,ok,56.72499645780772
TIC_149503727,3.0,84,2,216.6947678562201,2.55106,1.0,False,5.5215867826058265,72.2315892854067,2.5502897151015027,2.449423710333238,108.33959688647622,True,2.998556580278492,18.866764817354767,6.738997067815561,True,exact,0.4209771597621687,True,ok,57.0045220842585
TIC_31604147,3.0,84,1,216.46936059439395,1.90923,1.19,False,4.643753894232617,72.15645353146465,1.9086535137406573,1.4541384008207943,108.22565253138885,True,85.67854988313279,21.74578652726558,12.008616010057755,False,,0.5434031509392291,True,ok,110.66408554185182
TIC_41083208,3.0,84,8,216.8179236880569,2.47346,1.71,False,5.2095821454860785,72.2726412293523,2.4727131461882363,1.7895337928151953,108.3985451904529,True,2.875946629186283,11.185567127997313,3.0575660334240644,False,,0.637378061726249,True,ok,67.6073512500152
TIC_374910243,3.0,84,9,216.0354625243358,2.18139,1.44,False,4.9317278831289775,72.01182084144527,2.180731335846772,1.6149446940638539,108.01148125381644,True,66.22452313902912,13.23573653674743,19.182634670882848,False,,0.29253515528956686,False,ok,73.83967954199761
TIC_150272131,3.0,84,4,215.4882395559739,1.75116,1.7,False,3.8318552959477925,71.82941318532464,1.7506312425019979,1.0692067734697968,107.72891917839219,True,76.6669887843282,14.239457994112918,10.41545137594485,False,,0.4043793422495339,True,ok,137.16182575002313
TIC_31604303,3.0,84,7,216.50407029714597,1.91863,1.05,False,4.446098034604292,72.16802343238199,1.918050675438914,1.5592610901705477,108.2409240544543,True,86.27033113418878,21.6188317909637,35.32387974509304,False,,0.6874434599105658,True,ok,97.28691441565752
TIC_150140723,3.0,84,0,217.74881350069154,1.30334,1.31,False,2.8303991486641404,72.58293783356385,1.3029464604048482,0.7819147240446209,108.86468455874969,True,84.01646547448371,19.117829741744742,24.873914120406347,False,,0.6587768186434302,True,ok,150.17231283383444
TIC_150104808,3.0,1200,3,214.36688028520098,2.14703,0.99,False,5.608749260075639,71.45562676173365,8.112560321785612,1.902226885657502,107.17603276387355,True,3.000333379075012,27.60139857587052,57.21680374056457,True,exact,0.8039184695796309,True,ok,122.4254767918028
TIC_31604303,3.0,1200,2,216.50407029714597,1.91863,1.05,False,4.9074733574995335,72.16802343238199,7.249550127472614,1.5592610901705477,108.2409240544543,True,3.000066856173809,31.240047974769578,52.225940854247995,True,exact,0.8067869713834528,True,ok,157.29162575025111
TIC_31513962,3.0,1200,5,216.41100826176762,1.87362,1.08,False,4.561183947507618,72.13700275392254,7.079479685940092,1.4840723560659144,108.1978652476033,True,3.0002593105756605,31.94132886879611,40.111079354864216,True,exact,0.4074041099420323,True,ok,162.18316733418033
TIC_150140723,3.0,1200,0,217.74881350069154,1.30334,1.31,False,3.113312786070077,72.58293783356385,4.924674722661564,0.7819147240446209,108.86468455874969,True,3.000879407925974,33.99558891575743,47.677536951965294,True,exact,0.4670892675198868,True,ok,268.4001819579862
