tic_id,longest_run,sectors_observed
150272131,13,"32,33,34,35,36,37,38,39"
150065151,12,"5,6,7,8,9,10,11,12"
41173537,12,"31,32,33,34,35,36,37,38"
41033344,9,"28,29,30,31,32,33,34,35"
41359534,9,"4,5,6,7,8,9,10,11"
41089123,9,"28,29,30,31,32,33,34,35"
167006919,9,"3,4,5,6,7,8,9,10"
41083208,9,"62,63,64,65,66,67,68,69"
40975842,9,"62,63,64,65,66,67,68,69"
31604303,9,"62,63,64,65,66,67,68,69"
31604147,9,"62,63,64,65,66,67,68,69"
31526716,9,"62,63,64,65,66,67,68,69"
31512788,9,"62,63,64,65,66,67,68,69"
150105350,9,"32,33,34,35,36,37,38,39"
150065109,9,"5,6,7,8,9,10,11,12"
41115548,9,"62,63,64,65,66,67,68,69"
41083258,9,"62,63,64,65,66,67,68,69"
374910243,9,"31,32,33,34,35,36,37,38"
40975922,9,"62,63,64,65,66,67,68,69"
31604105,9,"62,63,64,65,66,67,68,69"
31526975,9,"62,63,64,65,66,67,68,69"
404850274,9,"29,30,31,32,33,34,35,36"
150108811,9,"29,30,31,32,33,34,35,36"
150140723,9,"29,30,31,32,33,34,35,36"
150104808,9,"2,3,4,5,6,7,8,9"
389328965,9,"29,30,31,32,33,34,35,36"
150148658,9,"29,30,31,32,33,34,35,36"
389920950,9,"5,6,7,8,9,10,11,12"
41172972,9,"31,32,33,34,35,36,37,38"
150271680,9,"6,7,8,9,10,11,12,13"
149503727,9,"30,31,32,33,34,35,36,37"
149503544,9,"30,31,32,33,34,35,36,37"
167006493,9,"30,31,32,33,34,35,36,37"
31410025,9,"62,63,64,65,66,67,68,69"
41173667,9,"62,63,64,65,66,67,68,69"
31527078,9,"62,63,64,65,66,67,68,69"
31513962,9,"62,63,64,65,66,67,68,69"
41085097,9,"62,63,64,65,66,67,68,69"
41083578,9,"62,63,64,65,66,67,68,69"
40976749,9,"62,63,64,65,66,67,68,69"
31604176,9,"62,63,64,65,66,67,68,69"
31513988,9,"62,63,64,65,66,67,68,69"
41232835,9,"62,63,64,65,66,67,68,69"
150250528,9,"6,7,8,9,10,11,12,13"
41232189,9,"62,63,64,65,66,67,68,69"
