host,in_skew,in_kurt,out_skew,out_kurt,skew_diff,kurt_diff,n_in,n_out,wavelet_e1,wavelet_e2,wavelet_e3,status
11_Com,-0.095581529432355,0.03792243380512694,-0.01417380164851609,0.1422686740297059,-0.08140772778383891,-0.10434624022457895,1068.0,10297.0,0.09804421836124431,0.2918968773439101,0.6100545898613627,ok
14_And,0.18287175100255482,-0.6685415035849771,0.07952002520955913,0.062319537801074354,0.10335172579299569,-0.7308610413860515,380.0,12760.0,0.1026191763001938,0.24516896686029505,0.6522063992819075,ok
11_UMi,-1.1423817483164034,-0.45223003917544213,0.5459160464304351,5.283502652777507,-1.6882977947468385,-5.735732691952949,105.0,17263.0,0.26378067238728353,0.6253001166341413,0.110918870848755,ok
14_Her,-0.09817626788010174,1.3405195755344206,0.10308505488767293,0.6005635837413021,-0.20126132276777467,0.7399559917931184,389.0,17012.0,0.4867923242801675,0.31181790936172527,0.20136870592083778,ok
1RXS_J160929.1-210524,-0.5700033079681718,-0.06248198899349999,0.14483278677187728,0.40930430545292396,-0.714836094740049,-0.47178629444642395,35.0,12406.0,0.2704141162599502,0.596243513107582,0.13334236180297482,ok
24_Sex,-0.15821628999441062,0.5131718114453796,0.08963541549253137,0.5410271053239311,-0.247851705486942,-0.027855293878551457,194.0,12237.0,0.8150689794544546,0.1558507868966634,0.029079767631868137,ok
16_Cyg_B,0.5840967857199679,0.19163970891918636,0.647426880869054,1.518419931503316,-0.06333009514908605,-1.3267802225841296,60.0,18164.0,0.6170249229123609,0.3018988924331533,0.08107581121041713,ok
17_Sco,0.5395611085922035,0.7782589674122073,0.09052669798006549,0.8402538550728593,0.449034410612138,-0.061994887660651976,73.0,12503.0,0.4096767985415192,0.38374610391262926,0.20657370959528462,ok
2MASS_J0249-0557_A,0.17392927376124345,0.022708651867930918,-0.08884359737688373,0.04851981001526218,0.2627728711381272,-0.02581115814733126,350.0,2182.0,0.3912965574388081,0.1907705495954481,0.41793289068196854,ok
18_Del,-0.10047459704304931,-0.6136451225314206,0.0919138680683817,0.06244635273872268,-0.192388465111431,-0.6760914752701432,413.0,12155.0,0.14358716400936827,0.38595787953144406,0.4704517827859674,ok
2MASS_J01225093-2439505,0.19073742336278915,0.6566425756888887,1.8910856168678474,18.105197165890853,-1.7003481935050582,-17.448554590201965,103.0,12593.0,0.5457727976390303,0.4078686503520224,0.046358538661056346,ok
2MASS_J04414489+2301513,,,,,,,,,,,,no usable ephemeris
2MASS_J12073346-3932539,0.39369708157565103,0.45435808732257454,0.04318480550504894,0.0036938282062344285,0.3505122760706021,0.4506642591163401,74.0,14570.0,0.39275239911122,0.3301172956742996,0.2771303049255047,ok
2MASS_J16262785-2625152,0.023190615365763573,-0.5783199170357696,-0.5669024463180725,-0.14530493340032447,0.5900930616838361,-0.4330149836354451,771.0,10107.0,0.05433590342632108,0.2517629005586869,0.6939011959865742,ok
2MASS_J11550485-7919108,0.1305260008413413,-0.33722018383254815,0.0333298576596439,0.04249640088810125,0.0971961431816974,-0.3797165847206494,204.0,18903.0,0.8454980259203636,0.1374664991375474,0.017035467788040878,ok
2MASS_J11011926-7732383,-0.09130460013074992,0.12094400107586711,0.004934959395977117,-0.03372859873855738,-0.09623955952672704,0.1546725998144245,220.0,11041.0,0.5895993990426246,0.2857323776156657,0.12466822326991031,ok
2MASS_J01033563-5515561_A,-0.10484059952838146,-0.06302683395654318,0.24023627244152815,0.3550910321848604,-0.3450768719699096,-0.41811786614140356,683.0,16231.0,0.07747640773785429,0.27767278441728416,0.644850807608024,ok
2MASS_J04372171+2651014,-0.058140572830626985,-0.24200875002603706,-0.012637691079949361,0.20775611172081598,-0.045502881750677626,-0.44976486174685304,620.0,13408.0,0.12698142838024193,0.18794972898164,0.6850688402041021,ok
2MASS_J03590986+2009361,-0.3011288910768424,0.704873602745911,0.05747819183685944,0.27757104596860405,-0.3586070829137018,0.427302556777307,61.0,13837.0,0.7215670806254869,0.24040974695615736,0.038023172266375777,ok
24_Boo,0.27499696396920226,0.2187870882108398,0.18465008116424822,0.22794582098921445,0.09034688280495404,-0.009158732778374645,535.0,16183.0,0.06280575696483782,0.17944967931759287,0.7577437751699178,ok
2MASS_J19383260+4603591,-0.4560804289239026,-1.2811554282588382,-0.30421509039960987,-1.173328965202664,-0.15186533852429274,-0.10782646305617427,2075.0,12108.0,0.07435364541106848,0.2792770289377958,0.646369325507089,ok
2MASS_J02192210-3925225,0.12304485175668388,-0.5542200653079674,0.05770228623890628,0.2246838434544931,0.06534256551777759,-0.7789039087624605,96.0,12039.0,0.6968000674666279,0.20551158913118645,0.09768833902612926,ok
4_UMa,0.15670904764794488,-1.1605876250585903,0.31891176905954044,0.6107714297396298,-0.16220272141159556,-1.77135905479822,265.0,16822.0,0.41322258339387746,0.5210943566917847,0.06568213567788861,ok
2MASS_J21252752-8138278,-0.8535194239170345,26.77842263757264,1.852246375673387,13.00864200409308,-2.7057657995904214,13.76978063347956,1933.0,11406.0,0.08160047636169433,0.2265209335639744,0.6918785853343801,ok
55_Cnc_B,0.46591960483693284,1.0180101929258214,0.16222396945137849,0.9507376092852406,0.30369563538555433,0.06727258364058075,1338.0,13367.0,0.12281003447730258,0.16840672939437204,0.7087796448293681,ok
2MASS_J22501512+2325342,-0.46021771337660056,1.966015980021699,2.295892605989008,25.039858943639093,-2.7561103193656087,-23.073842963617395,1609.0,11495.0,0.11368200521264038,0.26916367376036926,0.6171543138777347,ok
61_Vir,0.23561722561974546,-0.2940534859776127,0.03855841724294883,0.48376169614717357,0.19705880837679662,-0.7778151821247863,136.0,14641.0,0.4090660909194583,0.35562054236890067,0.23525991781373923,ok
51_Eri,0.000570267478656804,-0.021117947585278074,-0.0011745671480832092,-0.6921531700644126,0.0017448346267400132,0.6710352224791345,1900.0,11499.0,0.056829519628710266,0.19939623298285128,0.7437741998872771,ok
70_Vir,0.28117242343963067,0.4581495407662204,0.11910764314621848,0.3387433538456235,0.1620647802934122,0.1194061869205969,172.0,12705.0,0.5636966867037833,0.25807167577901685,0.1782118466089159,ok
