host,pool,gaia_ruwe,gaia_nss,gaia_gmag,gaia_sep_arcsec,gaia_source,gaia_nss_flag,gaia_ruwe_high
TIC_231620255,main,0.992,0.0,15.934255,7.92,6.456772362126438e+18,0.0,0.0
TIC_315398983,main,0.935,0.0,15.491931,3.78,6.722708525127226e+18,0.0,0.0
TIC_365656105,main,1.031,0.0,17.962248,9.72,6.635512305235196e+18,0.0,0.0
TIC_2055602945,main,2.273,0.0,10.382797,63.48,6.527696462753623e+18,0.0,1.0
TIC_320484212,main,1.051,0.0,16.283417,5.94,6.448543995061871e+18,0.0,0.0
TIC_91525583,main,1.05,0.0,14.331665,34.14,4.967235437098966e+18,0.0,0.0
TIC_2055182058,main,0.98,0.0,18.771751,11.58,6.492674470493518e+18,0.0,0.0
TIC_266994922,main,1.053,0.0,15.354458,29.88,6.499137541576755e+18,0.0,0.0
TIC_79281046,main,0.919,0.0,6.492653,19.32,6.478889210317645e+18,0.0,0.0
TIC_31201015,main,1.081,0.0,17.239021,12.72,5.948925116832168e+18,0.0,0.0
TIC_304059161,main,1.371,0.0,17.42491,19.86,6.436707752390788e+18,0.0,0.0
TIC_466206387,main,1.021,0.0,9.551957,9.72,6.443065193042813e+18,0.0,0.0
TIC_80337451,main,2.114,0.0,14.623947,147.3,4.980340417407109e+18,0.0,1.0
TIC_1923451371,main,0.959,0.0,18.92533,16.080000000000002,6.64531406914641e+18,0.0,0.0
TIC_101513787,main,8.709,0.0,14.158049,1.68,6.667519844631243e+18,0.0,1.0
TIC_215476716,main,11.745,2.0,6.637204,42.66,4.948166194621318e+18,1.0,1.0
TIC_218759674,main,0.984,0.0,13.703647,28.020000000000003,5.952236884562873e+18,0.0,0.0
TIC_199731304,main,1.095,0.0,9.217653,19.2,4.930561815166935e+18,0.0,0.0
TIC_253631843,main,0.954,0.0,17.477228,9.9,6.728932654294109e+18,0.0,0.0
TIC_155895287,main,1.229,0.0,14.902213,128.28,4.973694762971918e+18,0.0,0.0
TIC_199729842,main,3.435,1.0,5.950671,19.44,4.935409802451284e+18,1.0,1.0
TIC_230980624,main,0.964,0.0,8.90809,28.619999999999997,4.912435335190401e+18,0.0,0.0
TIC_143951121,main,1.281,0.0,11.597884,64.92,6.560067493827212e+18,0.0,0.0
TIC_140431282,main,1.039,0.0,8.810561,25.86,5.01465741226096e+18,0.0,0.0
TIC_389651326,main,0.967,0.0,11.559324,21.9,6.655491634103472e+18,0.0,0.0
TIC_1511632979,main,1.002,0.0,19.167873,61.2,5.913188137072668e+18,0.0,0.0
TIC_281851171,main,1.01,0.0,10.587303,24.3,4.907741382612338e+18,0.0,0.0
TIC_62024272,main,0.983,0.0,8.610939,22.92,6.713274199956356e+18,0.0,0.0
TIC_320330186,main,1.025,0.0,6.76102,31.08,6.641054187434366e+18,0.0,0.0
TIC_32314028,main,1.16,0.0,9.748328,22.62,5.0122635692893e+18,0.0,0.0
TIC_7015521,main,1.02,0.0,14.139912,16.68,6.657878433328151e+18,0.0,0.0
TIC_247348620,main,0.835,0.0,8.620325,43.5,5.964122158558942e+18,0.0,0.0
TIC_229144939,main,0.988,0.0,13.526473,11.04,4.916399452565699e+18,0.0,0.0
TIC_166424433,main,3.435,0.0,9.175433,93.54,6.666848489703542e+18,0.0,1.0
TIC_324437240,main,4.899,0.0,7.326403,25.74,6.653716060263075e+18,0.0,1.0
TIC_350221590,main,1.123,0.0,16.15461,6.9,6.389457270976028e+18,0.0,0.0
TIC_118283196,main,1.08,0.0,12.547067,11.1,6.648885562080212e+18,0.0,0.0
TIC_61377099,main,1.605,0.0,16.002798,29.16,6.713828044579501e+18,0.0,1.0
TIC_254191317,main,1.118,0.0,5.834196,9.24,6.714057120955575e+18,0.0,0.0
TIC_2055145714,main,1.001,0.0,18.727854,63.6,6.490956655373614e+18,0.0,0.0
TIC_632001767,main,1.18,0.0,18.029673,16.919999999999998,4.965726323029961e+18,0.0,0.0
TIC_2026793537,main,0.991,0.0,18.262445,10.260000000000002,6.460023102612076e+18,0.0,0.0
TIC_632002275,main,1.032,0.0,19.952225,10.32,4.965780920654518e+18,0.0,0.0
TIC_234518259,main,0.892,0.0,6.223368,46.86,4.903029562970051e+18,0.0,0.0
TIC_200230198,main,1.126,0.0,5.871232,58.86,6.658064731830019e+18,0.0,0.0
TIC_139699247,main,1.032,0.0,7.178701,64.08,6.466670337598423e+18,0.0,0.0
TIC_219989145,main,0.913,0.0,10.718182,27.78,4.936273331396236e+18,0.0,0.0
TIC_85580401,main,1.074,0.0,14.619821,15.18,6.719767228453543e+18,0.0,0.0
TIC_1516798161,main,0.989,0.0,18.347239,6.66,5.945983137249361e+18,0.0,0.0
TIC_360912453,main,1.146,0.0,14.441816,98.88,6.469390701164108e+18,0.0,0.0
TIC_229159040,main,14.734,3.0,9.12767,3.3,4.941382590131839e+18,1.0,1.0
TIC_33465112,main,2.281,2.0,9.165711,12.54,5.03741177103667e+18,1.0,1.0
TIC_379403134,main,11.893,0.0,12.444538,15.12,6.633650037476309e+18,0.0,1.0
TIC_1990074078,main,1.115,0.0,15.22228,16.380000000000003,6.665506123444557e+18,0.0,0.0
TIC_231978028,main,1.082,0.0,17.1126,33.6,5.942634089253278e+18,0.0,0.0
