host,label,ra,dec,gaia_ruwe,gaia_nss,gaia_gmag,gaia_sep_arcsec,gaia_source,gaia_nss_flag,gaia_ruwe_high
11_Com,1.0,185.1787793,17.7932516,1.076,0.0,4.437253,4.26,3.9469454131063337e+18,0.0,0.0
11_UMi,1.0,229.2745954,71.8239428,0.964,0.0,4.556678,0.3,1.6967983672602294e+18,0.0,0.0
14_And,1.0,352.82415,39.2358367,0.942,0.0,4.922183,9.0,1.9201135124862822e+18,0.0,0.0
14_Her,1.0,242.6021014,43.8163621,1.819,0.0,6.39524,9.780000000000001,1.3852938081456215e+18,0.0,1.0
16_Cyg_B,1.0,295.4656422,50.5168243,0.987,0.0,6.073419,6.359999999999999,2.1355507556834074e+18,0.0,0.0
17_Sco,1.0,243.4620874,-11.8377905,1.081,0.0,4.763123,0.36,4.3424642097534044e+18,0.0,0.0
18_Del,1.0,314.6078375,10.8391378,1.079,0.0,5.269335,1.7999999999999998,1.756741374681703e+18,0.0,0.0
1RXS_J160929.1-210524,1.0,242.3762343,-21.0831403,1.193,0.0,12.037596,0.7799999999999999,6.243841249531773e+18,0.0,0.0
24_Boo,1.0,217.1555242,49.8446488,0.999,0.0,5.337401,9.24,1.6036622119014733e+18,0.0,0.0
24_Sex,1.0,155.8684866,-0.9023998,1.074,0.0,6.215122,2.28,3.830897080395058e+18,0.0,0.0
2MASS_J01033563-5515561_A,1.0,15.8992489,-55.2658291,,0.0,13.946984,6.6,4.914632365579875e+18,0.0,
2MASS_J01225093-2439505,1.0,20.7128012,-24.6646128,1.239,0.0,12.891425,5.159999999999999,5.040416186560252e+18,0.0,0.0
2MASS_J02192210-3925225,1.0,34.8427046,-39.4230767,2.916,1.0,14.984713,3.3,4.963614887043956e+18,1.0,1.0
2MASS_J0249-0557_A,1.0,42.4851627,-5.9599921,1.277,0.0,15.663645,1.7999999999999998,5.183875103632956e+18,0.0,0.0
2MASS_J03590986+2009361,1.0,59.7911026,20.1599759,1.095,0.0,16.969875,0.42,5.13694280657056e+16,0.0,0.0
2MASS_J04372171+2651014,1.0,69.3405531,26.8502997,1.214,0.0,14.3087,0.84,1.51499478104075e+17,0.0,0.0
2MASS_J04414489+2301513,1.0,70.4371079,23.0308544,1.097,0.0,18.915628,0.72,1.4648755621164454e+17,0.0,0.0
2MASS_J11011926-7732383,1.0,165.3295388,-77.5440912,1.145,0.0,18.322899,0.72,5.201185574182016e+18,0.0,0.0
2MASS_J11550485-7919108,1.0,178.7691634,-79.3197558,1.196,0.0,14.803041,1.26,5.199985216726017e+18,0.0,0.0
2MASS_J12073346-3932539,1.0,181.8890906,-39.5484399,1.068,0.0,17.388071,2.04,3.459372646830687e+18,0.0,0.0
2MASS_J16262785-2625152,1.0,246.6160467,-26.4209954,2.36,0.0,14.057186,0.84,6.045818685674326e+18,0.0,1.0
2MASS_J19383260+4603591,1.0,294.6359173,46.0664076,0.922,0.0,12.114145,0.24,2.0800639314487498e+18,0.0,0.0
2MASS_J21252752-8138278,1.0,321.3662989,-81.6414894,2.912,0.0,10.808022,3.7199999999999998,6.348514275456913e+18,0.0,1.0
2MASS_J22362452+4751425,1.0,339.1025931,47.861683,1.058,0.0,11.938477,2.1,1.9867728480349885e+18,0.0,0.0
2MASS_J22501512+2325342,1.0,342.5634097,23.4259058,1.597,1.0,13.553574,2.88,2.8370472143791e+18,1.0,1.0
47_UMa,1.0,164.8647611,40.4304931,0.85,0.0,4.866588,9.66,7.772543603371333e+17,0.0,0.0
4_UMa,1.0,130.0528099,64.3280504,1.79,0.0,4.222566,1.98,1.0922308035129994e+18,0.0,1.0
51_Eri,1.0,69.4007424,-2.4738245,1.145,0.0,5.141171,2.34,3.2050951253217004e+18,0.0,0.0
51_Peg,1.0,344.3675399,20.7690958,1.057,0.0,5.283212,6.54,2.83520731910925e+18,0.0,0.0
55_Cnc,1.0,133.1468373,28.3298154,0.858,0.0,5.732681,16.200000000000003,7.049670370909467e+17,0.0,0.0
55_Cnc_B,1.0,133.167908,28.3152863,1.523,0.0,11.682962,16.14,7.049667622130395e+17,0.0,1.0
61_Vir,1.0,199.596455,-18.3157745,1.179,0.0,4.532528,45.3,3.50787956509023e+18,0.0,0.0
6_Lyn,1.0,97.6960311,58.1611753,1.207,0.0,5.609718,10.200000000000001,1.0043589680926525e+18,0.0,0.0
70_Vir,1.0,202.1064898,13.7763085,1.279,0.0,4.778971,18.66,3.740176925743995e+18,0.0,0.0
75_Cet,1.0,38.0391598,-1.0350269,1.318,0.0,5.093464,1.14,2.5000642864927795e+18,0.0,0.0
7_CMa,1.0,99.171276,-19.2561808,2.37,0.0,3.673236,2.88,2.939555954755196e+18,0.0,1.0
8_UMi,1.0,224.201685,74.9009379,0.799,0.0,6.574245,0.42,1.7006586538025272e+18,0.0,0.0
91_Aqr,1.0,348.9745031,-9.0878076,0.997,0.0,3.924721,11.04,2.6301555473535933e+18,0.0,0.0
AB_Aur,1.0,73.9410446,30.5510888,1.369,0.0,7.111234,0.72,1.5691749344967066e+17,0.0,0.0
AB_Pic,1.0,94.8039208,-58.0541184,0.923,0.0,8.838295,1.44,5.49505259669557e+18,0.0,0.0
AF_Lep,1.0,81.7699216,-11.9011752,0.918,0.0,6.209527,1.5599999999999998,3.0099083780499133e+18,0.0,0.0
AT2021ueyL,1.0,324.5450417,26.4665694,1.478,0.0,15.428604,8.16,1.8003880692955146e+18,0.0,1.0
AU_Mic,1.0,311.2911369,-31.34245,0.927,0.0,7.84344,13.74,6.794047652729201e+18,0.0,0.0
BD+03_2562,1.0,177.5647268,2.7601075,1.005,0.0,9.002032,0.5399999999999999,3.8956497253368847e+18,0.0,0.0
BD+05_4868_A,1.0,326.8614036,6.6053185,1.056,0.0,9.843772,6.96,2.700378125204438e+18,0.0,0.0
BD+14_4559,1.0,318.4010002,14.6893834,1.054,0.0,9.359003,7.0200000000000005,1.7596238131329807e+18,0.0,0.0
BD+15_2375,1.0,176.4820239,14.6163182,1.14,0.0,9.997001,0.8999999999999999,3.9240096349104067e+18,0.0,0.0
BD+15_2940,1.0,240.09564,15.5467507,1.057,0.0,8.726087,1.3199999999999998,1.1930719626999025e+18,0.0,0.0
