host,injected_period,injected_depth_ppm,repeat,baseline_days,r_star,m_star,is_control,injected_duration_hours,n_transits_in_baseline,rp_earth_implied,tls_period_min,tls_period_max,period_in_search_range,recovered_period,recovered_sde,recovered_snr,detected,alias,score,classified_planet,status,elapsed_s
TIC_241174783,1.0,700,5,26.58040682138153,2.68185,1.0,False,3.676774591422782,26.58040682138153,7.739496473597362,2.625043623914777,13.286731249138477,True,4.994722723490203,4.516656691526219,16.837482777384707,False,,0.027359454995418964,False,ok,8.81381845800206
TIC_180987952,1.0,700,3,24.31246316475699,1.84,1.0,False,3.030213935947792,24.31246316475699,5.310018648104535,1.4986107290296578,12.15206495750816,True,1.9999642289281943,9.429359895049659,22.77413608240921,True,double,0.33495155754724976,True,ok,9.419514624867588
TIC_180987952,1.0,700,2,24.31246316475699,1.84,1.0,False,3.145985852039307,24.31246316475699,5.310018648104535,1.4986107290296578,12.15206495750816,True,1.9999642289281943,9.235675635794268,24.419449041970275,True,double,0.29293288268343387,False,ok,9.489166917279363
TIC_153651591,1.0,700,9,25.033462246992713,2.80165,1.0,False,3.6503635579050373,25.033462246992713,8.08522486166417,2.793345751432772,12.51395334835433,True,3.003060233974123,6.11341864309762,11.14923152526211,True,triple,0.027969370937365852,False,ok,2.3802862921729684
TIC_207084429,1.0,700,1,27.40573581243052,1.77,1.0,False,3.0053069893976545,27.40573581243052,5.108007069100558,1.4099431536992892,13.698527622878022,True,1.9970307990869025,10.657432653366241,51.44564823757238,True,double,0.26138270226348315,False,ok,11.9845193750225
TIC_61733521,1.0,1200,0,24.979221900188577,0.9,1.0,False,1.4610974429742827,24.979221900188577,3.4006531299548914,0.5128449645772368,12.429714896367944,True,1.0021529810982983,14.010279698979277,13.077040712353691,True,exact,0.4280296202190442,True,ok,1.315317832864821
TIC_420645189,1.0,700,4,25.063728802741707,1.03,1.0,False,1.817412623577415,25.063728802741707,2.972456091058517,0.628829029855171,12.528392214133975,True,0.9987524597571209,13.884118220771445,21.141422054943657,True,exact,0.11547649065040824,False,ok,16.993343374691904
TIC_12036590,1.0,700,7,23.63991339414997,0.86,1.0,False,1.560952920355673,23.63991339414997,2.4818565420488587,0.47959068229878843,11.814401307350852,True,10.835462408336067,6.6148853797823355,9.807515077203444,False,,0.9812195265600657,True,ok,9.480004915967584
TIC_391821647,1.0,700,0,27.880490930265523,0.975121,1.0,False,1.738236007863378,27.880490930265523,2.814081898999099,0.5782461790771228,13.936773263146266,True,0.9995373178234176,15.429373371913513,11.650196234279752,True,exact,0.05483405487761632,False,ok,19.7205109577626
TIC_103245940,1.0,700,8,25.702693253206235,0.92,1.0,False,1.6037410064335427,25.702693253206235,2.6550093240522674,0.5303136985312915,12.849263298600581,True,3.250236763026485,16.017355936386238,24.838439594866617,False,,0.7875085669925781,True,ok,11.262286042328924
TIC_305943739,1.0,1200,2,28.200535035638495,1.42,1.0,False,2.337125837307216,28.200535035638495,5.365474938373273,1.0178608952220534,14.096795245631249,True,2.0012322834140606,13.732127200326188,53.83553885012603,True,double,0.20944149397010364,False,ok,9.06651633279398
TIC_462715015,1.0,1200,5,26.446919990175047,1.08,1.0,False,1.8366378337407308,26.446919990175047,4.08078375594587,0.6740436980078122,13.219987816615674,True,1.7514649062336458,6.533793916043878,10.087195488274272,False,,0.33795600191071395,True,ok,6.213305542245507
TIC_119081096,1.0,1200,1,23.97220528983962,0.52,1.0,False,0.9439450440445061,23.97220528983962,1.964821808418382,0.22556499410528877,11.98401931659361,True,0.9993104318392051,9.075037419395365,6.599491514905094,True,exact,0.5508068103354716,True,ok,18.33155445801094
TIC_137543637,1.0,1200,9,26.850380491114265,1.32,1.0,False,2.086583505831827,26.850380491114265,4.9876245906005074,0.9103769883909651,13.422412452051493,True,1.2831653212691814,6.909042971828427,5.716054524272018,False,,0.27555368897076005,False,ok,5.058728292118758
TIC_299876474,1.0,1200,8,24.456575197919392,0.64,1.0,False,1.1108097492837832,24.456575197919392,2.4182422257457006,0.30778757672046864,12.22550987078943,True,2.595330703302615,16.7918462817263,12.197255013453002,False,,0.4192066626800982,True,ok,16.816649541258812
TIC_309402106,1.0,2500,0,27.880013080090293,1.59688,1.0,False,2.772226533206821,27.880013080090293,8.709064144000001,1.2107241682153653,13.93722882431676,True,1.9988465187721738,13.451523777356396,60.32845598962032,True,double,0.4435735410828472,True,ok,7.888479082845151
TIC_267867517,1.0,2500,2,27.16294486766901,2.34,1.0,False,3.698763011669984,27.16294486766901,12.761891999999998,2.145523085336587,13.57869461800532,True,3.0072164240381354,6.01723589370447,8.232778152040922,True,triple,0.30754823747583654,True,ok,3.785223040729761
TIC_379931600,1.0,2500,1,28.2004610660415,1.3,1.0,False,1.910128394277692,28.2004610660415,7.0899399999999995,0.8909745875748782,14.096758269243985,True,1.0008565329693981,15.728650368475662,62.814927245487866,True,exact,0.3143957194801362,True,ok,10.702698166947812
TIC_348054109,1.0,1200,4,24.867089179809,0.365717,1.0,False,0.5572582977379272,24.867089179809,1.3818629563641256,0.13305409092118933,12.431461221136821,True,0.5864638138249635,9.035529348027667,4.902212743315294,False,,0.6555720801307621,True,ok,36.78763904096559
TIC_169904935,1.0,700,6,25.09532914700094,1.09,1.0,False,1.7574572237173083,25.09532914700094,3.145608873061926,0.6831719775525713,12.546970139493842,True,1.0010172569890121,14.431037286028888,35.316013354141035,True,exact,0.11392877556322645,False,ok,55.270927333272994
TIC_452803785,1.0,2500,6,22.77104055337827,1.09,1.0,False,1.6527104776759476,22.77104055337827,5.944642,,,,,,,False,,,False,error: ValueError: zero-size array to reduction operation minimum which has no identity,0.007944708224385977
TIC_75427473,1.0,2500,7,24.147630834710526,2.66,1.0,False,3.3669107193139576,24.147630834710526,14.507108,2.5965749662701545,12.070342974776613,True,3.9925780014717627,5.300595039757806,32.65307906416028,False,,0.5766397913432953,True,ok,2.2948677921667695
TIC_128463355,1.0,2500,5,24.986166663989934,2.29,1.0,False,3.3816704507007698,24.986166663989934,12.489202,2.07088823725063,12.489784739032066,True,4.004526214333977,5.775803690882906,28.10400905424921,False,,0.19162047268617557,False,ok,3.2794442498125136
TIC_143350972,1.0,2500,3,25.726846969728513,1.02,1.0,False,1.7873842051328985,25.726846969728513,5.562876,0.618844568359552,12.860645673958844,True,1.00134088246839,20.296954946318355,226.66653263122438,True,exact,0.3741495325992913,True,ok,12.551568542141467
