host,injected_period,injected_depth_ppm,repeat,baseline_days,r_star,m_star,is_control,injected_duration_hours,n_transits_in_baseline,rp_earth_implied,tls_period_min,tls_period_max,period_in_search_range,recovered_period,recovered_sde,recovered_snr,detected,alias,score,classified_planet,status,elapsed_s
TIC_265285561,1.0,84,6,76.1359239220601,3.60556,1.0,False,3.349809243141383,76.1359239220601,3.6044713119963356,4.108044547668186,38.06219942096092,True,27.949477423277013,4.26526574578666,26.033000462054147,False,,0.8145780612455985,True,ok,24.907418459188193
TIC_43705631,1.0,84,5,76.370648729815,2.68966,2.37,False,3.366850421414643,76.370648729815,2.688847865248135,1.722009859856415,38.18324093709813,True,38.18324093709813,11.358451204316154,39.70970841781054,False,,0.20154702132477773,False,ok,35.15248512523249
TIC_371837199,1.0,84,3,75.99089749942232,2.59819,2.35,False,3.4629483463723165,75.99089749942232,2.5974054843396757,1.640785817994515,37.99162911252003,True,26.125860502795494,9.281762127153563,32.605786168895015,False,,0.4685689237634206,True,ok,41.13242287514731
TIC_464275366,1.0,84,0,75.9942505877525,1.89891,1.67,False,2.6369720846317546,75.9942505877525,1.8983366298336355,1.2168718115575567,37.993652885582804,True,27.07356006363993,6.695831904033622,18.376824249521892,False,,0.6010685828307782,True,ok,41.82801454188302
TIC_300441785,1.0,84,7,76.54235792307736,1.23694,1.03,False,2.000230494615697,76.54235792307736,1.2365665096852494,0.8153814835202251,38.267706605887696,True,23.982268141765935,19.580882895596506,14.000030410978823,False,,0.7522837166872478,True,ok,51.527498916722834
TIC_362172901,1.0,84,1,76.26938785142738,0.936492,1.0,False,1.6736202401103186,76.26938785142738,0.9362092290557008,0.5451876715221807,38.131221580234495,True,37.89386491441064,14.78474915231601,29.565106268001045,False,,0.883675588401341,True,ok,97.34531062515453
TIC_350852989,1.0,84,2,76.30791266899087,0.852167,0.94,False,1.3055241359785665,76.30791266899087,0.8519096907359693,0.4881331444809199,38.15187289853472,True,25.930600716102933,10.62147536935226,5.528571670510894,False,,0.9060680019850768,True,ok,118.4197097090073
TIC_331634064,1.0,84,8,75.94038239841666,0.845916,0.81,False,1.584729651616283,75.94038239841666,0.8456605782066289,0.5198163917690085,37.96567711315808,True,31.628060071119254,9.221616011080478,9.549892591085024,False,,0.7086565119857244,True,ok,104.75110850017518
TIC_301687690,1.0,84,4,76.18366622711346,0.56025,0.554381,False,1.2349183576332499,76.18366622711346,0.560080834196615,0.3387510668620575,38.08836074875169,True,25.57524784126868,18.920711008465275,23.48315473354589,False,,0.6906439631448474,True,ok,157.3128702910617
TIC_456324555,1.0,150,4,76.43456784404407,3.97492,2.08,False,3.7554279248816202,76.43456784404407,5.310106423561107,3.299485521751358,38.214506042642796,True,3.853841311677801,5.774201622980787,14.347076163537679,False,,0.20347657453712972,False,ok,18.590716915670782
TIC_344002749,1.0,150,1,75.89028441999199,0.721669,0.74,False,1.2779114640189797,75.89028441999199,0.9640795770946134,0.4285342222866318,37.941496231011996,True,33.12355404578882,20.97646019635009,17.63688228745629,False,,0.6380460293747271,True,ok,102.74382391618565
TIC_301153917,1.0,150,2,76.2712104260172,0.957836,1.01,False,1.7208384410425914,76.2712104260172,1.279575713805077,0.5611558362639568,38.13317454368459,True,33.556384774703574,14.438892830301752,16.701054240775843,False,,0.7446911177002672,True,ok,85.43625491624698
TIC_469878140,1.0,150,5,75.99011371781125,2.35103,1.99,False,3.2369603965180986,75.99011371781125,3.1407473622072573,1.5363024272368309,37.99210534578102,True,25.95084375663738,6.06984818631818,9.67413383347796,False,,0.7093988328576695,True,ok,32.676342541817576
TIC_447749642,1.0,150,3,76.29009068207688,0.886194,0.88,False,1.6694258744116273,76.29009068207688,1.1838689714312016,0.5346527272600196,38.14145722881036,True,28.998434502106253,11.962639426857299,11.02846303368201,False,,0.8341193256059464,True,ok,106.77733108308166
TIC_382150493,1.0,84,9,75.81444053000905,0.277564,0.251241,False,0.7786563564517395,75.81444053000905,0.27748019038455907,0.17550125852782952,37.904442350541075,True,33.29044671840151,7.909731174793256,8.441620480905822,False,,0.8430385429845317,True,ok,234.6254027923569
TIC_466093558,1.0,150,9,75.93009100851759,0.637406,0.617599,False,1.3028968960265745,75.93009100851759,0.8515124065431231,0.3895758527312587,37.96296205434552,True,26.05936858056319,8.945568213982117,8.981729825783797,False,,0.7730025195152186,True,ok,92.5877619581297
TIC_339603121,1.0,250,1,75.98175448835536,2.36634,1.94,False,3.1771023271091856,75.98175448835536,4.081091693672727,1.5710144763381524,37.987057584722564,True,26.097137731014982,12.065392227950474,32.72935370902138,False,,0.2366996273455743,False,ok,35.991915041580796
TIC_447627658,1.0,150,6,76.54288649543741,0.74987,0.76,False,1.4501493362109557,76.54288649543741,1.0017533695862477,0.447940808352866,38.2670044070223,True,1.0005831856462035,8.54144510141765,2.7645399483090407,True,exact,0.9486248819135463,True,ok,210.20369629189372
TIC_265467908,1.0,250,4,76.02884042864662,2.40019,1.0,False,3.779356879742557,76.02884042864662,4.13947085889447,2.2308438280717495,38.01210527921281,True,13.124730089660575,8.463801646521754,25.52564875020775,False,,0.5534684398200655,True,ok,32.64063045894727
TIC_363873149,1.0,250,3,76.32759631039426,0.679334,0.71,False,1.143883694433352,76.32759631039426,1.1716086211742471,0.3997307140459586,38.161136001845506,True,0.5642688265838502,5.798763626302416,3.897700822625087,False,,0.9753838699458901,True,ok,122.98953724978492
