host,label,n_sectors,status,cadences,windows,peak_bytes,span_days,single_depth_mean,single_depth_mean_odd,single_depth_mean_even,single_odd_even_mismatch,single_secondary_eclipse_depth,single_trap_vshape,single_depth_se,single_n_in_transit,multi_depth_mean,multi_depth_mean_odd,multi_depth_mean_even,multi_odd_even_mismatch,multi_secondary_eclipse_depth,multi_trap_vshape,multi_depth_se,multi_n_in_transit
Kepler-1547,1.0,7,ok,"[120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0]","[403, 403, 403, 403, 403, 403, 403]",2062080,1142.5225806167036,-5.6383746307453464e-05,-1.7761560082041328e-05,-9.500593253308764e-05,0.09056029741498862,-0.0011117788816363827,0.20488565568802744,0.0004262296907761523,262,-9.410548120980522e-05,6.288145756982999e-06,-0.0003056830911847275,0.986723484735275,-0.0001407314822532424,0.010566401269944126,0.00015833908229024706,1609
HD_124330,1.0,10,ok,"[120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 20.0, 20.0, 120.0, 120.0]","[403, 403, 403, 403, 403, 403, 2413, 2413, 403, 403]",12156480,1712.1896891673216,-3.9244252535874935e-05,-5.990078095696738e-05,3.476946993996588e-05,1.6542890371493182,-2.2245216890759423e-07,0.9408557474072282,2.8686609151460972e-05,119,1.4985937662137516e-05,1.4588484259836498e-05,1.5956740211597875e-05,0.06525771031643422,1.5961673724751435e-05,0.9998000277525344,1.0477329977296355e-05,2320
TOI-1448,1.0,7,ok,"[120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0]","[403, 403, 403, 403, 403, 403, 403]",2102400,1898.975101534934,0.0014085969317133573,0.0019664807781901716,0.0012077879194459795,0.622064035441359,-0.00030445084897490204,0.6484469701151193,0.0006093213190070375,305,8.437101367642086e-05,-7.241425380910549e-05,0.0001421327276508455,0.48109797476227023,-0.00013199638372851652,0.12621035994226248,0.00022269847968707667,1846
TOI-1743,1.0,39,ok,"[120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0]","[403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403, 403]",2062080,1951.4623639606134,0.0004947543075771721,0.00048786520995725,0.000634713083190741,0.2535046791643223,0.00050944683038745,0.8775896706684222,0.00028523865200845194,217,-2.3782011347783794e-05,-5.176151893793168e-05,-7.4001987446781214e-06,0.45117136295510135,9.408880344374815e-05,0.5877785865964803,4.915165338892002e-05,7948
Kepler-560,1.0,7,ok,"[120.0, 120.0, 120.0, 120.0, 120.0, 120.0, 120.0]","[403, 403, 403, 403, 403, 403, 403]",2024640,1139.2559369721248,0.016570005805283894,0.013684257012986034,0.021375267088299288,1.4898006179345076,0.0011006737868315408,0.6634723836525077,0.0023868003308904263,178,0.0021224733512446026,0.004059020323956664,3.714971775881093e-05,2.008737459331504,0.00039459030502309034,0.29761949195516274,0.001000779823949973,1493
HD_8326,1.0,2,ok,"[120.0, 120.0]","[403, 403]",1998720,755.8868697922237,0.0002306559015313736,7.3381177698284e-05,0.00030448959569862044,2.210691720447943,-0.00011601199824584629,0.13238019339249374,5.657997957873698e-05,56,0.00010320384036788255,2.8410174690685075e-05,0.00024105774556215653,2.5881982097886627,-2.7314578660231348e-05,0.9999989135905951,3.887346305260731e-05,140
K2-240,1.0,2,ok,"[20.0, 120.0]","[2413, 403]",11897280,24.269411393957853,0.0007237575365220961,0.000987166148762264,0.0005323355346527059,0.4673407488687007,0.000894681283676424,0.1752315625352721,0.00048590489781685873,218,0.0007348998183641653,0.0005769689086290164,0.0007990851450359049,0.2604719595912901,0.0011112913562527638,0.949225824440006,0.0004258403156883111,254
Kepler-1514,1.0,12,ok,"[120.0, 120.0, 120.0, 120.0, 20.0, 20.0, 20.0, 20.0, 120.0, 120.0, 120.0, 120.0]","[403, 403, 403, 403, 2413, 2413, 2413, 2413, 403, 403, 403, 403]",11998080,1168.5931756723126,0.0004083315033170942,0.0002830172836444378,0.0005167800716650017,0.7900773508738786,-2.311778182151336e-05,0.17897087450181595,0.00014785082693670077,326,0.0001731719094415496,0.00019241087108756716,0.00015862319569359684,0.3098843517928552,4.252581107255793e-05,0.17753993535758875,5.45161003041598e-05,9445
Kepler-1711,1.0,4,ok,"[120.0, 120.0, 120.0, 120.0]","[403, 403, 403, 403]",2024640,246.38613335977743,0.0001837196314734557,-0.0004903959650662815,0.0005087750786340051,1.2384066058746384,-0.000502782477116992,0.058451728238726464,0.0004027924372455075,321,0.00010061811831851841,-0.00017967714616773378,0.0003754253439841593,1.503344452567692,-4.5944422844224064e-05,0.04371403037049346,0.00018403052847229643,1287
2MASS_J02192210-3925225,1.0,3,ok,"[120.0, 120.0, 120.0]","[403, 403, 403]",3962880,2818.5528538383933,0.006914920679036207,,0.006914920679036207,,0.0005928186447590189,0.01875756468653078,0.002073382402855313,57,0.0003776655607645729,-0.0007856315313188311,0.0010564441158034121,2.0859991166748126,0.0004229140668536857,0.05267988814325997,0.00046211500338231697,488
