host,tic_id,n_sectors_measured,sectors,mean_depth,sector_depth_frac_scatter,sector_depth_chi2red,status
11_Com,72437047,1.0,49,0.0001188516616821,,,ok
17_Sco,135596590,1.0,91,0.0009325742721557,,,ok
18_Del,354489950,2.0,"55,82",8.866190910339355e-05,1.2525891552447412,73.3855449101222,ok
1RXS_J160929.1-210524,48964101,1.0,91,0.0025162100791931,,,ok
11_UMi,230061010,5.0,"14,15,16,20,21",0.0001048326492309,7.419556237844825,89.59144688071142,ok
24_Boo,441712711,5.0,"22,23,49,50,76",6.504058837890625e-05,3.095002927097744,61.26240255112496,ok
14_And,333225860,4.0,"16,17,57,84",2.014636993408203e-05,20.204990201134187,80.88801693183939,ok
2MASS_J01033563-5515561_A,616014335,5.0,"29,69,103,104,2",-0.0023566424846649,2.1293097885889636,62.03258768126004,ok
16_Cyg_B,27533327,5.0,"14,15,41,54,55",-0.0002196907997131,1.9027185759262175,6.074773843516952,ok
2MASS_J0249-0557_A,10930507,1.0,31,0.012204885482788,,,ok
24_Sex,1713457,5.0,"8,35,45,46,62",0.0001745998859405,1.4187856616737615,17.20429855572,ok
2MASS_J04414489+2301513,118893899,,,,,,no ephemeris
14_Her,219483057,5.0,"24,25,50,51,52",1.9025802612304687e-05,0.914678062834631,2.173166719398429,ok
2MASS_J01225093-2439505,11614485,3.0,"3,30,97",0.0066423118114471,0.5226285996276676,18.011571886849843,ok
2MASS_J03590986+2009361,14183352,3.0,"42,43,44",0.0156403481960296,2.7805379334649967,10.86060115823285,ok
2MASS_J02192210-3925225,77111651,3.0,"3,97,104",0.0022500753402709,1.5213245861071274,10.11893224991548,ok
2MASS_J04372171+2651014,125843782,4.0,"43,44,70,71",0.0105997622013092,0.2836035200487815,50.193589387940584,ok
2MASS_J11011926-7732383,454227159,4.0,"11,12,38,39",-0.0026405155658721,4.419954435494168,2.0017837889703323,ok
2MASS_J11550485-7919108,357014373,5.0,"65,66,93,12,38",0.0096251189708709,1.9148908708158725,58.90701426098073,ok
2MASS_J16262785-2625152,175594111,1.0,91,0.0674437284469604,,,ok
47_UMa,21535479,1.0,48,-7.867813110351562e-06,,,ok
2MASS_J22501512+2325342,435830255,2.0,"56,83",0.0299030989408493,0.6391372318324178,3912.965411379887,ok
2MASS_J12073346-3932539,102076870,5.0,"10,37,90,100,101",0.0015032768249511,7.235296192455812,0.9594173432634036,ok
4_UMa,356478817,4.0,"20,47,60,74",0.0002296939492225,4.012617957084648,966.3074230244616,ok
2MASS_J19383260+4603591,271164763,5.0,"14,15,40,54,74",0.1074582695960998,0.0593347321450801,216.3467715575652,ok
2MASS_J21252752-8138278,273305007,5.0,"13,27,39,66,67",-0.0011265873908996,10.733479277451265,1086.2961479053663,ok
51_Eri,298810162,3.0,"5,32,98",-0.0001049141089121,14.295614639372811,1053.1029279368286,ok
51_Peg,139298196,2.0,"56,83",1.1622905731201172e-06,2.7921652385314952,0.3301591544735603,ok
2MASS_J22362452+4751425,200532605,5.0,"56,57,76,77,83",-0.0001353323459625,0.4221577025317124,0.0773634423271864,ok
55_Cnc,332064670,5.0,"21,44,46,72,1751",3.315210342407227e-05,5.029426326252032,537.5264672874729,ok
75_Cet,251095345,2.0,"4,31",4.2557716369628906e-05,1.558804024632529,35.74227612694885,ok
55_Cnc_B,332064684,5.0,"21,44,46,72,1751",0.00012843608856201173,2.82803412785416,0.3673955839124778,ok
7_CMa,48237215,2.0,"6,33",6.362795829772949e-06,9.045005243187173,19.71389678729504,ok
70_Vir,95473936,2.0,"23,50",-1.3962388038635254e-05,0.9342563448334534,1.322280217594355,ok
6_Lyn,444865362,3.0,"20,60,73",8.891026178995769e-05,1.540133455525304,16.48293077219608,ok
91_Aqr,4610441,3.0,"42,70,92",0.0003546178340911865,1.4591398051715594,314.19907700965615,ok
8_UMi,257005016,5.0,"14,15,20,21,22",6.439089775085449e-05,1.2876234537105948,41.478588408732726,ok
AT2021ueyL,298710936,2.0,"82,15",2.1795300199118017,1.41421766194126,0.6314025955317178,ok
AB_Pic,260351540,5.0,"1,2,3,4,5",0.005493587255477906,4.003275062762657,413.83283630359915,ok
AB_Aur,96680681,5.0,"43,44,59,71,86",-0.0005858302116394043,4.106928670702127,73.90778646129881,ok
BD+05_4868_A,2025181668,2.0,"55,82",0.06007310748100281,0.8340989030865362,204.669707668437,ok
BD+14_4559,230183006,1.0,82,4.6759843826293945e-05,,,ok
BD+15_2940,393702609,1.0,51,0.0007120966911315918,,,ok
AF_Lep,94945758,4.0,"5,6,32,98",0.00523027777671814,3.748147837106018,7492.363089631132,ok
BD+03_2562,366659915,2.0,"46,72",0.0005287230014801025,0.3740997828880523,2.3923510015033354,ok
