host,label,tic_id,n_sectors,sectors
HD_50554,1,80224448,5,"44,45,71,72,1751"
OGLE-2016-BLG-0263L,1,1419106642,1,92
TOI-1807,1,180695581,4,"22,23,49,76"
Kepler-1484,1,137816475,9,"14,40,41,54,55,74,75,81,82"
Kepler-336,1,122298677,9,"14,40,41,54,55,74,75,80,82"
HD_136118,1,38991680,1,51
TIC_257060897,1,257060897,67,
TOI-2328,1,394287035,10,"1,13,27,28,39,66,67,68,93,95"
Kepler-751,1,271259677,7,"14,15,40,54,55,81,82"
Kepler-1316,1,171502232,9,"14,15,41,54,55,74,75,81,82"
Kepler-859,1,158317824,8,"26,40,41,53,55,80,81,82"
HD_132406,1,309808219,7,"16,22,23,49,50,76,77"
Qatar-9,1,149918151,6,"14,21,41,48,74,75"
Kepler-1177,1,399826020,12,"14,26,40,41,53,54,55,74,75,80,81,82"
WASP-20,1,211438925,3,"2,29,69"
HD_136925,1,400015692,1,51
DP_Leo,1,903484062,4,"22,45,46,49"
Kepler-1742,1,158326424,5,"74,75,80,81,82"
Kepler-1440,1,279917282,11,"14,40,41,53,54,55,74,75,80,81,82"
HD_1461,1,37748347,3,"3,42,70"
Kepler-1017,1,237188153,9,"14,26,40,41,53,54,74,80,81"
HD_164595,1,158917706,4,"40,53,79,80"
Kepler-569,1,48353203,11,"14,15,40,41,53,54,55,74,80,81,82"
K2-334,1,330687113,5,"44,45,46,72,1751"
WASP-180_A,1,178367144,4,"7,34,61,88"
Kepler-536,1,28234096,11,"14,15,41,54,55,56,74,76,81,82,83"
WASP-186,1,411608801,4,"17,42,57,84"
Kepler-998,1,27914290,11,"14,15,41,54,55,74,75,76,81,82,83"
Kepler-621,1,122706051,8,"14,40,41,54,55,74,75,82"
HD_102272,1,82605074,4,"22,45,46,49"
Kepler-1624,1,137683938,8,"14,40,41,54,55,74,75,81"
CoRoT-10,1,405010127,2,"54,81"
HATS-65,1,169504920,1,92
HIP_41378,1,366443426,9,"7,34,44,45,46,61,72,88,1751"
HIP_97166,1,237222864,203,
TOI-5386_A,1,202425357,9,"15,16,22,23,48,49,50,75,76"
TOI-237,1,305048087,4,"2,29,69,96"
K2-374,1,321285788,5,"44,45,46,72,1751"
K2-169,1,12770870,2,"42,92"
XO-7,1,268403451,73,
K2-208,1,399722652,6,"3,30,42,43,70,97"
K2-7,1,53210555,5,"9,36,45,46,72"
HAT-P-56,1,84339983,6,"43,44,45,71,72,1751"
K2-44,1,49427836,3,"45,46,72"
Kepler-1226,1,27845000,11,"14,15,41,54,55,74,75,76,81,82,83"
K2-282,1,266030192,3,"42,43,70"
Kepler-1339,1,48354224,13,"14,15,26,40,41,53,54,55,74,75,80,81,82"
TOI-4666,1,165202476,2,"31,97"
TOI-5515,1,55275863,5,"44,45,46,72,1751"
TOI-1295,1,219852584,41,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,59,60,73,74,75,76,77,78,79,80,81,83,84,85,86"
Kepler-931,1,272945038,7,"41,54,55,74,75,81,82"
HD_208897,1,423862056,2,"56,82"
24_Boo,1,441712711,6,"22,23,49,50,76,77"
WASP-29,1,183537452,28,
HD_178911_B,1,42812945,7,"14,40,41,53,54,80,81"
Kepler-1967,1,268604336,9,"14,15,41,54,55,74,75,81,82"
KELT-11,1,55092869,19,
Kepler-1681,1,272602477,9,"14,15,41,54,55,74,75,81,82"
2MASS_J03590986+2009361,1,14183352,3,"42,43,44"
Kepler-1470,1,121733900,6,"40,41,54,55,80,81"
TOI-938,1,332660150,2,"5,32"
K2-260,1,293612446,5,"5,32,43,71,98"
TOI-244,1,118327550,5,"2,29,69,96,104"
Kepler-360,1,158213532,7,"26,40,41,53,55,81,82"
HD_23127,1,311924816,10,"2,3,4,29,30,31,68,69,96,97"
KOI-217,1,271354351,9,"14,15,40,41,54,74,75,81,82"
Kepler-841,1,267569980,8,"15,40,41,53,55,80,81,82"
TIC_9344899,1,9344899,3,"5,32,98"
TOI-6954,1,443607377,5,"9,36,45,46,72"
Kepler-741,1,159050690,9,"14,15,40,41,53,54,55,80,82"
GJ_3341,1,77897915,4,"5,6,32,98"
K2-71,1,402287746,3,"42,70,92"
Kepler-1766,1,270958237,9,"14,15,40,54,55,74,75,81,82"
HIP_4845,1,24250831,3,"3,30,97"
HIP_18606,1,49952922,1,5
K2-258,1,130634730,2,"46,91"
YZ_Cet,1,439403361,2,"3,30"
TOI-2818,1,151483286,5,"7,8,34,61,88"
Kepler-166,1,26814955,10,"14,15,40,41,54,55,74,75,81,82"
Kepler-1787,1,158983401,6,"14,74,75,80,81,82"
Gaia-4,1,166669918,3,"23,50,77"
70_Vir,1,95473936,2,"23,50"
Kepler-1487,1,184015844,8,"14,41,54,55,74,75,81,82"
HD_4113,1,118586897,5,"2,29,69,96,104"
Kepler-94,1,123309556,12,"14,26,40,41,53,54,55,74,75,80,81,82"
HD_89307,1,61125572,4,"45,46,72,1751"
TOI-3493,1,203377303,3,"37,64,91"
K2-388,1,49735922,5,"2,29,42,70,92"
Kepler-558,1,164730843,8,"14,26,40,41,53,54,80,81"
K2-371,1,366622912,6,"7,34,44,45,46,72"
Kepler-222,1,158625100,12,"15,26,40,41,53,54,55,74,75,80,81,82"
Ross_176,1,193336820,9,"14,15,41,55,56,75,76,82,83"
K2-278,1,422334505,1,91
TOI-2257,1,198485881,11,"14,20,21,26,40,41,47,48,53,74,75"
Kepler-1979,1,122142813,4,"14,74,80,81"
TOI-941,1,408137826,3,"5,32,98"
NGTS-18,1,142211778,6,"10,37,63,90,100,101"
TOI-3664,1,348437470,4,"18,58,85,86"
HR_2562,1,167656187,41,"2,3,4,5,6,7,8,9,10,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,62,63,64,66,67,68,69,87,88,89,90,93,94,95,96,97,98"
Kepler-404,1,158268972,10,"14,26,40,41,53,54,55,80,81,82"
Kepler-1898,1,121124617,7,"14,40,41,53,54,80,81"
HD_235088,1,293954617,12,"14,15,16,41,54,55,56,75,76,81,82,83"
Kepler-1480,1,26541144,9,"14,15,40,54,55,74,75,81,82"
Kepler-346,1,158660363,8,"15,40,41,53,54,55,80,82"
OGLE-TR-111,1,465390152,5,"10,11,63,64,90"
Kepler-1111,1,271663670,7,"14,15,40,41,55,81,82"
Kepler-905,1,159225367,9,"15,40,41,54,55,74,75,80,82"
K2-318,1,335322931,1,91
HD_100777,1,49427341,4,"9,36,46,72"
Kepler-849,1,417659078,11,"14,15,40,41,54,55,74,75,80,81,82"
Kepler-1619,1,279913760,10,"14,26,40,41,53,55,74,75,81,82"
TIC_117642575,1,117642575,4,"2,29,69,96"
K2-171,1,206241306,2,"42,92"
Kepler-1498,1,164785771,8,"26,40,41,53,54,55,81,82"
Kepler-1925,1,159177232,5,"14,15,80,81,82"
TOI-4329,1,256722647,11,"17,18,25,52,57,58,77,78,84,85,86"
Kepler-1303,1,164674711,9,"14,26,40,41,53,54,74,80,81"
V1298_Tau,1,15756231,3,"43,44,1751"
TOI-269,1,220479565,107,
Kepler-1492,1,121660826,9,"14,40,41,54,55,74,75,80,81"
TOI-5734,1,9989136,3,"20,47,60"
Kepler-1876,1,171883078,9,"14,15,41,54,55,74,75,81,82"
Kepler-1483,1,271752712,10,"14,15,40,41,54,55,74,75,81,82"
K2-344,1,203289099,5,"44,45,46,72,1751"
