host,label,status,elapsed_s,multi_transit_depth_chi2red,n_transits_used,power_ratio_half_period,power_ratio_double_period
1RXS_J160929.1-210524,1,Success,28.822330236434937,4.261991792399552,2,0.42300111814241576,
14_Her,1,Success,38.57089114189148,1.7712970407272874,16,0.40720656020499263,0.277879594110041
16_Cyg_B,1,Success,42.02476525306702,1.6675004327154404,5,0.6846386056463628,0.6090395708879454
2MASS_J01033563-5515561_A,1,Success,20.95101284980774,7.515571859824137,16,,0.25420432208967286
17_Sco,1,Success,79.98336386680603,36.70691321030296,3,0.5509144235556338,
14_And,1,Success,91.50196290016174,65.76792120593443,15,0.19090276675256748,0.4564454772065087
11_Com,1,Success,94.77236771583557,41.20863594187612,9,0.13565118409235494,0.3291278558945667
18_Del,1,Success,95.11948323249817,41.72624057482191,9,0.49679186149764515,0.6973203398562872
2MASS_J0249-0557_A,1,Success,10.636977910995483,7.863326641003114,10,0.6409123929157703,0.9756756990211023
2MASS_J04414489+2301513,1,Success,13.617977857589722,,0,,
2MASS_J04372171+2651014,1,Success,22.049445867538452,2.053861316516968,12,,0.3049793975482197
2MASS_J01225093-2439505,1,Success,60.42823815345764,6.355265408407663,2,0.3743799964093046,
24_Sex,1,Success,85.53529405593872,31.80759081309585,2,0.643285653280953,
2MASS_J02192210-3925225,1,Success,53.86015486717224,1.1782182026870578,2,0.5179631304753303,
2MASS_J11011926-7732383,1,Success,30.731975078582764,0.9814553530359665,19,,0.2965847975950908
11_UMi,1,Success,151.46296191215515,840.0449600093287,4,0.190675930024888,0.45697620053491383
24_Boo,1,Success,128.34222197532654,90.60949675394862,9,0.41421931686325414,0.09342939987745418
2MASS_J16262785-2625152,1,Success,42.70590806007385,20.457940763567738,15,,0.4381804323279437
2MASS_J21252752-8138278,1,Success,35.42930483818054,180.5097422501379,31,,0.04371236420678476
2MASS_J11550485-7919108,1,Success,93.00179100036621,0.1389278603473471,2,0.22345334728062782,
2MASS_J03590986+2009361,1,Success,117.56538105010986,25.70966623184239,4,0.5907672011451887,
51_Eri,1,Success,36.028213024139404,85.8869850628299,30,,0.41607222315793096
2MASS_J22501512+2325342,1,Success,109.41115593910217,39.92104599888671,32,0.337294653137959,0.8552124259083272
55_Cnc,1,Success,48.870938777923584,1.062991862252981,34,,0.3492497761826482
47_UMa,1,Success,133.9541518688202,1.0190152624977775,10,0.9983179571584232,0.9984196396734986
2MASS_J12073346-3932539,1,Success,182.50475907325745,8.87243585143266,7,-0.025000028340330754,0.12178294806895831
4_UMa,1,Success,132.27983403205872,290.917892368691,3,0.5903449420855198,
70_Vir,1,Success,12.961652040481567,1.9285108288375998,6,,-0.031486297148763824
61_Vir,1,Success,28.147826194763184,2.1748636159195907,7,0.19135425956872404,0.26011801889570113
51_Peg,1,Success,159.87514185905457,0.5969935860817852,29,,0.33648196811671843
55_Cnc_B,1,Success,126.9079201221466,1.0575424958871447,34,0.38628246087149526,0.5157453528121226
7_CMa,1,Success,83.57652306556702,31.592583673566914,12,0.838965966104031,0.6861038327391944
AB_Aur,1,Success,13.530125856399536,133.82460484134154,3,0.9475550652028103,
75_Cet,1,Success,102.64067697525024,124.66013246350646,18,,0.6555600284371506
6_Lyn,1,Success,134.8938159942627,32.51055950092011,2,0.16271021047517317,
AF_Lep,1,Success,42.9925262928009,662.7045075085156,3,-0.09800219840678104,
AB_Pic,1,Success,50.38017797470093,342.99375145032826,7,0.40033910199666356,0.5062079910279097
2MASS_J19383260+4603591,1,Success,321.13247203826904,0.2819965077121543,205,,0.76710353546453
91_Aqr,1,Success,86.63143301010132,0.27880612653988657,2,0.07377193480050417,-0.026034393379990355
8_UMi,1,Success,137.09534811973572,63.11460760265932,21,0.469635731612423,0.7235585908099922
BD+05_4868_A,1,Success,15.185791015625,22.699711275212053,14,0.054860193457683816,0.35134018199138173
