host,oe_timing_offset_frac,oe_timing_significance,oe_n_epochs_odd,oe_n_epochs_even,oe_status
11_Com,0.07171740923947678,3.3612168713036517,4,5,ok
11_UMi,0.0009381291105071357,0.01627207516748927,2,2,ok
14_And,0.05835478474418533,1.0825872297323862,8,8,ok
14_Her,0.03492883292002122,0.7187942069846138,8,8,ok
16_Cyg_B,0.2631826972367331,2.3067319468844576,2,2,ok
17_Sco,,,0,2,"too few epochs (odd=0, even=2)"
18_Del,0.11263417711515533,3.2411896653559373,4,5,ok
1RXS_J160929.1-210524,,,0,2,"too few epochs (odd=0, even=2)"
24_Boo,0.024703238022115565,0.8284084635825205,4,5,ok
24_Sex,,,1,1,"too few epochs (odd=1, even=1)"
2MASS_J01033563-5515561_A,0.0072030738091782955,0.27263703927954647,8,8,ok
2MASS_J01225093-2439505,,,1,1,"too few epochs (odd=1, even=1)"
2MASS_J02192210-3925225,,,0,2,"too few epochs (odd=0, even=2)"
2MASS_J0249-0557_A,0.036480672224032305,1.0836753381719968,4,6,ok
2MASS_J03590986+2009361,0.12115531874978597,1.2933956120904453,2,2,ok
2MASS_J04372171+2651014,0.030836335173584844,0.9849258758516637,6,6,ok
2MASS_J04414489+2301513,,,0,0,no usable ephemeris
2MASS_J11011926-7732383,0.10601471133698674,1.5562887284059588,10,9,ok
2MASS_J11550485-7919108,,,1,1,"too few epochs (odd=1, even=1)"
2MASS_J12073346-3932539,0.06133534731424202,0.6404824472363756,33,34,ok
2MASS_J16262785-2625152,0.02706507577940303,1.3022055165078397,8,7,ok
2MASS_J19383260+4603591,0.00031769713784611314,0.0244835540358929,102,103,ok
2MASS_J21252752-8138278,0.09248283505501466,3.470947715041712,15,16,ok
2MASS_J22362452+4751425,0.004546981943290963,0.25319465561265914,23,25,ok
2MASS_J22501512+2325342,0.03447497125160915,2.1933237618454964,16,16,ok
47_UMa,0.017139634937513314,0.5244774334313174,4,5,ok
4_UMa,,,1,2,"too few epochs (odd=1, even=2)"
51_Eri,0.05119741364544945,3.5052489477389726,15,15,ok
51_Peg,0.007707541341438979,0.3613201155764465,15,14,ok
55_Cnc,0.010369242337535922,0.6024951700198796,16,18,ok
55_Cnc_B,0.011281115197051066,0.6723076921569863,16,18,ok
61_Vir,0.14067638146082143,1.9349356874003698,4,3,ok
6_Lyn,,,0,2,"too few epochs (odd=0, even=2)"
70_Vir,0.07712279672095122,1.0844841071360058,3,4,ok
75_Cet,0.014903478330554812,0.5769692795237362,9,9,ok
7_CMa,0.0718701339625651,1.7315735933468157,5,6,ok
8_UMi,0.011623249241489437,0.6256180737476341,10,11,ok
91_Aqr,,,1,1,"too few epochs (odd=1, even=1)"
AB_Aur,0.09682915044475723,2.266185839850684,2,2,ok
AB_Pic,0.038722009847939436,0.5286755683947687,3,4,ok
AF_Lep,0.06076390578770826,1.3177135234739092,2,2,ok
AT2021ueyL,0.0007314639174187005,0.03617273152278872,15,14,ok
AU_Mic,0.002312168744814336,0.053705077019033536,2,3,ok
BD+03_2562,0.09340349665368755,1.9307072830293557,4,5,ok
BD+05_4868_A,0.02923511145026547,0.612372986858157,7,8,ok
BD+14_4559,0.01078908140905913,0.16562351732622738,6,6,ok
BD+15_2375,0.060833026604366666,2.799688183734904,12,11,ok
BD+15_2940,,,2,1,"too few epochs (odd=2, even=1)"
BD+20_2457,0.022302277951795398,0.3165466375794351,2,3,ok
BD+20_274,,,1,1,"too few epochs (odd=1, even=1)"
BD+20_594,0.027529133232997396,0.2770258396652781,9,10,ok
BD+37_3172,0.013818836938417595,0.6229532237188588,12,13,ok
BD+42_2315,,,2,1,"too few epochs (odd=2, even=1)"
BD+45_564,,,1,2,"too few epochs (odd=1, even=2)"
BD+48_738,0.029785053317781883,1.0078778492458345,5,5,ok
BD+49_828,0.0006226977540967032,0.027617024377391535,11,11,ok
