tic,_src,pseudo_label,p_model,threshold_config,label_source
323859617,unknown_candidates,1,0.9874529987573137,pct5,pseudo
367899500,unknown_candidates,1,0.9869481810584517,pct5,pseudo
260795157,unknown_candidates,1,0.9855452849687263,pct5,pseudo
324497887,unknown_candidates,1,0.9852387906808605,pct5,pseudo
74648456,unknown_candidates,1,0.9871922279357672,pct5,pseudo
229141027,unknown_candidates,1,0.9853547263126743,pct5,pseudo
140459480,unknown_candidates,1,0.9818932085402384,pct5,pseudo
143359172,unknown_candidates,1,0.9773963018339551,pct5,pseudo
277749000,unknown_candidates,1,0.981248236338527,pct5,pseudo
314017939,unknown_candidates,1,0.9844510168854755,pct5,pseudo
343961704,unknown_candidates,1,0.9860722455031082,pct5,pseudo
118273470,unknown_candidates,1,0.9747732133352176,pct5,pseudo
118191232,unknown_candidates,1,0.9801325297380645,pct5,pseudo
280794907,unknown_candidates,1,0.9735563608426965,pct5,pseudo
74993348,unknown_candidates,1,0.9715228570765184,pct5,pseudo
469235870,unknown_candidates,1,0.9713475772088996,pct5,pseudo
160991022,unknown_candidates,0,0.20777416937992835,pct5,pseudo
100566535,unknown_candidates,0,0.21013049767013053,pct5,pseudo
87775884,unknown_candidates,0,0.2009466613042581,pct5,pseudo
303993393,unknown_candidates,0,0.1901087315531757,pct5,pseudo
464422047,unknown_candidates,0,0.1920670723366575,pct5,pseudo
303142114,unknown_candidates,0,0.16451150161660819,pct5,pseudo
217602397,unknown_candidates,0,0.17609543328424082,pct5,pseudo
166606391,unknown_candidates,0,0.18094664272510927,pct5,pseudo
372172466,unknown_candidates,0,0.13182173343928574,pct5,pseudo
125108479,unknown_candidates,0,0.150153302973487,pct5,pseudo
277800037,unknown_candidates,0,0.08741729251374901,pct5,pseudo
30214880,unknown_candidates,0,0.04187089220710334,pct5,pseudo
469878140,unknown_candidates_widesector,0,0.21813231011064005,pct5,pseudo
339603121,unknown_candidates_widesector,0,0.19957805102222323,pct5,pseudo
311175008,unknown_candidates_widesector,0,0.14947841268914205,pct5,pseudo
402705956,unknown_candidates_widesector,0,0.1925448328939901,pct5,pseudo
323859617,unknown_candidates,1,0.9874529987573137,pct1,pseudo
367899500,unknown_candidates,1,0.9869481810584517,pct1,pseudo
74648456,unknown_candidates,1,0.9871922279357672,pct1,pseudo
343961704,unknown_candidates,1,0.9860722455031082,pct1,pseudo
372172466,unknown_candidates,0,0.13182173343928574,pct1,pseudo
277800037,unknown_candidates,0,0.08741729251374901,pct1,pseudo
30214880,unknown_candidates,0,0.04187089220710334,pct1,pseudo
311175008,unknown_candidates_widesector,0,0.14947841268914205,pct1,pseudo
323859617,unknown_candidates,1,0.9874529987573137,abs0.95,pseudo
367899500,unknown_candidates,1,0.9869481810584517,abs0.95,pseudo
260795157,unknown_candidates,1,0.9855452849687263,abs0.95,pseudo
324497887,unknown_candidates,1,0.9852387906808605,abs0.95,pseudo
74648456,unknown_candidates,1,0.9871922279357672,abs0.95,pseudo
229141027,unknown_candidates,1,0.9853547263126743,abs0.95,pseudo
140459480,unknown_candidates,1,0.9818932085402384,abs0.95,pseudo
143359172,unknown_candidates,1,0.9773963018339551,abs0.95,pseudo
277749000,unknown_candidates,1,0.981248236338527,abs0.95,pseudo
314017939,unknown_candidates,1,0.9844510168854755,abs0.95,pseudo
343961704,unknown_candidates,1,0.9860722455031082,abs0.95,pseudo
102032194,unknown_candidates,1,0.9695005474772245,abs0.95,pseudo
118273470,unknown_candidates,1,0.9747732133352176,abs0.95,pseudo
118191232,unknown_candidates,1,0.9801325297380645,abs0.95,pseudo
466307646,unknown_candidates,1,0.9628762698434208,abs0.95,pseudo
119625675,unknown_candidates,1,0.9581513186754218,abs0.95,pseudo
207089163,unknown_candidates,1,0.970129271119746,abs0.95,pseudo
79492963,unknown_candidates,1,0.9622234169589117,abs0.95,pseudo
161265576,unknown_candidates,1,0.9664830156900941,abs0.95,pseudo
140041127,unknown_candidates,1,0.9689514854973688,abs0.95,pseudo
322049520,unknown_candidates,1,0.9534482937417824,abs0.95,pseudo
280794907,unknown_candidates,1,0.9735563608426965,abs0.95,pseudo
138734144,unknown_candidates,1,0.9664722322956308,abs0.95,pseudo
201600307,unknown_candidates,1,0.9686199217085012,abs0.95,pseudo
237316813,unknown_candidates,1,0.9710979439481353,abs0.95,pseudo
355765896,unknown_candidates,1,0.9634497680721321,abs0.95,pseudo
425884418,unknown_candidates,1,0.956983983940327,abs0.95,pseudo
74993348,unknown_candidates,1,0.9715228570765184,abs0.95,pseudo
469235870,unknown_candidates,1,0.9713475772088996,abs0.95,pseudo
139876330,unknown_candidates,1,0.970481186384295,abs0.95,pseudo
220378915,unknown_candidates,1,0.9584750557636428,abs0.95,pseudo
213932220,unknown_candidates,1,0.9626831846554895,abs0.95,pseudo
425952950,unknown_candidates,1,0.9578721187392156,abs0.95,pseudo
158442384,unknown_candidates,1,0.958459731710108,abs0.95,pseudo
381036825,unknown_candidates,1,0.9515886980044181,abs0.95,pseudo
61648669,unknown_candidates,1,0.9555972737246954,abs0.95,pseudo
406280308,unknown_candidates,1,0.9585888248279438,abs0.95,pseudo
231053750,unknown_candidates,1,0.9506014322913086,abs0.95,pseudo
232864710,unknown_candidates,1,0.9581572608356455,abs0.95,pseudo
101311910,unknown_candidates,1,0.9624082057754741,abs0.95,pseudo
304985492,unknown_candidates,1,0.9557340771366786,abs0.95,pseudo
403317759,unknown_candidates,1,0.9529202597351126,abs0.95,pseudo
30214880,unknown_candidates,0,0.04187089220710334,abs0.95,pseudo
