host,label,st_logg,st_rho,rho_circ,rho_ratio
11_Com,1.0,,,0.1822041637753614,
11_UMi,1.0,,,40.72492049875696,
14_And,1.0,,,15.383551443248187,
14_Her,1.0,4.39507,0.903606,17.079814452482356,1.2765040423960168
16_Cyg_B,1.0,4.34608,0.71713,247.15844766183292,2.5373775679550827
17_Sco,1.0,,,21.146116403846996,
18_Del,1.0,,,3.6143571452587975,
1RXS_J160929.1-210524,1.0,3.99592,0.27513,152.61411747215828,2.7440567614473497
24_Boo,1.0,,,2.0566399471901726,
24_Sex,1.0,,,1.5069883595131064,
2MASS_J01033563-5515561_A,1.0,,,3.374831197306326,
2MASS_J01225093-2439505,1.0,4.85804,7.17725,10.752694461721124,0.17555923151834088
2MASS_J02192210-3925225,1.0,4.9636,12.534,10.751098628740001,-0.06663684434299655
2MASS_J0249-0557_A,1.0,4.90849,9.34953,0.06523082055314396,-2.156336937833507
2MASS_J03590986+2009361,1.0,4.93718,10.8906,283.1057137903229,1.4148968274488813
2MASS_J04372171+2651014,1.0,4.61695,2.35503,2.1664071213742084,-0.03625636923111617
2MASS_J04414489+2301513,1.0,5.01181,16.1588,,
2MASS_J11011926-7732383,1.0,,,89.21847425295017,
2MASS_J11550485-7919108,1.0,4.65082,2.71816,1.891929061744953,-0.15737016876304052
2MASS_J12073346-3932539,1.0,5.03186,17.9309,35987.94506678692,3.3025549603708995
2MASS_J16262785-2625152,1.0,,,1.3091377912341917,
2MASS_J19383260+4603591,1.0,,,18.279714893260316,
2MASS_J21252752-8138278,1.0,4.59112,2.11422,0.48886680339050514,-0.6359596294276505
2MASS_J22362452+4751425,1.0,4.62349,2.39032,57.50750943440713,1.3812685140793253
2MASS_J22501512+2325342,1.0,4.7926,5.16966,0.876637714346062,-0.7706418304444926
47_UMa,1.0,4.29541,0.593418,87.91962800078589,2.1707251263370257
4_UMa,1.0,,,1.3710224884742273,
51_Eri,1.0,4.31078,0.501562,0.4763771393979457,-0.022373713288854066
51_Peg,1.0,4.31038,0.633935,51.18871698183308,1.9071295141851317
55_Cnc,1.0,4.42459,1.00616,1.8182178133057398,0.25697886037802997
55_Cnc_B,1.0,4.93735,10.9006,1.8206259433286835,-0.7772296764062985
61_Vir,1.0,,,66.9270513921385,
6_Lyn,1.0,,,41.62903185292232,
70_Vir,1.0,3.85226,0.134942,31.70635907814761,2.3709992311256545
75_Cet,1.0,,,1.9678686707360358,
7_CMa,1.0,,,5.033639303391488,
8_UMi,1.0,,,0.5785242958973017,
91_Aqr,1.0,,,8.888501822988207,
AB_Aur,1.0,3.77411,0.0732686,1.6371754471289843,1.3491773296511251
AB_Pic,1.0,4.34623,0.794525,32.45390644148564,1.6111594128557938
