host,tic_id,rad,e_rad,mass,e_mass,Teff,logg,e_logg,rho,e_rho,lum,lumclass,priority,contratio,numcont
TIC_117642575,117642575,1.08102,0.0517689,1.06,0.12945,5862.0,4.3957,0.075559,0.839072,0.176894,1.24322343,DWARF,0.00156437187,0.0003748635,28
TIC_139270665,139270665,1.37929,0.0648367,1.134,0.157167,6071.0,4.21337,0.0816235,0.43216,0.0953738,2.32835,DWARF,0.00134967361,0.00299792457,41
TIC_139702105,139702105,1.25423,0.0705603,0.9,0.113352,5264.8,4.19555,0.0851924,0.456149,0.109548,1.088879,DWARF,0.00287949783,0.00385884359,52
TIC_142589416,142589416,0.713832,0.0653367,0.641,0.078072,4098.0,4.53773,0.111364,1.76226,0.623447,0.129471451,DWARF,0.000862080255,0.00129283709,40
TIC_147027702,147027702,2.09721,0.086352,1.52,0.257962,6946.0,3.97663,0.0881891,0.164786,0.0379262,9.223929,DWARF,0.000551997,0.0788381249,269
TIC_150070085,150070085,1.05441,0.057211,1.134,0.149403,6070.56,4.44666,0.084384,0.967354,0.228722,1.36027932,DWARF,0.00137981924,0.00242288783,67
TIC_153919886,153919886,0.591697,0.0174347,0.581261,0.0201975,3828.0,4.65824,0.0105041,2.80591,0.150744,0.06773002,DWARF,0.00120761315,0.00133844872,29
TIC_154870955,154870955,0.724328,0.0499296,0.828,0.101291,4999.0,4.63623,0.0919107,2.17884,0.595793,0.295187175,DWARF,0.00116061489,0.00597737264,61
TIC_160113658,160113658,0.789834,0.0531206,0.76,0.0884513,4751.0,4.52381,0.0894319,1.54243,0.411812,0.286355823,DWARF,0.00109714456,0.0006588953,36
TIC_161045582,161045582,1.07976,0.0480227,1.04,0.128734,5806.06,4.38845,0.0733975,0.826139,0.162713,1.1936425,DWARF,0.002541921,0.0019647365,33
TIC_172900988_Aa,172900988,2.02879,0.0938317,1.09,0.137055,5963.0,3.86102,0.0760513,0.130532,0.0277557,4.68842745,DWARF,0.0008315176,0.000452859647,34
TIC_178172313,178172313,0.84345,0.0479724,0.91,0.111077,5300.0,4.54499,0.0827683,1.51658,0.358402,0.5057273,DWARF,0.001418127,0.000169113177,23
TIC_188624430,188624430,0.786574,0.0423719,0.929,0.115423,5366.0,4.6146,0.0821707,1.90896,0.438233,0.462143719,DWARF,0.00175539276,0.0326948352,56
TIC_18942729,18942729,0.825257,0.0636332,0.652,0.0780044,4169.07,4.41914,0.0933089,1.16006,0.326449,0.185365766,DWARF,0.0,0.02603422,118
TIC_198190129,198190129,0.640675,0.0608567,0.638,0.0809807,4075.0,4.62961,0.113614,2.42609,0.826877,0.101971887,DWARF,0.00326852873,0.0251078922,57
TIC_206466666,206466666,0.667193,0.0494849,0.76,0.092017,4727.0,4.67038,0.0946395,2.55894,0.722671,0.2002348,DWARF,0.0024614993,0.03203865,47
TIC_231949697,231949697,0.492584,0.0145664,0.490679,0.0202373,3701.0,4.7439,0.00777091,4.10541,0.19506,0.0410139561,DWARF,0.00428378955,0.01348508,108
TIC_237913194,237913194,1.12898,0.055691,1.02,0.124474,5713.0,4.34129,0.0786001,0.708827,0.157259,1.22327673,DWARF,0.0009800909,0.005731813,34
TIC_241249530,241249530,1.29816,0.054103,1.16,0.160925,6138.86,4.27587,0.0796819,0.530241,0.111937,2.15626478,DWARF,0.0006718694,0.035089694,149
TIC_245076932,245076932,1.30188,0.0600804,1.16,0.152218,6123.0,4.27338,0.0806085,0.52571,0.113805,2.14631367,DWARF,0.000759135641,0.238559142,771
TIC_24750448,24750448,0.713599,0.0593668,0.69,0.0843422,4381.0,4.57001,0.101709,1.89883,0.565885,0.169003531,DWARF,0.00120920746,0.00955905,62
TIC_249022743,249022743,1.2084,0.062412,1.0,0.123655,5639.0,4.27365,0.0758643,0.566723,0.119607,1.3302176,DWARF,0.0003902699,0.0552012064,95
TIC_257060897,257060897,1.88626,0.0869244,1.11,0.147552,6019.0,3.93219,0.0787702,0.165393,0.036039,4.20723057,DWARF,0.000853610341,0.0005874649,43
TIC_260969020,260969020,0.68988,0.0494046,0.75,0.08536,4685.0,4.63558,0.0874003,2.28423,0.589995,0.206576124,DWARF,0.00414001057,0.06705241,121
TIC_270471727,270471727,0.997091,0.0582588,0.9,0.109363,5241.3,4.39484,0.0800638,0.907901,0.20625,0.675958633,DWARF,0.00372267887,0.0425677262,119
TIC_279401253,279401253,1.12699,0.0550855,1.06,0.136166,5859.0,4.35954,0.0799113,0.740544,0.163699,1.3484205,DWARF,0.0007912636,0.00106585934,39
