host,ts_var_ratio,ts_acf_lag1,ts_acf_1hr,ts_n_in,ts_n_out,ts_status
11_Com,1.1002970990342984,0.6540537372366902,0.38086864640775825,1068,9099,ok
11_UMi,2.7476469431507042,0.8976449862620661,0.42891415301565894,105,17149,ok
14_And,1.2655596024130256,0.7336003055508352,0.4332191069468385,380,12424,ok
14_Her,0.9609450011991758,0.04441156745947714,-0.00622517687673323,389,16622,ok
16_Cyg_B,1.1445534222980525,0.013655767784840223,-0.007488040350767626,60,18074,ok
17_Sco,0.868341222018932,0.06476683131786619,0.0343805228079313,73,12358,ok
18_Del,0.8527867833234493,0.6532632825584749,-0.09856966601065514,413,11832,ok
1RXS_J160929.1-210524,1.5076456087146628,0.0767131757978799,0.00543117904178434,35,12342,ok
24_Boo,0.9327778780483101,0.7593122041263112,0.457262900781467,535,15535,ok
24_Sex,2.454626364686412,0.22194615400962822,0.020069493063951734,194,12204,ok
2MASS_J01033563-5515561_A,0.6251224677903803,0.3030284063778388,-0.02292826963845268,683,15627,ok
2MASS_J01225093-2439505,1.1358493270389611,0.2875421784945589,-0.007411838875760452,103,12480,ok
2MASS_J02192210-3925225,1.065380465162168,0.01735851823505275,-0.010360207598117852,96,11826,ok
2MASS_J0249-0557_A,1.021604872656789,0.2105509546835807,0.1423765268138542,350,1811,ok
2MASS_J03590986+2009361,1.6973231082701958,0.004095650424994487,-0.009175532153234923,61,13835,ok
2MASS_J04372171+2651014,1.2970470456671126,0.03709224104426157,-0.007328861065802139,620,12893,ok
2MASS_J04414489+2301513,,,,0,0,no usable ephemeris
2MASS_J11011926-7732383,1.03889729120387,-0.013165478218531855,-0.012345822285443793,220,10842,ok
2MASS_J11550485-7919108,0.8664566709260512,0.006821661123565333,0.006075727536779556,204,18699,ok
2MASS_J12073346-3932539,1.2198629464431385,0.007397932730177261,0.0015076887401042876,74,14497,ok
2MASS_J16262785-2625152,0.44805363724545433,0.4896903415569971,-0.020687265943058624,771,9288,ok
2MASS_J19383260+4603591,0.2519337314446964,0.2786760796689025,0.05901426001148918,2075,9989,ok
2MASS_J21252752-8138278,0.6504852378169805,0.9608715648639822,0.5824507631269306,1933,9544,ok
2MASS_J22362452+4751425,0.9322932256460947,-0.006017015675132656,0.005957864249778716,3261,94902,ok
2MASS_J22501512+2325342,0.6590943342491044,0.5236962296449208,0.09969096271618727,1609,9890,ok
47_UMa,0.9906104445047406,0.05374759892826338,0.005007471240718451,860,88136,ok
4_UMa,1.713129677645838,0.7104362043277253,0.48333483278486306,265,16625,ok
51_Eri,0.4659029530894815,0.9043220995820622,0.4025333125471608,1900,9363,ok
