host,tic_id,elapsed_s,status,sector_used,shift_pixels,verdict,error_message
1RXS_J160929.1-210524,48964101,52.44649600982666,failed,,,,"Depth measured at the target's own pixel in this sector (-3156 ppm) doesn't match the known transit depth (7421 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
14_Her,219483057,71.53653502464294,completed,24.0,1.4361520494614015,"Photocenter shifted 1.44 px from target -- signal likely from a nearby contaminant, not the target star",
16_Cyg_B,27533327,77.32634425163269,failed,,,,"Depth measured at the target's own pixel in this sector (-188 ppm) doesn't match the known transit depth (583 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
11_Com,72437047,81.97848105430603,failed,,,,"Depth measured at the target's own pixel in this sector (-118 ppm) doesn't match the known transit depth (164 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
18_Del,354489950,93.2026572227478,completed,55.0,1.8187724993233532,"Photocenter shifted 1.82 px from target -- signal likely from a nearby contaminant, not the target star",
2MASS_J01225093-2439505,11614485,21.65422797203064,failed,,,,"Depth measured at the target's own pixel in this sector (254 ppm) doesn't match the known transit depth (3640 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
2MASS_J01033563-5515561_A,616014335,34.826839208602905,completed,2.0,0.1453771876555946,Photocenter consistent with target (0.15 px from catalog position),
2MASS_J02192210-3925225,77111651,19.372894048690796,completed,3.0,2.2026830814260427,"Photocenter shifted 2.20 px from target -- signal likely from a nearby contaminant, not the target star",
2MASS_J0249-0557_A,10930507,22.270158290863037,completed,31.0,0.1690119055664231,Photocenter consistent with target (0.17 px from catalog position),
2MASS_J03590986+2009361,14183352,16.114177942276,failed,,,,"Depth measured at the target's own pixel in this sector (5704 ppm) doesn't match the known transit depth (75700 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
17_Sco,135596590,132.69246101379397,completed,91.0,1.017563303648981,"Photocenter shifted 1.02 px from target -- signal likely from a nearby contaminant, not the target star",
24_Sex,1713457,61.336812019348145,failed,,,,"Depth measured at the target's own pixel in this sector (-55215 ppm) doesn't match the known transit depth (522 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
2MASS_J04372171+2651014,125843782,22.53564691543579,completed,43.0,0.761019246584368,"Photocenter shifted 0.76 px from target -- signal likely from a nearby contaminant, not the target star",
2MASS_J16262785-2625152,175594111,21.868485927581787,completed,91.0,0.1504682422557458,Photocenter consistent with target (0.15 px from catalog position),
2MASS_J12073346-3932539,102076870,27.895038843154907,completed,10.0,0.9940759121149868,"Photocenter shifted 0.99 px from target -- signal likely from a nearby contaminant, not the target star",
2MASS_J11550485-7919108,357014373,33.69299006462097,failed,,,,"Depth measured at the target's own pixel in this sector (-11598 ppm) doesn't match the known transit depth (4733 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
2MASS_J22362452+4751425,200532605,16.595580101013184,failed,,,,"Depth measured at the target's own pixel in this sector (-70 ppm) doesn't match the known transit depth (360 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
2MASS_J11011926-7732383,454227159,52.55433297157288,failed,,,,"Depth measured at the target's own pixel in this sector (-3414 ppm) doesn't match the known transit depth (31451 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
2MASS_J22501512+2325342,435830255,16.920047998428345,completed,56.0,0.1517795919633585,Photocenter consistent with target (0.15 px from catalog position),
2MASS_J21252752-8138278,273305007,35.05975079536438,completed,13.0,0.6768938517709219,"Photocenter shifted 0.68 px from target -- signal likely from a nearby contaminant, not the target star",
2MASS_J19383260+4603591,271164763,61.19565486907959,completed,14.0,0.1342202301742953,Photocenter consistent with target (0.13 px from catalog position),
14_And,333225860,225.4838030338287,failed,,,,"Depth measured at the target's own pixel in this sector (-429 ppm) doesn't match the known transit depth (181 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
55_Cnc_B,332064684,4.889621019363403,failed,,,,"Depth measured at the target's own pixel in this sector (-84 ppm) doesn't match the known transit depth (296 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
11_UMi,230061010,236.5277419090271,completed,14.0,0.1839797849236619,Photocenter consistent with target (0.18 px from catalog position),
51_Peg,139298196,70.11428213119507,failed,,,,"Depth measured at the target's own pixel in this sector (-652 ppm) doesn't match the known transit depth (24 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
55_Cnc,332064670,91.87118101119997,completed,21.0,2.868066319347157,"Photocenter shifted 2.87 px from target -- signal likely from a nearby contaminant, not the target star",
24_Boo,441712711,238.3613350391388,failed,,,,"Depth measured at the target's own pixel in this sector (14557 ppm) doesn't match the known transit depth (265 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
47_UMa,21535479,130.20865607261658,failed,,,,"Depth measured at the target's own pixel in this sector (-435 ppm) doesn't match the known transit depth (25 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
8_UMi,257005016,54.59417796134949,failed,,,,"Depth measured at the target's own pixel in this sector (-35 ppm) doesn't match the known transit depth (241 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
AB_Aur,96680681,15.5676589012146,failed,,,,"Depth measured at the target's own pixel in this sector (-7085 ppm) doesn't match the known transit depth (1945 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
70_Vir,95473936,137.50259017944336,failed,,,,"Depth measured at the target's own pixel in this sector (937 ppm) doesn't match the known transit depth (75 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
AB_Pic,260351540,18.485949993133545,completed,1.0,0.6757689103980792,"Photocenter shifted 0.68 px from target -- signal likely from a nearby contaminant, not the target star",
AT2021ueyL,298710936,18.00755286216736,failed,,,,"Depth measured at the target's own pixel in this sector (-252 ppm) doesn't match the known transit depth (4298 ppm) -- this sector's data likely doesn't correspond to the same ephemeris (e.g. a different sector than where period/epoch were derived, or period aliasing). The pixel shift below would not be trustworthy, so this check was not completed with a verdict."
AF_Lep,94945758,37.3199679851532,completed,5.0,0.6369046846627622,"Photocenter shifted 0.64 px from target -- signal likely from a nearby contaminant, not the target star",
