host,tic_id,elapsed_s,status,sector_used,shift_pixels,verdict,error_message
11_Com,72437047,59.22623014450073,failed,,,,"Checked 1 available sector(s); none gave a trustworthy photocenter. sector 49: measured depth -118 ppm vs expected 164 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
1RXS_J160929.1-210524,48964101,62.04538917541504,failed,,,,"Checked 1 available sector(s); none gave a trustworthy photocenter. sector 91: measured depth -3156 ppm vs expected 7421 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
24_Sex,1713457,1.9129018783569336,failed,,,,"Unexpected error in reading data product: 'TypeError: buffer is too small for requested array'
/Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2019032160000-s0008-0000000001713457-0136-s/tess2019032160000-s0008-0000000001713457-0136-s_tp.fits
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
18_Del,354489950,72.69385504722595,completed,55.0,1.8187724993233532,"Photocenter shifted 1.82 px from target -- signal likely from a nearby contaminant, not the target star",
16_Cyg_B,27533327,74.27908301353455,failed,,,,"Unexpected error in reading data product: 'TypeError: buffer is too small for requested array'
/Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2019226182529-s0015-0000000027533327-0151-s/tess2019226182529-s0015-0000000027533327-0151-s_tp.fits
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
2MASS_J01225093-2439505,11614485,1.4636390209197998,failed,,,,"Unexpected error in reading data product: 'TypeError: buffer is too small for requested array'
/Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2018263035959-s0003-0000000011614485-0123-s/tess2018263035959-s0003-0000000011614485-0123-s_tp.fits
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again."
14_Her,219483057,81.47853779792786,completed,24.0,1.4361520494614015,"Photocenter shifted 1.44 px from target -- signal likely from a nearby contaminant, not the target star",
2MASS_J01033563-5515561_A,616014335,32.073403120040894,completed,2.0,0.1453771876555946,Photocenter consistent with target (0.15 px from catalog position),
17_Sco,135596590,117.88826489448547,completed,91.0,1.017563303648981,"Photocenter shifted 1.02 px from target -- signal likely from a nearby contaminant, not the target star",
11_UMi,230061010,162.80906009674072,completed,14.0,0.1839797849236619,Photocenter consistent with target (0.18 px from catalog position),
24_Boo,441712711,121.42972779273988,completed,49.0,1.4775734341632638,"Photocenter shifted 1.48 px from target -- signal likely from a nearby contaminant, not the target star",
14_And,333225860,207.20334887504575,completed,84.0,2.817457355941562,"Photocenter shifted 2.82 px from target -- signal likely from a nearby contaminant, not the target star",
2MASS_J04372171+2651014,125843782,22.98013377189636,completed,43.0,0.761019246584368,"Photocenter shifted 0.76 px from target -- signal likely from a nearby contaminant, not the target star",
2MASS_J0249-0557_A,10930507,27.368812084198,completed,31.0,0.1690119055664231,Photocenter consistent with target (0.17 px from catalog position),
2MASS_J16262785-2625152,175594111,42.7337749004364,completed,91.0,0.1504682422557458,Photocenter consistent with target (0.15 px from catalog position),
2MASS_J12073346-3932539,102076870,50.95852208137512,completed,10.0,0.9940759121149868,"Photocenter shifted 0.99 px from target -- signal likely from a nearby contaminant, not the target star",
2MASS_J19383260+4603591,271164763,33.27925896644592,completed,14.0,0.1342202301742953,Photocenter consistent with target (0.13 px from catalog position),
2MASS_J02192210-3925225,77111651,63.01361584663391,completed,3.0,2.2026830814260427,"Photocenter shifted 2.20 px from target -- signal likely from a nearby contaminant, not the target star",
2MASS_J21252752-8138278,273305007,49.110990047454834,completed,13.0,0.6768938517709219,"Photocenter shifted 0.68 px from target -- signal likely from a nearby contaminant, not the target star",
2MASS_J22501512+2325342,435830255,34.47125005722046,completed,56.0,0.1517795919633585,Photocenter consistent with target (0.15 px from catalog position),
2MASS_J11550485-7919108,357014373,87.32413291931152,completed,66.0,0.1146601791706887,Photocenter consistent with target (0.11 px from catalog position),
2MASS_J22362452+4751425,200532605,49.43653988838196,completed,57.0,1.8379401303293164,"Photocenter shifted 1.84 px from target -- signal likely from a nearby contaminant, not the target star",
47_UMa,21535479,51.339887857437134,failed,,,,"Checked 1 available sector(s); none gave a trustworthy photocenter. sector 48: measured depth -435 ppm vs expected 25 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
55_Cnc_B,332064684,17.03155207633972,completed,46.0,2.4904276531828793,"Photocenter shifted 2.49 px from target -- signal likely from a nearby contaminant, not the target star",
2MASS_J03590986+2009361,14183352,109.2056941986084,failed,,,,"Checked 3 available sector(s); none gave a trustworthy photocenter. sector 42: measured depth 5704 ppm vs expected 75700 ppm -- ephemeris doesn't line up here; sector 43: measured depth 2926 ppm vs expected 75700 ppm -- ephemeris doesn't line up here; sector 44: measured depth -8941 ppm vs expected 75700 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
2MASS_J11011926-7732383,454227159,124.38780999183656,failed,,,,"Checked 4 available sector(s); none gave a trustworthy photocenter. sector 11: measured depth -3414 ppm vs expected 31451 ppm -- ephemeris doesn't line up here; sector 12: measured depth 1958 ppm vs expected 31451 ppm -- ephemeris doesn't line up here; sector 38: measured depth -1567 ppm vs expected 31451 ppm -- ephemeris doesn't line up here; sector 39: measured depth -1782 ppm vs expected 31451 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
51_Peg,139298196,136.11922192573547,failed,,,,"Checked 2 available sector(s); none gave a trustworthy photocenter. sector 56: measured depth -652 ppm vs expected 24 ppm -- ephemeris doesn't line up here; sector 83: measured depth -214 ppm vs expected 24 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
55_Cnc,332064670,141.64302802085876,completed,21.0,2.868066319347157,"Photocenter shifted 2.87 px from target -- signal likely from a nearby contaminant, not the target star",
70_Vir,95473936,200.0597279071808,completed,50.0,1.7157266741668409,"Photocenter shifted 1.72 px from target -- signal likely from a nearby contaminant, not the target star",
51_Eri,298810162,264.69180393218994,completed,5.0,0.9215290723267382,"Photocenter shifted 0.92 px from target -- signal likely from a nearby contaminant, not the target star",
91_Aqr,4610441,127.33731818199158,completed,42.0,0.6540196197050865,"Photocenter shifted 0.65 px from target -- signal likely from a nearby contaminant, not the target star",
75_Cet,251095345,249.18577885627747,completed,4.0,0.6565265056791988,"Photocenter shifted 0.66 px from target -- signal likely from a nearby contaminant, not the target star",
AT2021ueyL,298710936,36.660128116607666,failed,,,,"Checked 1 available sector(s); none gave a trustworthy photocenter. sector 82: measured depth -252 ppm vs expected 4298 ppm -- ephemeris doesn't line up here. Usually this means the transit is too shallow to localize in pixel data, or the stored ephemeris doesn't propagate cleanly to any sector that has pixel data available."
AB_Pic,260351540,66.71251201629639,completed,1.0,0.6757689103980792,"Photocenter shifted 0.68 px from target -- signal likely from a nearby contaminant, not the target star",
