host,trap_vshape,trap_t14_ratio,trap_vshape_err,trap_depth,trap_depth_snr,trap_rmse,trap_nbins,trap_status
TIC_431085335,0.4236707773559267,1.0893778870075097,0.08306327879708714,0.000307906828842587,12.417352400139823,6.683268654492082e-05,60,ok
TIC_76229610,,,,,,,0,no usable ephemeris
TIC_84404935,0.06416746506505247,0.7669094356938804,,0.05028559191741802,,0.0628695938942399,60,ok
TIC_170341426,,,,,,,0,no usable ephemeris
TIC_304835640,,,,,,,0,no usable ephemeris
TIC_349964152,,,,,,,0,no usable ephemeris
TIC_469880084,,,,,,,0,no usable ephemeris
TIC_419794454,,,,,,,0,no usable ephemeris
TIC_389010277,,,,,,,0,no usable ephemeris
TIC_466307264,,,,,,,0,no usable ephemeris
TIC_76812373,0.39909494890833175,2.4721592027505146,0.15776719546929122,0.00027683700637250663,8.13452620833344,0.00011266864710614544,60,ok
TIC_303015196,,,,,,,0,no usable ephemeris
TIC_85136394,,,,,,,0,no usable ephemeris
TIC_224000801,,,,,,,0,no usable ephemeris
TIC_365954183,,,,,,,0,no usable ephemeris
TIC_58488696,,,,,,,0,no usable ephemeris
TIC_120034868,,,,,,,0,no usable ephemeris
TIC_151747664,,,,,,,0,no usable ephemeris
TIC_394580364,,,,,,,0,no usable ephemeris
TIC_615820998,,,,,,,0,no usable ephemeris
TIC_281741309,,,,,,,0,no usable ephemeris
TIC_354606680,,,,,,,0,no usable ephemeris
TIC_120471632,,,,,,,0,no usable ephemeris
TIC_1816937557,,,,,,,0,no usable ephemeris
TIC_1229624961,,,,,,,0,no usable ephemeris
TIC_69613862,,,,,,,0,no usable ephemeris
TIC_155951590,,,,,,,0,no usable ephemeris
TIC_296575127,,,,,,,0,no usable ephemeris
TIC_2055287336,,,,,,,0,no usable ephemeris
TIC_343757277,,,,,,,0,no usable ephemeris
TIC_38836966,,,,,,,0,no usable ephemeris
TIC_234299744,,,,,,,0,no usable ephemeris
TIC_320690083,,,,,,,0,no usable ephemeris
TIC_1922258940,,,,,,,0,no usable ephemeris
TIC_150803999,,,,,,,0,no usable ephemeris
TIC_232064349,0.7107403840642411,1.348535168371196,0.2000931978989911,0.0007462217474536739,6.598240097331509,0.00023272190115040023,60,ok
TIC_59586057,,,,,,,0,no usable ephemeris
TIC_234528371,0.6765016051635732,0.8599299215992278,0.3334747112343691,0.003947701242878314,3.323990168425383,0.0019018420568747017,60,ok
TIC_631664659,,,,,,,0,no usable ephemeris
TIC_372986828,0.50410524194749,1.7761647587829625,0.18264269433472305,0.006314693301986837,5.982801955066596,0.0028439685215637146,60,ok
TIC_379505475,,,,,,,0,no usable ephemeris
