host,trap_vshape,trap_t14_ratio,trap_vshape_err,trap_depth,trap_depth_snr,trap_rmse,trap_nbins,trap_status
TIC_466307264,,,,,,,0,no usable ephemeris
TIC_365954183,,,,,,,0,no usable ephemeris
TIC_1688227492,,,,,,,0,no usable ephemeris
TIC_349964152,,,,,,,0,no usable ephemeris
TIC_1988436721,0.37428830092713694,1.2625211167201953,2.317920116838142,0.13172879532898848,0.5581521048718965,0.6024108438318553,50,ok
TIC_394484050,,,,,,,0,no usable ephemeris
TIC_301687690,0.00565510906864275,0.5666997829020602,,0.0020838935485210475,,0.008504033135200997,60,ok
TIC_1509144412,,,,,,,0,no usable ephemeris
TIC_371928668,0.999997318114694,2.4017072058625937,0.00022207463726769491,0.0030364747594721323,,0.00028426744243114467,36,ok
TIC_396212145,,,,,,,0,no usable ephemeris
TIC_464378507,0.4439534741991563,1.2990027768354329,0.41505258385901006,0.04683053649491568,3.1752934610772066,0.040715651536153884,48,ok
TIC_464317121,0.7308442499193619,0.46616825631426434,0.09964457869907835,0.002122778547243045,10.226659205895801,0.00027310831034771773,60,ok
TIC_295253681,,,,,,,0,no usable ephemeris
TIC_1988286874,,,,,,,0,no usable ephemeris
TIC_352435054,,,,,,,0,no usable ephemeris
TIC_362553116,,,,,,,0,no usable ephemeris
TIC_1509092906,,,,,,,0,no usable ephemeris
TIC_351558953,,,,,,,0,no usable ephemeris
TIC_1988410166,,,,,,,21,too few usable bins (21)
TIC_447627658,,,,,,,0,no usable ephemeris
TIC_361861044,0.9567283695368237,0.33114861358374625,335427.2345122724,0.0024472235557039925,2.8522655537541487e-06,0.001198414269979524,55,ok
TIC_469878140,0.4560503963912399,0.9505211648640708,2.9061291708333776,0.0017061946809560269,1.2732754559850727,0.002319504437502327,32,ok
TIC_402593209,,,,,,,0,no usable ephemeris
TIC_310515887,,,,,,,0,no usable ephemeris
TIC_360453362,,,,,,,0,no usable ephemeris
TIC_2026229140,,,,,,,0,no usable ephemeris
TIC_300316029,0.3120067705157777,0.9541549282638524,0.39732407407979903,0.0005741584622681857,3.5048237208856374,0.00040760378014794194,60,ok
TIC_350572362,,,,,,,0,no usable ephemeris
TIC_351181774,,,,,,,0,no usable ephemeris
TIC_331753560,,,,,,,0,no usable ephemeris
TIC_380838154,0.28743023965448133,0.599776633332423,4.307421418223245,0.00014708373213672364,3.07802644373237,9.799223902037105e-05,60,ok
TIC_466095211,,,,,,,0,no usable ephemeris
TIC_1922082055,,,,,,,0,no usable ephemeris
TIC_346704136,0.8376036173449332,1.8539125861133796,0.37970634721444546,0.007635590018631233,3.0785614968656825,0.00544317205476126,60,ok
TIC_343448758,,,,,,,0,no usable ephemeris
TIC_363873149,,,,,,,0,no usable ephemeris
TIC_410088244,,,,,,,0,no usable ephemeris
TIC_451463754,,,,,,,0,no usable ephemeris
TIC_350852989,,,,,,,0,no usable ephemeris
TIC_1988576229,0.13670808729442963,0.5534293078699796,,0.08489392593707702,,0.22289411993218833,60,ok
TIC_403269435,,,,,,,0,no usable ephemeris
TIC_310051715,,,,,,,0,no usable ephemeris
TIC_465765802,,,,,,,0,no usable ephemeris
TIC_1816012436,,,,,,,0,no usable ephemeris
TIC_2026729631,,,,,,,0,no usable ephemeris
TIC_404238893,,,,,,,0,no usable ephemeris
TIC_1922529980,,,,,,,0,no usable ephemeris
TIC_465799362,0.6868889460723185,1.110752438608692,0.27471632516753447,0.0036330346918369985,4.447173699726882,0.001649732022338708,60,ok
TIC_339269863,,,,,,,0,no usable ephemeris
TIC_363275408,0.36994585674520314,0.9962213985266982,0.34821866668282087,0.00569593972979162,5.636084234006931,0.0027515737892427985,60,ok
TIC_2026380210,,,,,,,0,no usable ephemeris
TIC_1311546480,,,,,,,0,no usable ephemeris
TIC_331774813,,,,,,,0,no usable ephemeris
TIC_294769705,0.5370005664096191,1.0423169056362596,0.6393508566376088,0.004407515647626936,2.5457270516427526,0.004163524991423344,60,ok
TIC_311531517,0.8658653040554949,2.127100888987727,0.2603874640357773,0.06580265154559761,3.998353988199553,0.027882883704156525,60,ok
TIC_294769703,,,,,,,0,no usable ephemeris
TIC_1688667569,,,,,,,0,no usable ephemeris
TIC_292750423,,,,,,,0,no usable ephemeris
TIC_311893428,,,,,,,0,no usable ephemeris
TIC_340389150,,,,,,,0,no usable ephemeris
TIC_379725706,,,,,,,0,no usable ephemeris
TIC_362374242,0.15123599782910332,0.9700929747341029,91722447.18008193,0.0005371214020192326,0.5864915340549778,0.0025177655436822554,60,ok
TIC_364486973,0.26129254152740644,0.3374312561711728,245768957.3649574,0.00019978513410844715,1.5434109433082266,0.00020916458208692919,60,ok
TIC_362172901,,,,,,,0,no usable ephemeris
TIC_447536804,,,,,,,0,no usable ephemeris
TIC_324608514,0.8381752596258807,2.1240279680478498,0.0498257868105833,0.023763262802630674,21.626883114941865,0.001999483544247307,60,ok
TIC_426665045,,,,,,,0,no usable ephemeris
TIC_208155431,,,,,,,0,no usable ephemeris
TIC_364115836,0.11588045566114005,0.9121702709881216,,2.7793521537431314e-05,,0.0001299200898581186,60,ok
TIC_67918274,0.5301885392343405,0.7190049269594978,0.3425102200996256,0.0023186993582401125,3.67913289302133,0.0011677764929762977,60,ok
TIC_1922424569,,,,,,,0,no usable ephemeris
TIC_363600442,,,,,,,0,no usable ephemeris
TIC_306518087,,,,,,,0,no usable ephemeris
TIC_360550353,,,,,,,0,no usable ephemeris
TIC_424136217,0.980385299395805,0.3189128132720067,3939974.432179408,0.010832044797398117,2.4883041078919165e-07,0.0008993542821785385,60,ok
TIC_382150493,,,,,,,0,no usable ephemeris
TIC_466203956,,,,,,,0,no usable ephemeris
TIC_295046932,0.9867699558289118,0.30000001286317457,15335768.743836854,0.051446015291292786,6.434434506454418e-08,0.03520640601326504,60,T14 hit bound
TIC_259719464,0.8985200441434614,0.8996953767396647,0.10853553686542801,0.001288383147385971,9.934084707881356,0.0001408606129115888,60,ok
TIC_402948120,,,,,,,0,no usable ephemeris
TIC_1988645733,,,,,,,0,no usable ephemeris
TIC_339603121,0.7325662142383305,2.499999999989743,0.09071891292630936,0.006063844554963169,14.572090128856654,0.0008319675858065967,39,T14 hit bound
TIC_350856279,,,,,,,0,no usable ephemeris
TIC_2026157727,0.8321632490301875,2.4999999999999996,0.07685624157828491,0.33407431018158257,13.997416852918244,0.04752739049517111,60,T14 hit bound
TIC_82849372,0.9997961042606353,0.7857913781285029,15406.963245874971,0.00047370034857414223,6.489234876059662e-05,0.0001072865135715537,60,ok
TIC_403135040,,,,,,,0,no usable ephemeris
TIC_341293863,,,,,,,0,no usable ephemeris
TIC_1987877160,,,,,,,0,no usable ephemeris
TIC_371930761,,,,,,,0,no usable ephemeris
TIC_277800037,0.7507005983045435,1.640193624307394,0.07962181918237367,0.011717596244566239,15.056718696984,0.0015726732570548122,60,ok
TIC_447649621,,,,,,,0,no usable ephemeris
TIC_469874560,,,,,,,0,no usable ephemeris
TIC_1922582683,,,,,,,0,no usable ephemeris
TIC_410397673,0.7816929590070789,0.7313181496391612,1.1434613171973553,3.498229342033569e-05,1.04008693255303,4.409571671829259e-05,60,ok
TIC_1509709867,,,,,,,0,no usable ephemeris
TIC_464275366,,,,,,,0,no usable ephemeris
TIC_1988262914,0.13199234759869916,2.4999999999999867,0.43659236757646624,0.15448725155984216,2.0918486178232225,0.2628785453385719,60,T14 hit bound
TIC_331634064,0.8334396118864424,2.4999999990508806,0.19394950933855146,0.0023474871598076824,6.325499338430269,0.000861147080394803,55,T14 hit bound
TIC_304907445,,,,,,,0,no usable ephemeris
TIC_414077635,,,,,,,0,no usable ephemeris
TIC_310952994,,,,,,,0,no usable ephemeris
TIC_327710325,,,,,,,0,no usable ephemeris
TIC_363212626,,,,,,,0,no usable ephemeris
TIC_469872864,,,,,,,0,no usable ephemeris
TIC_340390410,0.3665947684894995,1.7484856049371702,3401759.959272978,0.15494950276543673,4.698728634795578,0.09423959119934144,43,ok
TIC_381242179,,,,,,,0,no usable ephemeris
TIC_327303945,,,,,,,0,no usable ephemeris
TIC_303537262,,,,,,,0,no usable ephemeris
TIC_364420518,,,,,,,0,no usable ephemeris
TIC_309898261,,,,,,,0,no usable ephemeris
TIC_1815679645,,,,,,,0,no usable ephemeris
TIC_403050659,0.7546382514676829,2.3131080740835865,0.08709407815315026,0.08691616872777355,13.138096234925358,0.015080390282579015,60,ok
TIC_2026419057,,,,,,,0,no usable ephemeris
TIC_2026029028,,,,,,,0,no usable ephemeris
TIC_1112956829,,,,,,,0,no usable ephemeris
TIC_381293626,,,,,,,0,no usable ephemeris
TIC_300441785,0.5720251354674842,0.9063495058235224,0.18191645468816972,0.001203651903555598,8.5840357248304,0.00029092607013959937,60,ok
TIC_423911734,,,,,,,0,no usable ephemeris
TIC_396211656,,,,,,,0,no usable ephemeris
TIC_396118466,,,,,,,0,too few usable bins (0)
TIC_464405850,0.7180859749390753,0.871271026761561,0.4244739807641534,0.0012456763034219159,3.1040731953268574,0.0006523074819610191,60,ok
TIC_1689447815,0.18953340674196997,0.9601817394075787,13759264.648670156,0.004225437649254786,3.224280525646067,0.003691925404377883,60,ok
TIC_407885273,,,,,,,0,no usable ephemeris
TIC_299612431,,,,,,,0,no usable ephemeris
TIC_402705956,0.6636228190459733,2.3059410487103222,0.0913027959713618,0.003248249699233174,15.795885984952946,0.0005414268170622089,55,ok
TIC_350172725,0.38466008571872584,2.499999999999997,0.10981174867269416,0.010339610346518174,9.79390617473573,0.0033858773307234038,60,T14 hit bound
TIC_295376786,,,,,,,0,no usable ephemeris
TIC_304341456,,,,,,,0,no usable ephemeris
TIC_238831201,0.7489643931359102,2.4999998108569184,0.12833053633922545,0.0020669579932272933,9.07719158362729,0.0005507047135061612,60,T14 hit bound
TIC_298281735,,,,,,,0,no usable ephemeris
TIC_327595545,,,,,,,0,no usable ephemeris
TIC_1113536772,,,,,,,0,no usable ephemeris
TIC_1988647548,,,,,,,0,no usable ephemeris
TIC_363592740,,,,,,,0,no usable ephemeris
TIC_343681524,0.8128837327387971,2.010846345776495,0.07504731169880349,0.003826268166071246,14.277970151550058,0.0004885844887332655,60,ok
TIC_447557875,,,,,,,0,no usable ephemeris
TIC_35920267,,,,,,,0,no usable ephemeris
TIC_401671176,,,,,,,0,no usable ephemeris
TIC_1509222327,,,,,,,0,no usable ephemeris
TIC_1988987895,,,,,,,0,no usable ephemeris
TIC_341029467,0.9444683926715237,0.4996795099747161,2.2701114778296714,0.0008730633306058461,0.7222960869615849,0.002672606691785083,41,ok
TIC_1206002130,,,,,,,0,no usable ephemeris
TIC_71379213,,,,,,,0,no usable ephemeris
