host,recon_err,var_oot_rms
11_Com,5.836548268689512e-06,0.0004073916704564
11_UMi,7.962233695479881e-06,0.0009961541580914
14_And,7.076631192148852e-06,0.0005924471301498
14_Her,5.311962667065018e-06,0.0001935593787926
16_Cyg_B,7.888825621193973e-06,0.0013917658305075
17_Sco,5.157461288263221e-06,0.0009374985781772
18_Del,5.9092897686241486e-06,0.0002151259143709
1RXS_J160929.1-210524,2.8973034204682335e-05,0.0085736140797835
24_Boo,6.1465418070838496e-06,0.0006432023261755
24_Sex,4.5677319349124446e-06,0.0004504077536296
2MASS_J01033563-5515561_A,8.372221600438934e-05,0.0120473091918706
2MASS_J01225093-2439505,2.100575807162386e-05,0.0083495636404738
2MASS_J02192210-3925225,5.2054424486414064e-05,0.0093994330546463
2MASS_J0249-0557_A,8.995298958325293e-05,0.0086808650824579
2MASS_J03590986+2009361,0.002588013798231259,0.0702202482353058
2MASS_J04372171+2651014,2.229387632723956e-05,0.0094171543614714
2MASS_J11011926-7732383,0.0014570869388990104,0.1057695990048886
2MASS_J11550485-7919108,4.064843415108044e-05,0.0147664016671467
2MASS_J12073346-3932539,0.0008093399374047294,0.0569946692518384
2MASS_J16262785-2625152,0.0010643963032634929,0.0285561347392933
2MASS_J19383260+4603591,0.006968882342334837,0.0634064480791763
2MASS_J21252752-8138278,8.578967936045956e-05,0.0271055074485234
2MASS_J22362452+4751425,4.356727686172235e-06,0.0068091983947764
2MASS_J22501512+2325342,5.188131535760476e-05,0.0224374537207796
47_UMa,4.922678357388577e-06,0.0001708205458031
4_UMa,5.696652692677162e-06,0.0007056527700602
51_Eri,6.997563673394325e-06,0.0024793776550062
51_Peg,9.326501299256051e-06,0.0002277943453246
55_Cnc,6.63885754192961e-06,0.0001741158884299
55_Cnc_B,4.9219585491755424e-06,0.0001742265787592
61_Vir,6.634818163320233e-06,0.0001049891196015
6_Lyn,5.5242874168470735e-06,0.0002210181394346
70_Vir,5.560095758028183e-06,0.0001168080308747
75_Cet,6.572271956883924e-06,0.0003288250310201
7_CMa,6.9525848118701106e-06,0.0002020388116121
8_UMi,4.4952236351036845e-06,0.000434576104647
91_Aqr,4.6294773881072615e-06,0.0005676681902092
AB_Aur,9.708812910957931e-06,0.0053224543712577
AB_Pic,7.580089402381418e-06,0.0074078383145986
AF_Lep,6.452964242953385e-06,0.0208051743336901
AT2021ueyL,5.560955833061598e-05,0.0675015058832025
AU_Mic,4.776897753799858e-06,0.0111302889779702
BD+03_2562,5.818480332209219e-06,0.0019465968139105
BD+05_4868_A,1.437053856534476e-05,0.0009683738071912
BD+14_4559,5.663733787741876e-06,0.0005185495046649
BD+15_2375,5.248906120414176e-06,0.0009236379378641
