host,sec_depth_windowed,sec_significance,sec_sigma_eff,sec_n_in_window,sec_status
11_Com,-1.7988481521458155e-05,-3.910165117745645,4.600440385450828e-06,1133,ok
11_UMi,-0.00010706577993113697,-5.1028829620812655,2.0981429659807256e-05,109,ok
14_And,8.673502808020928e-05,6.053456627394125,1.4328181965936828e-05,346,ok
14_Her,1.935127013186211e-05,2.0360040096703043,9.504534391853045e-06,388,ok
17_Sco,-8.969118862056646e-06,-0.45723518554564135,1.9615985701873213e-05,108,ok
16_Cyg_B,2.2046456693347594e-05,0.1554952332985437,0.00014178220274456524,76,ok
24_Boo,7.663576403460493e-05,7.058360366290333,1.0857445647094728e-05,595,ok
24_Sex,-1.8130078472733402e-05,-0.61656782921636,2.940484017107446e-05,105,ok
1RXS_J160929.1-210524,9.105132076991929e-05,0.3470733874866512,0.00026234025440346163,60,ok
18_Del,-8.982881145369603e-06,-1.1042769329271676,8.134627173238316e-06,364,ok
2MASS_J01033563-5515561_A,0.007838906145717472,18.42141026917254,0.00042553235779323336,638,ok
2MASS_J0249-0557_A,0.012260533946707675,28.155811963029624,0.0004354530411982626,354,ok
2MASS_J04414489+2301513,,,,0,no ephemeris
2MASS_J02192210-3925225,0.0005692749184347257,0.7780149671795737,0.0007317017569706101,143,ok
2MASS_J01225093-2439505,-0.0004811307832350842,-1.7513950881025198,0.0002747128768965239,100,ok
2MASS_J03590986+2009361,0.013419264305985834,1.1812490736773478,0.011360232659662798,38,ok
2MASS_J04372171+2651014,0.0003783471103031566,1.2156131619512345,0.000311239728348988,567,ok
2MASS_J16262785-2625152,0.04636361989946691,64.18244292314284,0.0007223723153540042,769,ok
2MASS_J11550485-7919108,0.0006270659111384802,1.0185442359688501,0.0006156491676986502,204,ok
2MASS_J11011926-7732383,0.00368022835017745,0.5070326567768467,0.007258365513519927,209,ok
2MASS_J21252752-8138278,-0.0013468438481385459,-9.492256549626768,0.00014188869012305647,1890,ok
2MASS_J12073346-3932539,-0.008947011859576026,-1.4017288962554828,0.006382840421908033,76,ok
2MASS_J22501512+2325342,0.0023886360918424776,16.579881180707478,0.00014406834800613163,1613,ok
2MASS_J19383260+4603591,-0.07989618195090431,-58.61156422620443,0.0013631470684275617,2113,ok
4_UMa,5.9185034044784146e-05,5.841008688921225,1.0132673515285426e-05,225,ok
55_Cnc,3.395404546191472e-05,7.529429457969081,4.509511066071289e-06,1316,ok
61_Vir,-3.1544691625473575e-06,-0.37243366555898066,8.469881899137279e-06,137,ok
51_Eri,-0.001220706252675674,-32.40623793339858,3.76688665677415e-05,2039,ok
75_Cet,3.740144369812626e-05,5.346803964109117,6.9951028594253076e-06,901,ok
6_Lyn,-4.080177641307969e-05,-1.836711535578805,2.2214580582041035e-05,72,ok
55_Cnc_B,3.250531968168602e-05,7.254767037153426,4.480546310476735e-06,1318,ok
70_Vir,1.5207029831820762e-05,1.591457869837754,9.55540835860838e-06,142,ok
7_CMa,0.00014981609599140633,18.69801022006978,8.012408498450763e-06,452,ok
91_Aqr,-7.254732775852091e-05,-2.4351175472874687,2.979212557493702e-05,135,ok
AB_Aur,-7.847961125162506e-05,-1.1000577765608817,7.134135399412967e-05,174,ok
8_UMi,2.9508157496027643e-05,3.201722094505474,9.216339402681782e-06,1377,ok
AF_Lep,1.2450734249491724e-05,0.15535054378563826,8.014606158490165e-05,105,ok
BD+05_4868_A,-0.00046368786717287946,-6.51430584928417,7.117993503848643e-05,207,ok
AB_Pic,-8.365480511063339e-05,-2.3415258956648364,3.5726619665199574e-05,186,ok
