host,tic_id,label,disposition,n_points,status
EPIC_203776696,399155300,1,CONFIRMED,2476,Success
EPIC_201357643,147677253,1,CONFIRMED,2530,Success
EPIC_206215704,38355468,1,CONFIRMED,3192,Success
EPIC_228894622,51664268,1,CONFIRMED,2530,Success
EPIC_204750116,220604190,1,CONFIRMED,2476,Success
EPIC_216405287,441907126,1,CONFIRMED,3449,Success
EPIC_204890128,49652731,1,CONFIRMED,2476,Success
EPIC_212628254,743941,1,CONFIRMED,3088,Success
EPIC_247422570,69274518,1,CONFIRMED,3643,Success
EPIC_220459477,257429687,1,CONFIRMED,3505,Success
EPIC_216468514,414843476,1,CONFIRMED,3449,Success
EPIC_201427874,56760743,1,CONFIRMED,2530,Success
EPIC_212697709,179012583,1,CONFIRMED,6633,Success
EPIC_202900527,175636600,0,REFUTED,2476,Success
EPIC_228968232,94893626,0,REFUTED,2530,Success
EPIC_210483889,242940281,0,REFUTED,3282,Success
EPIC_211152484,22987989,0,REFUTED,3282,Success
EPIC_206432863,40001645,0,REFUTED,3192,Success
EPIC_206155547,38211505,0,REFUTED,3192,Success
EPIC_211744153,333801337,0,FALSE POSITIVE,7091,Success
EPIC_211600389,46383447,0,FALSE POSITIVE,3645,Success
EPIC_212225806,117254292,0,FALSE POSITIVE,3645,Success
EPIC_211910237,386891430,0,FALSE POSITIVE,7091,Success
EPIC_212171851,197217878,0,FALSE POSITIVE,9462,Success
EPIC_246048459,4553489,0,FALSE POSITIVE,3839,Success
EPIC_251345849,86119726,0,FALSE POSITIVE,3645,Success
EPIC_212154158,243245547,0,FALSE POSITIVE,3645,Success
EPIC_211540348,21277241,0,FALSE POSITIVE,6016,Success
EPIC_211934173,175231643,0,FALSE POSITIVE,9462,Success
EPIC_211453223,21339453,0,FALSE POSITIVE,3645,Success
EPIC_205990339,102183048,0,FALSE POSITIVE,3192,Success
EPIC_211852187,203218029,0,FALSE POSITIVE,3645,Success
EPIC_246163416,301328381,0,FALSE POSITIVE,3357,Success
EPIC_211858408,175265245,0,FALSE POSITIVE,3645,Success
EPIC_211972086,238607424,0,FALSE POSITIVE,5817,Success
EPIC_210789323,114062321,0,FALSE POSITIVE,3282,Success
EPIC_211524114,293410627,0,FALSE POSITIVE,3645,Success
EPIC_202963882,68406313,0,FALSE POSITIVE,2476,Success
EPIC_211770390,293377708,0,FALSE POSITIVE,9462,Success
EPIC_211914718,197247867,0,FALSE POSITIVE,9462,Success
EPIC_211490299,293413388,0,FALSE POSITIVE,3645,Success
EPIC_212628098,178949778,0,FALSE POSITIVE,6633,Success
EPIC_211710534,293412472,0,FALSE POSITIVE,3645,Success
EPIC_206267115,50183750,0,FALSE POSITIVE,3192,Success
EPIC_203692610,68131578,0,FALSE POSITIVE,2476,Success
EPIC_211535481,357245956,0,FALSE POSITIVE,6016,Success
EPIC_210513446,389006033,0,FALSE POSITIVE,3282,Success
EPIC_211093684,35159657,0,FALSE POSITIVE,3282,Success
EPIC_202059377,55072605,0,FALSE POSITIVE,1641,Success
EPIC_212214592,117353968,0,FALSE POSITIVE,3645,Success
EPIC_211831378,6953740,0,FALSE POSITIVE,5817,Success
EPIC_211738534,330656251,0,FALSE POSITIVE,3645,Success
EPIC_203485624,98170399,0,FALSE POSITIVE,2476,Success
EPIC_211492541,46296525,0,FALSE POSITIVE,3645,Success
EPIC_212085740,178219778,0,FALSE POSITIVE,9462,Success
EPIC_211804579,21223786,0,FALSE POSITIVE,5817,Success
EPIC_211425822,323710512,0,FALSE POSITIVE,3645,Success
EPIC_212060895,85978461,0,FALSE POSITIVE,3645,Success
EPIC_251356953,86070236,0,FALSE POSITIVE,3645,Success
EPIC_212679798,196679909,0,FALSE POSITIVE,6633,Success
EPIC_211858489,175240977,0,FALSE POSITIVE,3645,Success
EPIC_202126888,86543926,0,FALSE POSITIVE,1641,Success
EPIC_211509665,21335877,0,FALSE POSITIVE,6016,Success
EPIC_201649426,325315305,0,FALSE POSITIVE,3555,Success
EPIC_212115388,195182846,0,FALSE POSITIVE,3645,Success
EPIC_251314585,86117499,0,FALSE POSITIVE,3645,Success
EPIC_211631904,21338583,0,FALSE POSITIVE,9462,Success
EPIC_211964025,175262043,0,FALSE POSITIVE,3645,Success
EPIC_211402878,323687228,0,FALSE POSITIVE,3645,Success
EPIC_212572452,678620,0,FALSE POSITIVE,6633,Success
EPIC_205979483,240766738,0,FALSE POSITIVE,3192,Success
EPIC_203710387,98093602,0,FALSE POSITIVE,2476,Success
EPIC_251394139,126369442,0,FALSE POSITIVE,3645,Success
EPIC_205483258,413551134,0,FALSE POSITIVE,2476,Success
EPIC_203823381,175744910,0,FALSE POSITIVE,2476,Success
EPIC_211841496,437063370,0,FALSE POSITIVE,3645,Success
EPIC_228729473,98677050,0,FALSE POSITIVE,2530,Success
EPIC_212082682,197217186,0,FALSE POSITIVE,7091,Success
EPIC_211964555,175194989,0,FALSE POSITIVE,3645,Success
EPIC_212221986,126277741,0,FALSE POSITIVE,3645,Success
