host,epic_hostname,tic_id,disposition,label,st_rad,st_mass,st_teff
EPIC_203776696,EPIC 203776696,399155300,CONFIRMED,1,2.192,1.691,7147.0
EPIC_201357643,EPIC 201357643,147677253,CONFIRMED,1,1.25,0.83,5793.0
EPIC_206215704,EPIC 206215704,38355468,CONFIRMED,1,0.25,,3297.0
EPIC_228894622,EPIC 228894622,51664268,CONFIRMED,1,0.69,0.71,4676.0
EPIC_204750116,EPIC 204750116,220604190,CONFIRMED,1,1.051,0.823,5561.0
EPIC_216405287,EPIC 216405287,441907126,CONFIRMED,1,0.910685,0.971461,5491.0
EPIC_204890128,EPIC 204890128,49652731,CONFIRMED,1,0.807,0.851,5263.0
EPIC_212628254,EPIC 212628254,743941,CONFIRMED,1,1.09,1.0,5725.0
EPIC_247422570,EPIC 247422570,69274518,CONFIRMED,1,0.977,0.893,5590.0
EPIC_220459477,EPIC 220459477,257429687,CONFIRMED,1,0.761,0.927,4844.0
EPIC_216468514,EPIC 216468514,414843476,CONFIRMED,1,1.81,1.3,6061.0
EPIC_201427874,EPIC 201427874,56760743,CONFIRMED,1,0.762201,0.826112,4937.0
EPIC_212697709,EPIC 212697709,179012583,CONFIRMED,1,1.1,1.06,5772.0
EPIC_202900527,EPIC 202900527,175636600,REFUTED,0,1.76,,
EPIC_228968232,EPIC 228968232,94893626,REFUTED,0,0.78,0.84,5219.0
EPIC_210483889,EPIC 210483889,242940281,REFUTED,0,,,
EPIC_211152484,EPIC 211152484,22987989,REFUTED,0,,,
EPIC_206432863,EPIC 206432863,40001645,REFUTED,0,1.726,,
EPIC_206155547,EPIC 206155547,38211505,REFUTED,0,1.43,,
EPIC_211744153,EPIC 211744153,333801337,FALSE POSITIVE,0,2.82645,,5444.37
EPIC_211600389,EPIC 211600389,46383447,FALSE POSITIVE,0,1.57514,1.37,6591.15
EPIC_212225806,EPIC 212225806,117254292,FALSE POSITIVE,0,,,5552.0
EPIC_211910237,EPIC 211910237,386891430,FALSE POSITIVE,0,,,
EPIC_212171851,EPIC 212171851,197217878,FALSE POSITIVE,0,3.27338,,5151.0
EPIC_246048459,EPIC 246048459,4553489,FALSE POSITIVE,0,0.645,0.769,4514.0
EPIC_251345849,EPIC 251345849,86119726,FALSE POSITIVE,0,1.23632,1.14,6074.26
EPIC_212154158,EPIC 212154158,243245547,FALSE POSITIVE,0,2.97485,1.4,6658.58
EPIC_211540348,EPIC 211540348,21277241,FALSE POSITIVE,0,1.48463,1.76,7577.62
EPIC_211934173,EPIC 211934173,175231643,FALSE POSITIVE,0,,,
EPIC_211453223,EPIC 211453223,21339453,FALSE POSITIVE,0,1.05773,0.81,4942.0
EPIC_205990339,EPIC 205990339,102183048,FALSE POSITIVE,0,0.35,,3864.0
EPIC_211852187,EPIC 211852187,203218029,FALSE POSITIVE,0,0.424653,0.419009,3260.0
EPIC_246163416,EPIC 246163416,301328381,FALSE POSITIVE,0,0.515,0.512,3734.0
EPIC_211858408,EPIC 211858408,175265245,FALSE POSITIVE,0,1.49352,1.42,6688.0
EPIC_211972086,EPIC 211972086,238607424,FALSE POSITIVE,0,0.400314,0.391835,3249.0
EPIC_210789323,EPIC 210789323,114062321,FALSE POSITIVE,0,3.9,,4936.0
EPIC_211524114,EPIC 211524114,293410627,FALSE POSITIVE,0,7.82356,,4476.31
EPIC_202963882,EPIC 202963882,68406313,FALSE POSITIVE,0,,,
EPIC_211770390,EPIC 211770390,293377708,FALSE POSITIVE,0,,,5762.0
EPIC_211914718,EPIC 211914718,197247867,FALSE POSITIVE,0,1.06418,0.934,5385.55
EPIC_211490299,EPIC 211490299,293413388,FALSE POSITIVE,0,,,
EPIC_212628098,EPIC 212628098,178949778,FALSE POSITIVE,0,0.67,,
EPIC_211710534,EPIC 211710534,293412472,FALSE POSITIVE,0,1.89113,1.32,6481.66
EPIC_206267115,EPIC 206267115,50183750,FALSE POSITIVE,0,0.95,,5675.0
EPIC_203692610,EPIC 203692610,68131578,FALSE POSITIVE,0,0.5139,0.511624,3112.0
EPIC_211535481,EPIC 211535481,357245956,FALSE POSITIVE,0,,,
EPIC_210513446,EPIC 210513446,389006033,FALSE POSITIVE,0,1.00567,,5324.24
EPIC_211093684,EPIC 211093684,35159657,FALSE POSITIVE,0,0.705709,0.815,4947.69
EPIC_202059377,EPIC 202059377,55072605,FALSE POSITIVE,0,1.93,,7747.0
EPIC_212214592,EPIC 212214592,117353968,FALSE POSITIVE,0,1.19162,1.07,5897.77
EPIC_211831378,EPIC 211831378,6953740,FALSE POSITIVE,0,0.682132,0.650711,3742.0
EPIC_211738534,EPIC 211738534,330656251,FALSE POSITIVE,0,0.451115,0.447745,3385.0
EPIC_203485624,EPIC 203485624,98170399,FALSE POSITIVE,0,2.31,,6237.0
EPIC_211492541,EPIC 211492541,46296525,FALSE POSITIVE,0,1.85084,1.77,7598.94
EPIC_212085740,EPIC 212085740,178219778,FALSE POSITIVE,0,1.15426,1.02,5723.1
EPIC_211804579,EPIC 211804579,21223786,FALSE POSITIVE,0,0.950472,1.024,5735.72
EPIC_211425822,EPIC 211425822,323710512,FALSE POSITIVE,0,0.997379,0.97,5523.0
EPIC_212060895,EPIC 212060895,85978461,FALSE POSITIVE,0,,,
EPIC_251356953,EPIC 251356953,86070236,FALSE POSITIVE,0,0.996212,0.95,5457.16
EPIC_212679798,EPIC 212679798,196679909,FALSE POSITIVE,0,0.826606,0.69,4385.0
EPIC_211858489,EPIC 211858489,175240977,FALSE POSITIVE,0,1.65628,1.15,6100.77
EPIC_202126888,EPIC 202126888,86543926,FALSE POSITIVE,0,0.21,,3252.0
EPIC_211509665,EPIC 211509665,21335877,FALSE POSITIVE,0,1.17125,0.99,5581.0
EPIC_201649426,EPIC 201649426,325315305,FALSE POSITIVE,0,0.71,,4598.0
EPIC_212115388,EPIC 212115388,195182846,FALSE POSITIVE,0,0.982781,0.638,4080.0
EPIC_251314585,EPIC 251314585,86117499,FALSE POSITIVE,0,1.74944,0.91,5285.0
EPIC_211631904,EPIC 211631904,21338583,FALSE POSITIVE,0,0.742353,0.86,5119.55
EPIC_211964025,EPIC 211964025,175262043,FALSE POSITIVE,0,2.55977,1.96,8075.0
EPIC_211402878,EPIC 211402878,323687228,FALSE POSITIVE,0,0.701898,0.664837,3777.0
EPIC_212572452,EPIC 212572452,678620,FALSE POSITIVE,0,0.757718,0.64,4076.0
EPIC_205979483,EPIC 205979483,240766738,FALSE POSITIVE,0,0.814,0.945,5414.0
EPIC_203710387,EPIC 203710387,98093602,FALSE POSITIVE,0,0.474383,0.472176,2901.0
EPIC_251394139,EPIC 251394139,126369442,FALSE POSITIVE,0,1.31469,1.1,5980.95
EPIC_205483258,EPIC 205483258,413551134,FALSE POSITIVE,0,0.956267,0.471,3521.0
EPIC_203823381,EPIC 203823381,175744910,FALSE POSITIVE,0,,,6520.0
EPIC_211841496,EPIC 211841496,437063370,FALSE POSITIVE,0,,,
EPIC_228729473,EPIC 228729473,98677050,FALSE POSITIVE,0,3.88053,,4898.0
EPIC_212082682,EPIC 212082682,197217186,FALSE POSITIVE,0,0.785698,0.84,5024.68
EPIC_211964555,EPIC 211964555,175194989,FALSE POSITIVE,0,0.292863,0.268495,3092.0
EPIC_212221986,EPIC 212221986,126277741,FALSE POSITIVE,0,0.671247,0.642823,3614.0
