kepid,label,koi_disposition,n_points,status
7288306,1,CONFIRMED,65031,Success
8573193,1,CONFIRMED,65031,Success
5631630,1,CONFIRMED,51964,Success
9391506,1,CONFIRMED,65031,Success
3645438,1,CONFIRMED,55190,Success
3937519,1,CONFIRMED,65031,Success
5794379,1,CONFIRMED,65031,Success
7584650,1,CONFIRMED,65504,Success
4913852,1,CONFIRMED,65031,Success
7219825,1,CONFIRMED,65031,Success
3326377,1,CONFIRMED,65031,Success
11074178,1,CONFIRMED,51722,Success
5866724,1,CONFIRMED,65504,Success
9651668,1,CONFIRMED,65031,Success
3728432,1,CONFIRMED,65031,Success
11032227,1,CONFIRMED,65031,Success
8956206,1,CONFIRMED,65031,Success
2439243,1,CONFIRMED,55190,Success
11402995,1,CONFIRMED,65031,Success
11192998,1,CONFIRMED,65031,Success
12120307,1,CONFIRMED,65031,Success
5269467,1,CONFIRMED,65031,Success
10857519,1,CONFIRMED,65504,Success
8950568,1,CONFIRMED,65031,Success
10670119,1,CONFIRMED,55190,Success
7428736,1,CONFIRMED,65031,Success
5953297,1,CONFIRMED,65031,Success
10724369,1,CONFIRMED,65031,Success
6442377,1,CONFIRMED,65504,Success
6029239,1,CONFIRMED,65504,Success
9834040,1,CONFIRMED,65031,Success
8278371,1,CONFIRMED,65504,Success
6287313,1,CONFIRMED,65031,Success
5445681,1,CONFIRMED,65031,Success
8890150,1,CONFIRMED,65031,Success
4665571,1,CONFIRMED,51964,Success
8212002,1,CONFIRMED,65031,Success
7849854,1,CONFIRMED,65031,Success
9150827,1,CONFIRMED,65031,Success
8547140,1,CONFIRMED,65031,Success
9592705,1,CONFIRMED,65504,Success
5978559,1,CONFIRMED,65031,Success
8947520,1,CONFIRMED,65031,Success
5364071,1,CONFIRMED,65031,Success
4478168,1,CONFIRMED,52437,Success
8583696,1,CONFIRMED,65031,Success
8009350,1,CONFIRMED,65031,Success
9006449,1,CONFIRMED,65031,Success
6786348,1,CONFIRMED,65031,Success
10080248,1,CONFIRMED,65031,Success
7419318,1,CONFIRMED,65504,Success
11403389,1,CONFIRMED,65031,Success
7434875,1,CONFIRMED,65031,Success
7457296,1,CONFIRMED,65031,Success
5966322,1,CONFIRMED,65504,Success
2721030,1,CONFIRMED,65031,Success
9782691,1,CONFIRMED,51876,Success
11622600,1,CONFIRMED,65031,Success
3937814,1,CONFIRMED,65031,Success
3657758,1,CONFIRMED,42123,Success
9896558,1,CONFIRMED,44679,Success
5978361,1,CONFIRMED,65031,Success
7703882,1,CONFIRMED,65031,Success
11572193,1,CONFIRMED,65031,Success
8625925,1,CONFIRMED,65031,Success
10388286,1,CONFIRMED,65031,Success
8494410,1,CONFIRMED,65031,Success
8008067,1,CONFIRMED,65031,Success
6428700,1,CONFIRMED,65031,Success
8331612,1,CONFIRMED,42376,Success
10155434,1,CONFIRMED,51876,Success
4735826,1,CONFIRMED,65504,Success
4270253,1,CONFIRMED,51964,Success
12254792,1,CONFIRMED,65031,Success
6444896,1,CONFIRMED,37655,Success
9209183,0,FALSE POSITIVE,65031,Success
2997178,0,FALSE POSITIVE,65031,Success
5111801,0,FALSE POSITIVE,52437,Success
11662440,0,FALSE POSITIVE,59265,Success
8076630,0,FALSE POSITIVE,65031,Success
10960993,0,FALSE POSITIVE,65504,Success
5119143,0,FALSE POSITIVE,65504,Success
9153554,0,FALSE POSITIVE,63405,Success
2711114,0,FALSE POSITIVE,65031,Success
9674564,0,FALSE POSITIVE,65031,Success
12647110,0,FALSE POSITIVE,65031,Success
10861715,0,FALSE POSITIVE,65031,Success
7281410,0,FALSE POSITIVE,65504,Success
2998124,0,FALSE POSITIVE,65504,Success
7031066,0,FALSE POSITIVE,65031,Success
3644399,0,FALSE POSITIVE,65031,Success
