kepid,kepoi_name,koi_disposition,koi_period,koi_prad,koi_srad,koi_steff,koi_smass,label
7288306,K03443.01,CONFIRMED,96.169569,2.07,0.702,5340.0,0.783,1
8573193,K04337.01,CONFIRMED,8.18504859,0.93,0.906,5984.0,0.993,1
5631630,K02010.01,CONFIRMED,25.96190067,3.25,1.729,6369.0,1.337,1
9391506,K01410.01,CONFIRMED,15.74958583,2.77,1.025,6191.0,1.088,1
3645438,K04385.01,CONFIRMED,7.298142,1.6,0.834,5119.0,0.818,1
3937519,K00221.01,CONFIRMED,3.413036353,6.62,1.087,5392.0,0.888,1
5794379,K00842.01,CONFIRMED,12.71809866,2.31,0.686,4702.0,0.67,1
7584650,K02631.01,CONFIRMED,44.9977604,1.59,0.983,5871.0,1.097,1
4913852,K00818.01,CONFIRMED,8.11437482,2.1,0.517,3692.0,0.553,1
7219825,K00238.01,CONFIRMED,17.23232894,2.79,1.216,6086.0,1.013,1
3326377,K01830.01,CONFIRMED,13.22714056,2.22,0.8,5180.0,0.825,1
11074178,K01889.01,CONFIRMED,14.30517579,3.05,0.846,5741.0,0.938,1
5866724,K00085.01,CONFIRMED,5.859935955,2.56,1.424,6181.0,1.231,1
9651668,K00183.01,CONFIRMED,2.684328541,12.73,0.956,5561.0,0.859,1
3728432,K03893.01,CONFIRMED,3.90863457,1.86,0.653,4518.0,0.639,1
11032227,K01440.01,CONFIRMED,7.19304935,1.59,0.991,6185.0,1.06,1
8956206,K02048.01,CONFIRMED,6.17998508,2.12,0.791,5149.0,0.811,1
2439243,K02280.01,CONFIRMED,26.0203329,4.53,1.244,5624.0,0.931,1
11402995,K00173.01,CONFIRMED,10.06083238,2.58,1.14,5705.0,0.939,1
11192998,K00481.01,CONFIRMED,7.650243513,2.3,0.746,5409.0,0.835,1
12120307,K02597.01,CONFIRMED,8.00504749,1.52,1.101,6398.0,1.141,1
5269467,K01672.01,CONFIRMED,33.8677783,2.31,0.691,4564.0,0.683,1
10857519,K02075.01,CONFIRMED,2.053341891,1.44,1.358,6084.0,1.076,1
8950568,K02038.01,CONFIRMED,8.30537702,1.69,0.873,5435.0,0.87,1
10670119,K02179.01,CONFIRMED,14.87149773,1.59,0.524,3825.0,0.561,1
7428736,K02827.01,CONFIRMED,7.06321927,1.21,0.818,5305.0,0.753,1
5953297,K02733.01,CONFIRMED,5.62006198,1.45,0.746,4868.0,0.814,1
10724369,K01302.01,CONFIRMED,55.6391882,3.13,0.962,5949.0,1.05,1
6442377,K00176.01,CONFIRMED,30.22910274,3.49,1.518,6325.0,1.296,1
6029239,K00304.01,CONFIRMED,8.512037736,2.14,0.881,5767.0,0.979,1
9834040,K01998.01,CONFIRMED,6.77408984,2.5,1.092,6246.0,1.18,1
8278371,K01150.01,CONFIRMED,0.677374687,0.9,1.037,5718.0,0.974,1
6287313,K02221.01,CONFIRMED,10.62788695,1.87,1.014,6082.0,1.041,1
5445681,K03039.01,CONFIRMED,20.3504704,1.01,1.002,5952.0,0.942,1
8890150,K02650.01,CONFIRMED,34.9897847,1.14,0.521,3765.0,0.526,1
4665571,K02393.01,CONFIRMED,4.60300256,1.32,0.788,4821.0,0.765,1
8212002,K02593.01,CONFIRMED,14.7966306,0.98,1.307,6175.0,1.244,1
7849854,K00897.01,CONFIRMED,2.052349884,13.12,1.08,5855.0,1.049,1
9150827,K01408.01,CONFIRMED,14.53410833,1.36,0.553,3957.0,0.551,1
8547140,K01266.01,CONFIRMED,11.41926141,1.48,0.492,3823.0,0.513,1
9592705,K00288.01,CONFIRMED,10.27532513,3.04,2.086,6150.0,1.448,1
5978559,K02321.01,CONFIRMED,95.6114617,2.37,1.081,6002.0,1.135,1
8947520,K02517.01,CONFIRMED,0.968527683,1.21,0.886,5580.0,0.989,1
5364071,K00248.01,CONFIRMED,7.203855862,2.25,0.539,3834.0,0.541,1
4478168,K00626.01,CONFIRMED,14.58649856,2.45,1.191,6063.0,1.009,1
8583696,K01275.01,CONFIRMED,50.28635977,3.88,1.167,5900.0,1.012,1
8009350,K01569.01,CONFIRMED,13.75207851,2.81,0.699,4802.0,0.738,1
9006449,K01413.01,CONFIRMED,12.64504291,1.55,0.886,5607.0,0.8,1
6786348,K01749.01,CONFIRMED,26.964501,2.2,0.905,5754.0,1.021,1
10080248,K01722.01,CONFIRMED,14.8783945,1.63,0.837,5822.0,0.92,1
7419318,K00313.01,CONFIRMED,18.73577127,2.1,0.795,5188.0,0.814,1
11403389,K02482.01,CONFIRMED,45.0909201,2.44,0.9,5790.0,0.998,1
7434875,K00884.01,CONFIRMED,9.439459486,4.16,0.779,5097.0,0.891,1
7457296,K02213.01,CONFIRMED,3.97076603,1.6,0.778,5178.0,0.732,1
5966322,K00303.01,CONFIRMED,60.92818866,2.78,1.023,5638.0,0.871,1
2721030,K01094.01,CONFIRMED,6.10027621,2.59,0.937,5957.0,1.026,1
9782691,K00590.01,CONFIRMED,11.38840217,3.04,1.456,5876.0,1.093,1
11622600,K01876.01,CONFIRMED,82.5341188,2.45,0.58,4316.0,0.584,1
3937814,K04084.01,CONFIRMED,214.881456,2.68,0.995,5323.0,0.862,1
3657758,K02034.01,CONFIRMED,3.609313059,3.26,0.868,5668.0,0.963,1
9896558,K01718.01,CONFIRMED,67.6690554,3.39,1.08,6127.0,0.964,1
5978361,K00558.01,CONFIRMED,9.17858526,2.3,0.788,5506.0,0.876,1
7703882,K04403.01,CONFIRMED,5.88350251,1.27,0.849,5840.0,0.942,1
11572193,K03109.01,CONFIRMED,10.6761592,1.79,1.434,6460.0,1.388,1
8625925,K00580.01,CONFIRMED,6.521209629,2.54,0.898,5822.0,0.994,1
10388286,K00596.01,CONFIRMED,1.682695938,1.23,0.47,3669.0,0.494,1
8494410,K03685.02,CONFIRMED,7.2593226,1.57,0.987,5914.0,0.938,1
8008067,K00316.01,CONFIRMED,15.77111067,2.62,1.143,5620.0,1.025,1
6428700,K00853.01,CONFIRMED,8.20396958,3.01,0.826,5015.0,0.785,1
8331612,K03318.01,CONFIRMED,13.8353959,3.78,1.057,6020.0,1.03,1
10155434,K00473.01,CONFIRMED,12.70636123,2.75,0.839,5573.0,0.939,1
4735826,K03184.01,CONFIRMED,7.545922037,0.68,1.376,5788.0,1.039,1
4270253,K00551.01,CONFIRMED,11.6370303,2.9,1.198,5576.0,0.945,1
12254792,K01506.01,CONFIRMED,40.4286676,2.92,0.833,5813.0,0.925,1
6444896,K03138.02,CONFIRMED,19.5352551,0.53,0.118,2703.0,0.096,1
9209183,K04623.01,FALSE POSITIVE,186.55347,1.86,1.006,6187.0,1.026,0
2997178,K03814.01,FALSE POSITIVE,5.95077813,32.26,9.828,5122.0,2.707,0
5111801,K06521.01,FALSE POSITIVE,0.562006231,0.58,1.455,6609.0,1.144,0
11662440,K07469.01,FALSE POSITIVE,13.639480425,44.0,0.846,5461.0,0.858,0
8076630,K02235.01,FALSE POSITIVE,0.861643331,1.88,0.688,5506.0,0.682,0
10960993,K01284.01,FALSE POSITIVE,3.117087797,88.51,2.046,6338.0,1.434,0
5119143,K06527.01,FALSE POSITIVE,0.530799654,2.92,1.622,6534.0,1.294,0
9153554,K03044.01,FALSE POSITIVE,0.373684977,2.25,0.908,5970.0,0.996,0
2711114,K06290.01,FALSE POSITIVE,1.429439352,54.36,1.371,6491.0,1.147,0
9674564,K04096.01,FALSE POSITIVE,6.873655305,1.21,0.912,5668.0,0.943,0
12647110,K08240.01,FALSE POSITIVE,462.463589,8.92,2.799,5059.0,0.834,0
10861715,K02537.01,FALSE POSITIVE,133.516435,2.01,0.848,5989.0,0.935,0
7281410,K06855.01,FALSE POSITIVE,0.56681118,,,,,0
2998124,K06302.01,FALSE POSITIVE,28.597880332,74.25,2.474,6590.0,1.368,0
7031066,K07803.01,FALSE POSITIVE,0.566805514,0.82,0.917,5115.0,0.842,0
3644399,K04997.01,FALSE POSITIVE,119.669671,2.21,1.059,6382.0,1.104,0
7284688,K01345.01,FALSE POSITIVE,0.323021692,46.4,0.972,5458.0,0.828,0
8323753,K00175.01,FALSE POSITIVE,6.71425632,5.76,2.623,6093.0,1.372,0
6356885,K04378.01,FALSE POSITIVE,343.42046,2.15,0.967,6115.0,0.999,0
3248696,K07651.01,FALSE POSITIVE,383.43595,2.53,0.729,5576.0,0.823,0
6850665,K03244.01,FALSE POSITIVE,214.715417,71.79,5.826,5022.0,1.421,0
2712825,K08086.01,FALSE POSITIVE,18.384953,1.36,1.401,6335.0,1.172,0
5389184,K06575.01,FALSE POSITIVE,1.06995136,0.9,1.221,5869.0,1.021,0
4274816,K05053.01,FALSE POSITIVE,14.3641542,0.98,1.033,5925.0,0.898,0
7690855,K04077.01,FALSE POSITIVE,0.786260569,15.72,0.557,4223.0,0.544,0
8957954,K06189.01,FALSE POSITIVE,2.179924994,60.99,0.966,6106.0,1.043,0
8516349,K05531.01,FALSE POSITIVE,559.28332,2.54,0.709,4386.0,0.708,0
10925113,K02557.01,FALSE POSITIVE,11.7761073,1.31,0.689,5096.0,0.719,0
3555178,K04994.01,FALSE POSITIVE,528.10984,0.77,0.811,5618.0,0.884,0
10486425,K07334.01,FALSE POSITIVE,5.274819905,100.89,1.834,7247.0,1.584,0
