Preprocessing (serial, fast)...
150/150 preprocessed successfully.
Running TLS on 150 stars across 8 workers (real measured cost: ~11min/star single-threaded, so expect ~207 min wall time)...
  [1/150] KIC_5631630: TLS: Required feature(s) not computable: ['transit_shape_ratio'] (1363s elapsed, ~203041s remaining)
  [2/150] KIC_9391506: TLS: Required feature(s) not computable: ['transit_shape_ratio'] (2342s elapsed, ~173342s remaining)
  [3/150] KIC_3645438: TLS: Required feature(s) not computable: ['transit_shape_ratio'] (2680s elapsed, ~131332s remaining)
  [4/150] KIC_7584650: TLS: Required feature(s) not computable: ['transit_shape_ratio'] (2880s elapsed, ~105124s remaining)
  [5/150] KIC_3937519: TLS: Required feature(s) not computable: ['transit_shape_ratio'] (3416s elapsed, ~99077s remaining)
  [6/150] KIC_8573193: TLS: Required feature(s) not computable: ['transit_shape_ratio'] (3716s elapsed, ~89173s remaining)
  [7/150] KIC_7288306: TLS: Required feature(s) not computable: ['transit_shape_ratio'] (4429s elapsed, ~90486s remaining)
  [8/150] KIC_5794379: Success (4963s elapsed, ~88097s remaining)
  [9/150] KIC_7219825: TLS: Required feature(s) not computable: ['transit_shape_ratio'] (5008s elapsed, ~78461s remaining)
  [10/150] KIC_5866724: TLS: Required feature(s) not computable: ['transit_shape_ratio'] (5686s elapsed, ~79606s remaining)
  [11/150] KIC_11074178: Success (6213s elapsed, ~78513s remaining)
  [12/150] KIC_4913852: TLS: Required feature(s) not computable: ['depth_mean_even', 'odd_even_mismatch', 'transit_shape_ratio'] (6591s elapsed, ~75796s remaining)
  [13/150] KIC_3326377: TLS: Required feature(s) not computable: ['transit_shape_ratio'] (6985s elapsed, ~73612s remaining)
  [14/150] KIC_2439243: Success (7397s elapsed, ~71854s remaining)
  [15/150] KIC_11032227: TLS: Required feature(s) not computable: ['transit_shape_ratio'] (7483s elapsed, ~67344s remaining)
  [16/150] KIC_3728432: Success (8496s elapsed, ~71150s remaining)
  [17/150] KIC_8956206: Success (8674s elapsed, ~67860s remaining)
  [18/150] KIC_9651668: Success (8825s elapsed, ~64716s remaining)
  [19/150] KIC_11402995: Success (8851s elapsed, ~61022s remaining)
  [20/150] KIC_12120307: TLS: Required feature(s) not computable: ['transit_shape_ratio'] (9572s elapsed, ~62215s remaining)
  [21/150] KIC_10857519: TLS: Required feature(s) not computable: ['transit_shape_ratio'] (9616s elapsed, ~59068s remaining)
  [22/150] KIC_11192998: TLS: Required feature(s) not computable: ['transit_shape_ratio'] (10296s elapsed, ~59906s remaining)
  [23/150] KIC_8950568: TLS: Required feature(s) not computable: ['transit_shape_ratio'] (12129s elapsed, ~66973s remaining)
  [24/150] KIC_6442377: Success (12132s elapsed, ~63692s remaining)
  [25/150] KIC_7428736: Success (13126s elapsed, ~65630s remaining)
