hostname,pl_name,ra,dec,st_rad,st_teff,st_mass
Kepler-1597,Kepler-1597 b,288.1639687,42.4810124,1.39,6377.0,1.25
Kepler-687,Kepler-687 b,289.3154576,39.1532911,0.73,4841.0,0.77
Kepler-1596,Kepler-1596 b,285.5575066,49.3300866,0.92,5706.0,0.95
Kepler-692,Kepler-692 b,294.7768068,40.1537027,0.86,5440.0,0.9
Kepler-150,Kepler-150 c,288.2341025,40.520897,0.939,5560.0,0.956
Kepler-1494,Kepler-1494 b,282.6573891,43.1625334,0.94,5659.0,0.96
Kepler-1502,Kepler-1502 b,296.1079271,39.3199201,1.72,6666.0,1.44
Kepler-1490,Kepler-1490 b,295.6935734,42.6094543,0.87,5515.0,0.9
Kepler-1491,Kepler-1491 b,293.6297645,45.7406293,0.99,5728.0,1.0
Kepler-171,Kepler-171 b,296.7719082,41.7555958,0.839,5642.0,0.978
Kepler-1926,Kepler-1926 b,291.1987905,44.1662033,0.832,5256.0,0.768
Kepler-1631,Kepler-1631 b,294.6325781,43.8076687,0.95,5679.0,0.97
KOI-1599,KOI-1599.02,298.3738383,40.6184483,0.972,5833.0,1.02
Kepler-719,Kepler-719 b,295.5360628,43.8844116,0.98,5777.0,0.99
Kepler-734,Kepler-734 b,297.0456122,46.0273893,0.78,5326.0,0.85
Kepler-1408,Kepler-1408 b,282.6998783,45.4257884,1.35,6170.0,1.21
Kepler-1427,Kepler-1427 b,295.3496546,45.1145372,1.01,5793.0,1.01
Kepler-1665,Kepler-1665 b,290.39624,41.0399229,0.777785,5049.84,0.842
Kepler-342,Kepler-342 e,292.6780488,46.7266813,1.34,6366.0,1.26
Kepler-267,Kepler-267 b,299.8305655,47.1575741,0.555,4258.0,0.541571
Kepler-1738,Kepler-1738 b,296.1313474,47.4388098,1.001,6063.0,1.079
Kepler-746,Kepler-746 b,290.6822097,37.3551593,0.93,5418.0,0.91
Kepler-760,Kepler-760 b,287.5931997,44.1794278,0.85,5322.0,0.89
Kepler-272,Kepler-272 c,299.1275257,47.5938319,0.929,5297.0,0.91
Kepler-775,Kepler-775 b,291.4332781,41.7033162,0.84,5468.0,0.92
Kepler-498,Kepler-498 b,290.3581592,44.5187225,0.96,5744.0,0.98
Kepler-877,Kepler-877 b,289.8591023,46.5227429,0.81,5261.0,0.85
Kepler-865,Kepler-865 b,297.7242257,43.5272796,0.92,5570.0,0.93
Kepler-288,Kepler-288 c,288.9163997,39.5947523,1.091,5918.0,0.842
Kepler-794,Kepler-794 b,288.1336793,38.9968923,1.38,5839.0,1.19
Kepler-485,Kepler-485 b,294.9963415,50.4700458,1.09,5958.0,1.07
Kepler-340,Kepler-340 c,295.933471,40.3005515,1.85,6620.0,1.65
Kepler-333,Kepler-333 b,292.2861201,40.9135429,0.534,4259.0,0.601
Kepler-951,Kepler-951 b,287.7375794,38.1146488,0.73,4834.0,0.77
Kepler-66,Kepler-66 b,293.9815378,46.687728,0.966,5962.0,1.038
Kepler-1805,Kepler-1805 b,285.0865387,40.8990506,0.552,3867.0,0.581
Kepler-1792,Kepler-1792 b,294.8400788,39.0859757,1.005,5229.0,0.878
Kepler-276,Kepler-276 d,293.568197,39.0363123,1.03,5693.0,1.1
Kepler-372,Kepler-372 c,291.2562253,49.2589288,1.137,6509.0,1.202
Kepler-114,Kepler-114 b,294.121482,48.3497977,0.667,4605.0,0.77
Kepler-1207,Kepler-1207 b,295.0641963,49.3589615,1.06,5909.0,1.06
Kepler-1249,Kepler-1249 b,296.8948517,44.3717429,1.28,6202.0,1.19
Kepler-1859,Kepler-1859 b,293.9886751,46.7179996,1.235,5887.0,1.09
Kepler-1244,Kepler-1244 b,282.3012505,46.5161814,1.77,6680.0,1.46
Kepler-213,Kepler-213 c,290.8241931,44.6472832,1.195,5696.0,1.07
Kepler-1388,Kepler-1388 b,283.3360156,47.1744499,0.61,4098.0,0.63
Kepler-258,Kepler-258 c,294.0684116,46.5791357,0.915,4942.0,0.82
Kepler-355,Kepler-355 b,285.7994917,42.8117427,1.066,6184.0,0.933
Kepler-324,Kepler-324 e,286.4714473,49.6490933,0.826,5191.0,0.844
Kepler-330,Kepler-330 b,288.4474035,44.8017616,0.722,5117.0,0.848
Kepler-233,Kepler-233 c,296.3665054,51.3194548,0.758,5360.0,0.855
Kepler-174,Kepler-174 d,287.4389454,43.8320052,0.622,4880.0,0.602
Kepler-200,Kepler-200 c,284.4099503,41.2374928,0.944,5678.0,0.972
Kepler-130,Kepler-130 d,288.4505905,40.2452006,1.127,5884.0,0.927
Kepler-541,Kepler-541 b,294.1496529,38.458207,2.06,6166.0,1.41
Kepler-1585,Kepler-1585 b,296.1589897,44.5630457,0.91,5538.0,0.94
Kepler-1275,Kepler-1275 b,293.5004955,44.9324455,1.36,6296.0,1.23
Kepler-60,Kepler-60 d,288.9612535,42.2650472,1.257,5905.0,1.041
Kepler-1176,Kepler-1176 b,297.919724,45.2742038,1.02,5844.0,1.01
Kepler-1225,Kepler-1225 b,290.6332748,40.1369671,1.19,6140.0,1.13
Kepler-1394,Kepler-1394 b,283.4532068,45.0840729,2.55,6481.0,1.64
Kepler-1649,Kepler-1649 b,292.5029676,41.8299933,0.2317,3240.0,0.1977
TOI-1246,TOI-1246 c,251.1158702,70.4299917,0.8649,5213.0,0.8889
Kepler-1468,Kepler-1468 c,293.5198289,41.2773671,1.05,5893.0,1.04
Kepler-326,Kepler-326 c,294.3255898,46.0022646,0.801,5105.0,0.91
Kepler-1085,Kepler-1085 c,287.4776359,46.1411685,1.0783,5816.0,1.05
Kepler-1229,Kepler-1229 b,297.4868347,46.9966782,0.51,3784.0,0.54
Kepler-1542,Kepler-1542 e,285.7284757,42.6544651,0.99,5564.0,0.94
Kepler-1178,Kepler-1178 b,288.4561183,45.8022258,0.75,4990.0,0.8
K2-187,K2-187 c,132.5235618,23.1924709,0.83,5438.0,0.966999
Kepler-1060,Kepler-1060 b,286.0252285,39.6309204,0.99,5797.0,0.99
Kepler-990,Kepler-990 b,297.9381813,46.8813194,1.08,5948.0,1.05
Kepler-1126,Kepler-1126 b,285.691955,45.6893993,0.93,5798.0,0.92
Kepler-100,Kepler-100 c,291.3861294,41.9901394,1.49,5825.0,1.08
Kepler-172,Kepler-172 c,283.3684093,41.821839,1.085,5526.0,1.081
Kepler-663,Kepler-663 b,297.8082232,47.9466342,0.82,5264.0,0.86
HD 102117,HD 102117 b,176.2097267,-58.7040134,1.23,5655.0,1.06
HD 137388,HD 137388 b,233.915082,-80.2044169,0.88,5181.0,0.68
HD 50554,HD 50554 b,103.678273,24.2451409,1.02,5987.0,1.04
WASP-24,WASP-24 b,227.2154975,2.343286,1.42,6075.0,1.43
HD 156846,HD 156846 b,260.1423366,-19.334365,1.9,6090.0,1.38
WASP-151,WASP-151 b,349.0634651,0.3066895,1.181,5871.0,1.081
Kepler-80,Kepler-80 g,296.1125759,39.9787451,0.678,4540.0,0.83
Kepler-263,Kepler-263 b,292.4698022,37.5677941,0.785,5265.0,0.793
K2-10,K2-10 b,172.1216476,1.6906217,0.956,5533.0,0.88
HD 22946,TOI-411 b,54.819538,-42.7630276,1.117,6169.0,1.098
WASP-120,WASP-120 b,62.6160813,-45.8982434,1.68443,6450.0,1.393
Kepler-1006,Kepler-1006 b,295.7542063,42.5373065,0.74,5328.0,0.78
Kepler-398,Kepler-398 d,291.4688524,40.3437001,0.67,4557.0,0.72
TOI-4034,TOI-4034 b,335.1469845,71.7673462,1.83,5891.0,1.19
TOI-5335,TOI-5335 b,46.9523734,15.3590831,0.916633,5528.92,0.945
Kepler-253,Kepler-253 d,291.8419337,44.858124,0.786,5208.0,0.86
K2-62,K2-62 b,334.3645089,-12.1874776,0.696,4455.0,0.67
Kepler-369,Kepler-369 b,293.6743322,47.9084727,0.471,3591.0,0.5
Kepler-657,Kepler-657 b,291.1973006,47.3077545,1.01,5808.0,1.01
Kepler-513,Kepler-513 b,285.0416235,50.0753913,1.06,5849.0,1.02
TOI-1180,TOI-1180 b,214.5557741,82.1937642,0.73,4738.0,0.75
11 UMi,11 UMi b,229.2745954,71.8239428,29.79,4213.0,2.78
Kepler-1390,Kepler-1390 b,298.6624419,48.2488659,0.98,5753.0,0.98
OGLE-2018-BLG-0298L,OGLE-2018-BLG-0298L b,264.2845,-29.7091111,,,0.69
WASP-60,WASP-60 b,356.6667136,31.1559115,1.17,5900.0,1.19
Kepler-1762,Kepler-1762 b,290.4931471,39.7855117,1.238,6572.0,1.298
Kepler-98,Kepler-98 b,285.6616933,37.9645672,1.11,5539.0,0.99
Kepler-403,Kepler-403 c,289.9214256,46.7445267,1.329,6090.0,1.299
Kepler-292,Kepler-292 b,295.7661979,42.4242822,0.826,5299.0,0.865
