Host Star,Status,search_seconds,download_seconds,write_seconds,search_method
11 Com,Success,,,,
11 UMi,Success,,,,
14 And,Success,,,,
14 Her,Success,,,,
16 Cyg B,Success,,,,
17 Sco,Success,,,,
18 Del,Success,,,,
1RXS J160929.1-210524,Success,,,,
24 Boo,Success,,,,
24 Sex,Success,,,,
2MASS J01033563-5515561 A,Success,,,,
2MASS J01225093-2439505,Success,,,,
2MASS J02192210-3925225,Success,,,,
2MASS J0249-0557 A,Success,,,,
2MASS J03590986+2009361,Success,,,,
2MASS J04372171+2651014,Success,,,,
2MASS J04414489+2301513,Success,,,,
2MASS J11011926-7732383,Success,,,,
2MASS J11550485-7919108,Success,,,,
2MASS J12073346-3932539,Success,,,,
2MASS J16262785-2625152,Success,,,,
2MASS J19383260+4603591,Success,,,,
2MASS J21252752-8138278,Success,,,,
2MASS J22362452+4751425,Success,,,,
2MASS J22501512+2325342,Success,,,,
4 UMa,Success,,,,
47 UMa,Success,,,,
51 Eri,Success,,,,
51 Peg,Success,,,,
55 Cnc,Success,,,,
55 Cnc B,Success,,,,
6 Lyn,Success,,,,
61 Vir,Success,,,,
7 CMa,Success,,,,
70 Vir,Success,,,,
75 Cet,Success,,,,
8 UMi,Success,,,,
81 Cet,No TESS Data,,,,
91 Aqr,Success,,,,
AB Aur,Success,,,,
AB Pic,Success,,,,
AF Lep,Success,,,,
AT2021ueyL,Success,,,,
AU Mic,Success,,,,
BD+03 2562,Success,,,,
BD+05 4868 A,Success,,,,
BD+14 4559,Success,,,,
BD+15 2375,Success,,,,
BD+15 2940,Success,,,,
BD+20 2457,Success,,,,
BD+20 274,Success,,,,
BD+20 594,Success,,,,
BD+37 3172,Success,,,,
BD+42 2315,Success,,,,
BD+45 564,Success,,,,
BD+48 738,Success,,,,
BD+48 740,Success,,,,
BD+49 828,Success,,,,
BD+55 362,Success,,,,
BD+60 1417,Success,,,,
BD+63 1405,Success,,,,
BD-06 1339,Success,,,,
BD-08 2823,Success,,,,
BD-10 3166,Success,,,,
BD-11 4672,Success,,,,
BD-13 2130,Success,,,,
BD-14 3065 A,Success,,,,
BD-17 63,No TESS Data,,,,
BD-210397,Success,,,,
BEBOP-3,Success,,,,
