Host Star,Status,search_seconds,download_seconds,write_seconds,search_method
TIC_1133072,Success,2.4572985410050023,2.7261749589815736,0.3911785410018638,tic_id
TIC_1449756,Success,2.319581125018886,0.6128847910149489,0.034206666983664,tic_id
TIC_1950736,Success,2.630989875004161,3.2419904160196893,1.101752582995687,tic_id
TIC_4294779,Success,3.348715959000401,3.7493700410122983,0.7552257089992054,tic_id
TIC_4426490,Success,3.5413167079968844,3.502958208991913,0.8865394169988576,tic_id
TIC_4999813,I/O operation on closed file.,,,,
TIC_5024743,Success,3.455531500017969,0.5305482919793576,0.0258807910140603,tic_id
TIC_5109298,Success,2.8173942920111585,3.0605426670226734,1.1159434580185916,tic_id
TIC_5772442,I/O operation on closed file.,,,,
TIC_5800958,Success,0.3678581670101266,0.9578608750016429,0.146441707998747,tic_id
TIC_6653897,Success,1.0348937920061871,2.647831667010905,0.7824382499966305,tic_id
TIC_7439481,Success,1.083439084002748,2.8154039999935776,0.9239227089856286,tic_id
TIC_7624182,Success,1.180241333990125,3.297610707988497,0.6667674159980379,tic_id
TIC_7904580,I/O operation on closed file.,,,,
TIC_9032368,I/O operation on closed file.,,,,
TIC_9033144,I/O operation on closed file.,,,,
TIC_9102327,Success,1.715881415992044,1.1363011659996118,0.0441638329939451,tic_id
TIC_9727392,I/O operation on closed file.,,,,
TIC_9804616,Success,1.075829000008525,2.6667504999786615,0.6186945420049597,tic_id
TIC_9830791,Success,0.8725902079895604,3.191157875000499,0.5184890840027947,tic_id
TIC_9837861,Success,0.8137283340038266,1.1740348750026897,0.2214411669992841,tic_id
TIC_10552342,I/O operation on closed file.,,,,
TIC_11111899,Success,2.2909378749900497,3.5051298750040587,0.8941952500026673,tic_id
TIC_11996814,Success,1.2855089999793563,3.353656666993629,0.3286466250137891,tic_id
TIC_12036590,Success,1.7485361250001006,3.5743539159884676,0.8049720000126399,tic_id
TIC_13023738,Success,0.8825910000014119,3.7604875410033856,0.6904858329799026,tic_id
TIC_15247229,Success,0.9511384170036764,3.964911832998041,0.8326546250027604,tic_id
TIC_15565627,Success,0.9923168749955948,0.6667082500061952,0.0419085419853217,tic_id
TIC_15682927,Success,0.5288557920139283,3.744799792009871,0.9734595000045374,tic_id
TIC_15827263,Success,0.4695294580014888,3.5129939170146827,0.8710053329996299,tic_id
TIC_16102323,I/O operation on closed file.,,,,
TIC_16187321,Success,1.1184251669910736,3.315282625000691,0.3892657080141362,tic_id
TIC_17005768,I/O operation on closed file.,,,,
TIC_17129975,I/O operation on closed file.,,,,
TIC_17150865,Success,1.009822374995565,2.2559597920044325,0.382569124980364,tic_id
TIC_17416749,Success,0.9125539160158952,2.725991832994623,0.3486753329925705,tic_id
TIC_18017227,I/O operation on closed file.,,,,
TIC_18574158,I/O operation on closed file.,,,,
TIC_19155785,I/O operation on closed file.,,,,
TIC_20178111,Success,0.8137442500155885,2.167330165975727,0.3205530840205028,tic_id
TIC_20182165,Success,0.7731152499909513,4.703125333006028,0.4325612079992424,tic_id
TIC_20892672,I/O operation on closed file.,,,,
TIC_20988926,Success,0.7606624579930212,5.103729166992707,0.8835812500037719,tic_id
TIC_21755546,Success,0.9378123339847662,3.4728036659944337,0.3958394170040265,tic_id
TIC_22020459,Success,1.427169915987179,5.016492541995831,0.6636471670062747,tic_id
TIC_22843856,Success,1.3245202079997398,3.827342792006675,0.8627937500132248,tic_id
TIC_23113034,I/O operation on closed file.,,,,
TIC_23389848,I/O operation on closed file.,,,,
TIC_23650642,I/O operation on closed file.,,,,
TIC_23863106,Success,0.7589836250117514,0.6925552920147311,0.1557141669909469,tic_id
TIC_24094603,Success,0.5586316249973606,0.3169104159751441,0.0495019580121152,tic_id
TIC_24364065,Success,0.6476605840143748,3.6298577080015098,0.4958851660194341,tic_id
TIC_25624952,I/O operation on closed file.,,,,
TIC_26433869,Success,1.1440275000059046,0.688065041002119,0.3308512080111541,tic_id
TIC_26583436,Success,1.5108534159953706,1.5887048750009851,0.7841080829966813,tic_id
TIC_27244707,Success,1.873341792001156,2.5108420409960672,0.6392574170022272,tic_id
TIC_27677846,Success,2.2800400000123773,0.3046095830213744,0.1108989159984048,tic_id
TIC_27844066,I/O operation on closed file.,,,,
TIC_28643432,I/O operation on closed file.,,,,
TIC_28873762,I/O operation on closed file.,,,,
TIC_29117085,I/O operation on closed file.,,,,
TIC_29336129,I/O operation on closed file.,,,,
TIC_29374525,I/O operation on closed file.,,,,
TIC_29830212,I/O operation on closed file.,,,,
TIC_29959761,Success,0.9935878750111442,0.2880437080166302,0.0281164580082986,tic_id
TIC_29960109,Success,1.5526692499988712,1.1296467499923892,0.4262120419880375,tic_id
TIC_30312676,Success,2.8486110419908073,1.7004813329840545,0.7607290830055717,tic_id
TIC_30329585,Success,2.30232916699606,1.5433812919945922,0.9855435829958878,tic_id
TIC_31114545,Success,2.8736500420200173,0.5249165419954807,0.0476273329986725,tic_id
TIC_31268146,I/O operation on closed file.,,,,
TIC_31656385,Success,3.1200467919989023,1.6523051249969285,0.5861218749778345,tic_id
TIC_31697707,Success,2.717691375000868,2.46275158401113,0.5008907919982448,tic_id
TIC_31858844,I/O operation on closed file.,,,,
TIC_32283946,I/O operation on closed file.,,,,
TIC_32408928,Success,0.8039415829989593,0.3922316249809228,0.0229494590021204,tic_id
TIC_32830028,I/O operation on closed file.,,,,
TIC_33091633,I/O operation on closed file.,,,,
TIC_33153766,Success,1.0018754579941742,1.0334629159769977,0.6622971659817267,tic_id
TIC_33690636,Success,1.3115474160003942,1.2778119999857154,0.7729403330013156,tic_id
TIC_33878688,Success,2.562161375011783,3.017192375002196,1.208138832997065,tic_id
TIC_34466256,Success,1.673141959006898,0.4480665409937501,0.0461244159960188,tic_id
TIC_34505005,Success,2.026776708982652,2.355228625005111,0.4633504579833243,tic_id
TIC_34551972,Success,2.246293542004423,3.350135708024027,1.3996873329742812,tic_id
TIC_35315453,Success,2.1763179170084186,3.1668226670008153,1.3555057500198018,tic_id
TIC_35377903,Success,1.8801671669934876,3.46992545799003,1.2732123330060858,tic_id
TIC_35883621,Success,1.5002584579924587,0.2895667499979026,0.0313059579930268,tic_id
TIC_36574157,Success,1.6682004579924978,0.2654338330030441,0.0158974580117501,tic_id
TIC_37084932,I/O operation on closed file.,,,,
TIC_37242226,I/O operation on closed file.,,,,
TIC_37575651,I/O operation on closed file.,,,,
TIC_38686737,I/O operation on closed file.,,,,
TIC_39077574,I/O operation on closed file.,,,,
TIC_40779013,I/O operation on closed file.,,,,
TIC_40954422,I/O operation on closed file.,,,,
TIC_41227743,I/O operation on closed file.,,,,
TIC_41330864,I/O operation on closed file.,,,,
TIC_41422753,I/O operation on closed file.,,,,
TIC_41865539,I/O operation on closed file.,,,,
TIC_41875043,I/O operation on closed file.,,,,
TIC_42015200,Success,2.5532719170150813,1.31827187500312,0.8934341249987483,tic_id
TIC_42123111,Success,2.7230226660030894,1.951857292006025,0.3867272080096882,tic_id
