host,label,status,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,elapsed_s
11_Com,1,Success,2.4728348752013833e-08,9.947995422961022e-05,8.459453985842913e-05,,45.07732774998294
11_UMi,1,Success,7.566928397862634e-08,0.0004169510563357,-5.547807096606405e-05,,64.10102229198674
14_And,1,Success,6.65405709490308e-08,0.000224798940878,0.0001633021402549,1.8542327183630731,47.54459212499205
14_Her,1,Success,3.7933997082259145e-08,4.027915373881579e-05,9.678480342167894e-06,,47.8887330419966
16_Cyg_B,1,Success,1.934305949807412e-06,8.212921456007827e-05,4.825693142596066e-05,,53.51063895900734
17_Sco,1,Success,4.3131462584143354e-08,0.0002001012099125,2.6671933534228032e-05,0.4565818707787689,41.50838224997278
18_Del,1,Success,2.3953044430768932e-08,8.181458959061354e-05,1.4049576828267796e-05,,47.45869241701439
1RXS_J160929.1-210524,1,Success,4.426594164840264e-06,0.0026335352187474,6.606928956554015e-05,,35.69719587499276
24_Boo,1,Success,6.929278369505847e-08,0.0001064779249911,-3.848530758232549e-05,,41.20436208404135
24_Sex,1,Success,1.0994287763910269e-07,0.0002197133280505,2.1361355072802013e-05,,28.651170249970164
2MASS_J01033563-5515561_A,1,Success,0.0001103930813315,0.0029221754067809,0.0068942019600535,1.0259301403840495,37.664224875043146
2MASS_J01225093-2439505,1,Success,1.0436155914261609e-05,0.0011820907608103,0.0003296749312123,,24.52003050001804
2MASS_J02192210-3925225,1,Success,8.130758828325082e-05,0.0032243480768361,0.0005273920061383,,29.147457832994405
2MASS_J0249-0557_A,1,Success,8.078805215218425e-05,0.0029074302774361,0.0113575427225065,0.9022057019925602,9.43922979204217
2MASS_J03590986+2009361,1,Success,0.0051248810639087,0.0674485404546909,0.0005200891974096,,34.596360875002574
2MASS_J04372171+2651014,1,Success,5.5130258392919145e-05,0.0011281630509295,0.0018375022533491,0.1736580770197868,32.18959987501148
2MASS_J11011926-7732383,1,Success,0.0109850343157028,0.0260521412247623,0.0061185430028063,-1.450844926719885,24.37538191699423
2MASS_J11550485-7919108,1,Success,7.78918331030662e-05,0.0001274798729983,9.838117371518962e-05,-1.2204839254455755,35.950988041993696
2MASS_J12073346-3932539,1,Success,0.0030778390744402,0.0253885054283851,0.0024096829059663,,31.082194874994457
2MASS_J16262785-2625152,1,Success,0.0005132994413222,0.0064894319969756,0.0314168470178938,1.0473689628408875,45.20233258296503
