host,status,n_original,n_after_quality,n_after_outliers,n_final,pct_removed,pre_norm_median_flux,flux_source,elapsed_s
1RXS_J160929.1-210524,Success,14061.0,12499.0,12499.0,12499.0,11.108740487874256,5803.5664,pdcsap_flux,0.2101159170269966
24_Sex,Success,13285.0,12957.0,12834.0,12834.0,3.3948061723748535,896852.225,pdcsap_flux,0.2062066670041531
14_And,Success,16712.0,13878.0,13878.0,13878.0,16.957874581139297,3016265.4,pdcsap_flux,0.2140738750167656
2MASS_J0249-0557_A,Success,3439.0,3229.0,3229.0,3229.0,6.106426286711253,335.99063,pdcsap_flux,0.052298750000773
2MASS_J01033563-5515561_A,Success,18295.0,18295.0,18271.0,18271.0,0.1311833834380937,1145.0259,pdcsap_flux,0.2632099579786882
11_UMi,Success,18348.0,17584.0,17584.0,17584.0,4.163941574013519,4725428.25,pdcsap_flux,0.2763179589819629
24_Boo,Success,18568.0,17779.0,17779.0,17779.0,4.249246014648856,1996616.1,pdcsap_flux,0.2724821669980883
14_Her,Success,18206.0,18206.0,18189.0,18189.0,0.0933758101724691,706527.5,pdcsap_flux,0.2801673329959158
2MASS_J02192210-3925225,Success,13537.0,12331.0,12295.0,12295.0,9.174854103567998,642.5487,pdcsap_flux,0.1866612920130137
2MASS_J01225093-2439505,Success,13538.0,12892.0,12869.0,12869.0,4.941645737922884,3228.3127,pdcsap_flux,0.189054209011374
2MASS_J03590986+2009361,Success,16861.0,14041.0,14022.0,14022.0,16.83767273589941,99.341872,pdcsap_flux,0.2313692079915199
2MASS_J035909862009361,Success,16861.0,14041.0,14022.0,14022.0,16.83767273589941,99.341872,pdcsap_flux,0.2337263750087004
2MASS_J04372171+2651014,Success,16868.0,15263.0,15263.0,15263.0,9.515058098174055,946.3767,pdcsap_flux,0.2334877089888323
2MASS_J04414489+2301513,Success,17343.0,15208.0,15204.0,15204.0,12.333506313786549,20.159413,pdcsap_flux,0.2388743330084253
2MASS_J043721712651014,Success,16868.0,15263.0,15263.0,15263.0,9.515058098174055,946.3767,pdcsap_flux,0.2442006249912083
2MASS_J11011926-7732383,Success,18186.0,11700.0,11700.0,11700.0,35.66479709666777,43.656617,pdcsap_flux,0.2295870410162024
2MASS_J044144892301513,Success,17343.0,15208.0,15204.0,15204.0,12.333506313786549,20.159413,pdcsap_flux,0.2606205829943064
2MASS_J193832604603591,Success,18394.0,18394.0,18394.0,18394.0,0.0,1679.30165,pdcsap_flux,0.3032945420127362
2MASS_J21252752-8138278,Success,19420.0,17212.0,17212.0,17212.0,11.369721936148302,20887.3945,pdcsap_flux,0.3097301250090822
2MASS_J11550485-7919108,Success,19515.0,19515.0,19512.0,19512.0,0.0153727901614164,724.9271,pdcsap_flux,0.3286610420036595
2MASS_J22501512+2325342,Success,19604.0,16313.0,16290.0,16290.0,16.90471332381147,1849.5882,pdcsap_flux,0.2986073329811916
2MASS_J225015122325342,Success,19604.0,16313.0,16290.0,16290.0,16.90471332381147,1849.5882,pdcsap_flux,0.2934235410066321
51_Eri,Success,17515.0,17253.0,17253.0,17253.0,1.4958606908364258,1728738.9,pdcsap_flux,0.28830200000084
55_Cnc,Success,18225.0,17347.0,17335.0,17335.0,4.883401920438956,1339412.4,pdcsap_flux,0.3084085839800536
55_Cnc_B,Success,18225.0,17347.0,17335.0,17335.0,4.883401920438956,1339412.4,pdcsap_flux,0.3103575000131968
61_Vir,Success,16416.0,15054.0,15050.0,15050.0,8.32115009746589,3809970.8,pdcsap_flux,0.2682862499787006
7_CMa,Success,14664.0,14621.0,14621.0,14621.0,0.2932351336606631,9455263.0,pdcsap_flux,0.2223755419836379
6_Lyn,Success,17625.0,17625.0,17625.0,17625.0,0.0,1522726.6,pdcsap_flux,0.2868540830095298
8_UMi,Success,18418.0,17654.0,17654.0,17654.0,4.148115973504185,661441.0800000001,pdcsap_flux,0.2953805419965647
AB_Aur,Success,16865.0,15605.0,15605.0,15605.0,7.471093981618737,277533.4,pdcsap_flux,0.2689951669890433
AB_Pic,Success,18276.0,18276.0,18254.0,18254.0,0.1203764499890569,78672.78,pdcsap_flux,0.2720388750021811
AF_Lep,Success,17651.0,17314.0,17314.0,17314.0,1.909240269673107,771090.2,pdcsap_flux,0.2602778750006109
AU_Mic,Success,17802.0,17687.0,17687.0,17687.0,0.6459948320413411,285650.84,pdcsap_flux,0.2814517910010181
BD+05_4868_A,Success,3770.0,2617.0,2405.0,2405.0,36.206896551724135,36874.625,pdcsap_flux,0.0491257919929921
2MASS_J22362452+4751425,Success,117650.0,107731.0,107640.0,107640.0,8.508287292817684,5641.27125,pdcsap_flux,1.6787542499951087
