host,n_original,n_after_quality,n_after_outliers,n_final,pct_removed,pre_norm_median_flux,flux_source
TIC_101395259,13361,12991,12944,12944,3.1210238754584285,13525.612,pdcsap_flux
TIC_100267480,18147,13936,13936,13936,23.20493745522676,1196.9521,pdcsap_flux
TIC_100589632,18697,14896,14896,14896,20.32946461999251,5615.2135,pdcsap_flux
TIC_101497191,16904,15621,15613,15613,7.6372456223379075,12486.86,pdcsap_flux
TIC_103245940,19274,16760,16760,16760,13.043478260869568,940.77605,pdcsap_flux
TIC_101929303,18788,18788,18785,18785,0.015967638918457,11214.56,pdcsap_flux
TIC_104022675,18090,17388,17388,17388,3.880597014925369,1103.0196999999998,pdcsap_flux
TIC_104195270,19475,19233,18231,18231,6.387676508344031,6469.7324,pdcsap_flux
TIC_105801221,16938,15866,15866,15866,6.328964458613773,21621.049,pdcsap_flux
TIC_105387356,18788,18788,18787,18787,0.0053225463061523,4265.8906,pdcsap_flux
TIC_106114491,18788,18788,18788,18788,0.0,8112.63465,pdcsap_flux
TIC_106224626,18788,18788,18788,18788,0.0,622.75897,pdcsap_flux
TIC_106997505,17329,16796,16795,16795,3.0815396156731456,31112.863,pdcsap_flux
TIC_1101909431,12874,10573,10573,10573,17.873232872456114,1496.9353,pdcsap_flux
TIC_108645766,16341,16341,16341,16341,0.0,801.6647,pdcsap_flux
TIC_107728509,19325,17743,17743,17743,8.186287192755493,10337.018,pdcsap_flux
TIC_108835813,17331,16785,16784,16784,3.1561941030523344,14980.527,pdcsap_flux
TIC_108939482,17768,15737,15737,15737,11.430661864025216,603.23846,pdcsap_flux
TIC_103865797,64444,48839,48839,48839,24.21482217118739,296.57196,pdcsap_flux
TIC_110428269,18401,10939,10938,10938,40.55757839247867,44779.465,pdcsap_flux
TIC_110936761,17250,14379,14379,14379,16.64347826086956,10730.762,pdcsap_flux
TIC_1133072,13359,12952,12951,12951,3.054120817426454,1427.8728,pdcsap_flux
TIC_11111899,18321,18321,18320,18320,0.0054582173462103,21578.873,pdcsap_flux
TIC_113295476,17767,15615,15615,15615,12.112343108009227,541.0209,pdcsap_flux
TIC_112395568,18829,17219,17219,17219,8.550639970258644,45806.95,pdcsap_flux
TIC_113553629,17331,16817,16817,16817,2.965783855519011,12978.15,pdcsap_flux
TIC_113919944,17387,15450,15450,15450,11.140507275550704,1578.6666,pdcsap_flux
TIC_114103134,17768,15533,15533,15533,12.578793336334982,3760.2559,pdcsap_flux
TIC_115242351,17929,14828,14828,14828,17.296000892408948,905.27085,pdcsap_flux
TIC_115564354,18538,16734,16734,16734,9.73136260653792,3514.06545,pdcsap_flux
TIC_116257066,16922,16199,16183,16183,4.367096087932865,5599.2036,pdcsap_flux
TIC_115446313,18216,18216,18214,18214,0.0109793588054407,17774.503,pdcsap_flux
TIC_116608612,16922,16267,15943,15943,5.7853681597919815,34269.547,pdcsap_flux
TIC_118301361,1068,969,967,967,9.456928838951306,38219.188,pdcsap_flux
TIC_117322779,11667,11528,11485,11485,1.5599554298448617,2729.59,pdcsap_flux
TIC_117068362,18137,17849,17849,17849,1.5879142085240106,2285.0586,pdcsap_flux
TIC_117256577,18321,18321,18318,18318,0.016374652038642,8652.748,pdcsap_flux
TIC_117689799,17897,15068,15068,15068,15.807118511482376,3739.37975,pdcsap_flux
TIC_118021229,17371,16865,16865,16865,2.9129008116976607,16736.086,pdcsap_flux
TIC_117979694,17658,17178,17178,17178,2.71831464492015,9983.6335,pdcsap_flux
TIC_119081096,13362,12904,12904,12904,3.427630594222419,1697.9843,pdcsap_flux
TIC_118308828,17762,15857,15852,15852,10.753293548023867,2392.78885,pdcsap_flux
TIC_11996814,16251,14765,14765,14765,9.144052673681625,3263.9004,pdcsap_flux
TIC_120269103,17454,17405,17271,17271,1.0484702646957669,81007.79,pdcsap_flux
TIC_12036590,17986,15840,15802,15802,12.14277771600133,6821.82115,pdcsap_flux
TIC_122262940,838,810,794,794,5.250596658711215,12482.225,pdcsap_flux
TIC_120602501,16712,14396,14254,14254,14.7079942556247,65855.12,pdcsap_flux
TIC_121966220,17055,16736,16577,16577,2.8026971562591596,8134.315,pdcsap_flux
TIC_120585579,18298,18298,18024,18024,1.4974314132692124,1656.2338,pdcsap_flux
TIC_120723776,19274,19235,19073,19073,1.0428556604752504,1028.0996,pdcsap_flux
TIC_124702477,1086,1080,1080,1080,0.5524861878453025,6437.617700000001,pdcsap_flux
TIC_122220263,17907,11707,11517,11517,35.684369241078905,39300.16,pdcsap_flux
TIC_122485078,15580,11915,11915,11915,23.52374839537869,16732.764,pdcsap_flux
