host,has_spoc,error
BD+48_740,False,
BD48_740,False,
CHXR_73,False,
EPIC_206215704,False,
GJ_667_C,False,
Gaia22dkvL,False,
HD_112300,False,
HD_126105,False,
HD_135872,False,
HD_142245,False,
HD_148427,False,
HD_62509,False,
HD_6860,False,
HD_96992,False,
HIP_75092,False,
HIP_81208_C,False,
KMT-2017-BLG-0673L,False,
KMT-2021-BLG-0712L,False,
KMT-2023-BLG-1431L,False,
KMT-2022-BLG-0440L,False,
Kapteyn,False,
Kepler-1020,False,
KMT-2024-BLG-2242L,False,
Kepler-1013,False,
Kepler-1044,False,
Kepler-1030,False,
Kepler-1068,False,
Kepler-1071,False,
Kepler-1078,False,
Kepler-1109,False,
Kepler-1128,False,
Kepler-1161,False,
Kepler-1170,False,
Kepler-1134,False,
Kepler-1107,False,
Kepler-118,False,
Kepler-1200,False,
Kepler-1202,False,
Kepler-1208,False,
Kepler-1237,False,
Kepler-1247,False,
Kepler-1236,False,
Kepler-1257,False,
Kepler-1267,False,
Kepler-1295,False,
Kepler-1225,False,
Kepler-1280,False,
Kepler-1305,False,
Kepler-1306,False,
Kepler-1322,False,
Kepler-1368,False,
Kepler-1356,False,
Kepler-1374,False,
Kepler-1320,False,
Kepler-1379,False,
Kepler-1413,False,
Kepler-1399,False,
Kepler-1330,False,
Kepler-1466,False,
Kepler-1420,False,
Kepler-1427,False,
Kepler-1463,False,
Kepler-1462,False,
Kepler-1491,False,
Kepler-1503,False,
Kepler-1510,False,
Kepler-1534,False,
Kepler-1551,False,
Kepler-1553,False,
Kepler-1536,False,
Kepler-1469,False,
Kepler-1557,False,
Kepler-157,False,
Kepler-1565,False,
Kepler-1585,False,
Kepler-1610,False,
Kepler-1612,False,
Kepler-1593,False,
Kepler-1625,False,
Kepler-1643,False,
Kepler-1631,False,
Kepler-1636,False,
Kepler-168,False,
Kepler-1668,False,
Kepler-1684,False,
Kepler-1623,False,
Kepler-1685,False,
Kepler-1692,False,
Kepler-1736,False,
Kepler-1696,False,
Kepler-1794,False,
Kepler-1834,False,
Kepler-1840,False,
Kepler-1682,False,
Kepler-1865,False,
Kepler-1695,False,
