tid,toi,tfopwg_disp,ra,dec,st_rad,st_teff
47384844,1022.01,FA,162.96491,-5.788708,1.41,6084.0
259863352,1051.01,FA,40.365939,-71.462749,1.56486,5625.0
343648136,1088.01,FA,272.311383,-76.300955,1.4,6093.0
237184773,1152.01,FA,283.489697,37.380825,,5485.0
13499636,1275.01,FA,320.201905,28.055829,0.824734,5518.0
43064903,1276.01,FA,302.669134,40.668628,0.211257,3145.0
153949511,1277.01,FA,172.747799,66.796529,0.857648,5544.0
233059608,1250.01,FA,269.807391,64.142644,1.58365,6603.0
176957796,137.01,FA,101.297491,-66.238326,0.69,4651.0
276360911,1382.01,FA,329.05345,55.740977,1.88,7184.0
298073824,1447.01,FA,201.336817,75.982713,4.12041,6906.0
356158613,1449.01,FA,300.708664,39.668371,0.604385,5780.0
224600500,1418.01,FA,254.958579,58.462633,2.9486499,8475.0
377191482,1485.01,FA,285.937105,59.164074,6.17,5054.0
459978312,1487.01,FA,255.565408,64.600893,8.95,5047.0
198457103,1488.01,FA,261.921033,57.510557,1.93752,7269.0
219751469,1489.01,FA,261.199848,61.423521,8.4,5118.0
16920150,1459.01,FA,19.361773,26.745951,0.82204,5219.0
367607434,1542.01,FA,348.874923,46.576022,3.1,5119.0
440100539,1548.01,FA,4.358519,42.282204,1.21,5861.6
165551882,1633.01,FA,266.767331,57.226662,0.3232,3429.0
387527558,1646.01,FA,312.32708,70.796604,0.414101,3514.0
129991079,1602.01,FA,37.13241,40.891254,1.09,6175.9
229951289,1609.01,FA,288.675423,60.670948,0.98,6011.0
198384408,1689.01,FA,257.78508,56.658901,1.1485,5470.16
459903429,1671.01,FA,130.969393,86.228398,3.96,4913.0
310981412,1790.01,FA,161.42778,69.20078,0.93,6149.0
233684293,1791.01,FA,260.762886,63.110741,2.47,6153.0
237108272,1816.01,FA,257.139454,78.587055,1.16,5845.0
341815767,1819.01,FA,267.520221,54.636127,1.47,6610.0
321068176,2409.01,FA,44.338399,-41.191773,0.972753,5017.0
684936227,2412.01,FA,62.379568,-62.850656,,4131.3
41173048,2006.01,FA,91.22465,-69.360322,8.3,4650.0
326453034,223.01,FA,339.677571,-25.631849,0.87237,5063.0
100504381,2231.01,FA,308.563699,-48.274725,1.69,
376168473,2247.01,FA,310.483618,-38.878003,1.75,6394.3
367855829,2253.01,FA,276.868143,73.264575,1.29609,5697.0
259962054,203.01,FA,43.018076,-67.687016,0.23,3203.0
441798995,2269.01,FA,264.147896,77.126216,0.548484,3872.0
2760710,227.01,FA,356.527357,-16.691464,0.128,2808.0
198211976,2283.01,FA,248.333273,63.524496,0.520283,3621.0
159244568,2078.01,FA,227.179973,82.446925,0.800741,5244.0
362220495,2299.01,FA,286.227961,79.755949,0.699973,5780.0
160074939,230.01,FA,346.319169,-36.945639,1.57943,6467.0
49687222,254.01,FA,351.705383,-11.725573,1.01859,6101.0
394029948,2110.01,FA,282.229631,78.568946,1.39,6073.0
149539158,2607.01,FA,86.018583,-59.946092,1.65992,6422.3
234282389,2611.01,FA,335.268299,-64.71227,0.81,5458.0
75656058,2171.01,FA,270.898715,38.073512,1.49,6528.0
76197937,2172.01,FA,273.702683,37.629995,3.7,5085.0
87597187,3740.01,FA,81.57825,47.073781,1.22,6247.6
416539317,3794.01,FA,126.849751,64.765253,1.35,6269.0
71134735,3824.01,FA,126.818693,50.757821,1.33,6666.8
8677530,3827.01,FA,137.42133,31.292481,0.99,5484.8
233831759,3614.01,FA,303.777678,59.676573,,
29781292,282.02,FA,65.238307,-68.102688,1.41,6321.0
20303110,3983.01,FA,228.83295,40.266956,0.87,5477.2
452972453,3987.01,FA,8.762379,58.136446,,
390048041,4006.01,FA,23.9436,65.638786,,4579.5
10974783,4020.01,FA,29.423058,63.904389,,
72668830,4296.01,FA,33.449996,-27.867678,0.899081,4985.0
376981340,4528.01,FA,19.609812,6.8168,0.770497,4492.0
224601047,4061.01,FA,255.12889,59.625658,,5144.9
251086776,4312.01,FA,37.547588,-3.405125,0.55033,3808.0
459952217,4314.01,FA,71.266602,5.871586,1.76118,7802.0
404518509,4320.02,FA,51.640345,-43.613665,1.03563,5871.0
143022742,4323.01,FA,54.466785,-30.057438,0.458861,3414.0
143022742,4323.02,FA,54.466785,-30.057438,0.458861,3414.0
62301521,4341.01,FA,291.534894,-43.187188,0.133376,2891.0
103604037,4583.01,FA,150.892247,67.990199,,5780.0
229976631,4112.01,FA,290.108847,61.085434,0.65,4235.5
55748194,3885.01,FA,180.258942,55.846206,0.78,5268.7
68035558,3917.01,FA,219.734394,37.027878,,
2016376984,3920.01,FA,336.69079,57.434162,1.25,5770.0
270435047,3964.01,FA,351.796938,60.231831,1.99,7588.0
19451711,522.01,FA,124.602684,-7.571238,1.86219,7381.0
93125144,523.01,FA,84.846558,-19.55834,0.941705,4692.0
365690646,524.01,FA,81.54323,6.912307,1.67983,6962.64
161477033,553.01,FA,73.261286,-45.540405,0.839854,5465.0
141985686,5702.01,FA,255.456895,14.707465,1.57,6236.0
259099556,6069.01,FA,291.148444,67.527964,1.5037,5658.0
344926234,634.01,FA,151.55755,3.946493,1.02918,5872.0
286132427,635.01,FA,146.72453,-4.29824,1.00635,5914.0
78154865,638.01,FA,147.86736,-4.123323,1.08524,6030.0
262457587,6656.01,FA,228.840425,-70.532562,,3866.3
402740809,6147.01,FA,352.024332,23.749185,0.98,4547.0
96097215,728.01,FA,146.891712,-7.33087,0.98,5648.0
144138509,729.01,FA,176.035412,-9.948864,1.23299,6023.2
150151262,712.03,FA,92.936106,-65.825839,0.842645,4504.0
320417762,692.01,FA,118.004229,10.249288,2.74,9622.0
458589703,693.01,FA,124.274902,8.248819,0.72,4654.2
219401954,765.01,FA,78.165188,-53.743438,1.45505,5724.7
150247134,718.01,FA,94.167445,-62.648403,0.81,5031.0
125405602,821.01,FA,209.615851,-23.277572,0.477,3669.0
381976956,866.01,FA,77.546589,-57.586679,7.56825,4866.0
200807066,869.01,FA,53.178982,-51.788532,1.24841,5908.0
219380235,878.01,FA,76.761786,-51.766957,1.77,5518.3
102283403,896.01,FA,89.15458,10.551759,1.37,6627.0
245947683,950.01,FA,70.375099,14.815533,1.51,6706.0
277099925,796.01,FA,83.986551,-67.459594,1.0,5780.0
