tid,toi,tfopwg_disp,ra,dec,st_rad,st_teff
182943944,1017.01,FP,124.726411,-37.78325,1.61,6995.2
291555748,1018.01,FP,111.716019,-50.266567,2.0,5889.0
140706664,1020.01,FP,128.381976,-43.828421,,8734.2
143994283,1021.01,FP,119.30075,-42.999149,1.22,6022.6
238374636,1023.01,FP,120.837688,-51.345626,2.99,5050.8
141482386,1024.01,FP,86.820714,-72.422611,7.61,4709.0
297967252,1025.01,FP,142.521159,-51.517114,,8598.7
388624270,1026.01,FP,125.434634,-51.759442,0.853898,5690.0
447283466,1028.01,FP,157.098337,-51.705409,0.68,4634.0
374908020,1029.01,FP,88.73909,-65.958839,,
464296022,1030.01,FP,155.831478,-57.590248,1.07,4807.6
304021498,1031.01,FP,140.88389,-67.026006,1.92,6415.4
149601557,1033.01,FP,87.282586,-60.498444,2.01,6113.1
400595342,1034.01,FP,134.441752,-49.000578,1.60776,9810.0
363260203,1037.01,FP,147.385172,-63.306478,1.74,9158.0
90544017,1038.01,FP,128.454638,-49.940347,2.17,8904.0
310483807,1040.01,FP,128.61421,-61.488262,6.04,10037.0
385624852,1041.01,FP,138.402252,-55.19791,3.05,9081.0
360286627,1042.01,FP,141.975215,-61.33004,3.5086601,9917.0
90448944,1043.01,FP,128.302319,-52.714202,1.52,6902.0
54044474,1045.01,FP,159.887704,-32.51188,1.9,7013.8
309787037,1046.01,FP,126.419468,-60.907514,1.75,6762.0
370745311,1047.01,FP,144.581535,-67.505097,0.93,5622.0
31858844,1070.01,FP,289.478541,-32.861327,1.28,5740.0
140830390,1072.01,FP,75.627307,-72.913998,2.4494,5765.0
384549882,1048.01,FP,136.527702,-54.903922,2.52,11892.0
112395568,1053.01,FP,290.977117,-33.351416,3.86959,5664.0
253990973,1061.01,FP,284.688908,-41.242483,1.21935,5525.0
50365310,1000.01,FP,112.357708,-12.69596,2.16986,10249.0
124709665,1002.01,FP,104.726966,-10.580455,5.73,8924.0
106997505,1003.01,FP,110.559945,-25.207017,,5388.5
238597883,1004.01,FP,122.178195,-48.802811,2.15,9219.0
169904935,1005.01,FP,120.704811,-11.101521,1.09,5613.0
156115721,1006.01,FP,124.359239,-27.273521,1.53429,6616.0
440801822,1008.01,FP,109.382839,13.395219,1.57,6858.5
139853601,1010.01,FP,112.293981,-21.832912,1.0,9438.0
97700520,1013.01,FP,107.286063,-31.933523,,8868.7
96246348,1014.01,FP,103.561602,-34.22282,,9307.0
155044736,1015.01,FP,122.895964,-27.971896,6.7996101,4897.0
175310067,1016.01,FP,116.110771,-36.098285,1.53641,7601.0
295599256,1108.01,FP,274.221618,-68.197779,1.91,7860.0
50309953,1109.01,FP,30.198486,-77.610376,0.91,5317.0
446549905,1110.01,FP,286.791829,-58.697242,1.64,6610.0
412014494,1111.01,FP,291.373783,-60.941042,2.13,7262.0
369864738,1112.01,FP,163.628917,-87.269735,2.21,6819.0
290348382,1113.01,FP,328.710839,-77.337433,0.53,3469.0
90919952,1118.01,FP,277.432937,-44.625506,,4898.4
143257766,1120.01,FP,293.389272,-45.892667,1.64,7301.0
24094603,1121.01,FP,269.648642,-46.065523,,
304774444,1122.01,FP,281.369481,-52.262928,1.38,6317.0
