tic_id,sector,ra,dec,st_rad,st_rad_err,st_mass,st_mass_err,st_teff
231620255,104,315.758386893738,-57.9357327061761,0.18,0.104,0.47,0.03,31000.0
315398983,104,279.563453238356,-40.7629397746756,3.99137,,,,4855.0
365656105,104,274.761796749163,-60.0597981022327,0.573172,0.0487232,0.565627,0.0441617,3381.0
2055602945,104,348.845381584146,-47.0618603104683,,,,,
320484212,104,296.174398699104,-56.6564803155199,0.18,0.104,0.47,0.03,31000.0
91525583,104,36.4400193837673,-34.275681508324,0.452232,0.0136454,0.448936,0.0204324,3714.0
2055182058,104,350.850199875205,-57.6184940005528,,,,,
266994922,104,349.699787701339,-55.4879954343054,0.28441,0.00864851,0.258933,0.0202286,3261.0
79281046,104,318.758789013614,-49.0975581475275,18.2935,,,,4452.0
31201015,104,265.5750685178,-46.5129005083399,0.334464,0.0124965,0.31625,0.0219949,3179.0
304059161,104,278.761332291297,-65.7596198142032,0.301709,0.0119536,0.278568,0.0220726,3281.0
466206387,104,302.891627274807,-60.9532745586289,1.92492,0.0593141,2.32,0.323882,9169.0
80337451,104,8.54362799399274,-44.0838139328621,0.488845,0.014772,0.486923,0.0204672,3246.0
1923451371,104,294.324305918049,-52.5395919035325,,,,,
101513787,104,301.701825120276,-48.9305814724709,0.304938,0.00985596,0.282259,0.0206276,3317.0
215476716,104,43.1815883246118,-41.3920254900574,2.74782,0.0772663,1.9,0.306599,7912.0
218759674,104,263.246260115477,-45.2172678789185,0.684233,0.0562311,0.7,0.0849023,4454.0
199731304,104,21.4542214379853,-47.7843447863859,1.70071,0.0543518,1.77,0.281504,7602.0
253631843,104,281.296294429427,-38.9813546216968,0.947174,,0.79,,4854.0
155895287,104,3.89036795226736,-50.691537496762,0.241309,0.0073317,0.211514,0.0201455,3067.0
199729842,104,21.1746438883738,-44.5285796180064,21.8061,,,,4689.0
230980624,104,24.260083457846,-54.5579886542489,38.7191,,,,4059.0
143951121,104,333.549656196046,-49.3242269978236,,,,,
140431282,104,19.9276492641697,-33.7211362586793,6.45209,,,,5005.0
389651326,104,277.691603717884,-51.5836063771589,0.776685,0.0479397,0.84,0.0998242,5054.0
1511632979,104,261.72679281593,-57.9666353655607,,,,,
281851171,104,14.6803348547914,-56.6333123854667,1.06722,0.0492161,1.13,0.151512,6049.0
62024272,104,290.150823494225,-42.5159067044096,1.65039,0.0698066,1.45,0.245054,6767.0
