tic_id,sector,n_sectors_observed,sectors_observed,st_rad,st_mass,st_teff
466307264,103,3,"103,102,101",1.38088,1.18,6179.0
365954183,103,3,"103,102,101",,,
1688227492,103,3,"103,102,101",,,
349964152,103,3,"103,102,101",2.64946,1.84,7783.0
1988436721,103,3,"103,102,101",,,
394484050,103,3,"103,102,101",0.18,0.47,31000.0
301687690,103,3,"103,102,101",0.56025,0.554381,3811.0
1509144412,103,3,"103,102,101",,,
371928668,103,3,"103,102,101",20.5992,,4417.0
396212145,103,3,"103,102,101",10.5176,,4936.0
464378507,103,3,"103,102,101",0.538109,0.534434,3565.0
464317121,103,3,"103,102,101",12.1341,,4758.0
295253681,103,3,"103,102,101",2.32032,1.73,7508.0
1988286874,103,3,"103,102,101",,,
352435054,103,3,"103,102,101",1.9891,1.82,7737.0
362553116,103,3,"103,102,101",3.83814,1.8,7682.22
1509092906,103,3,"103,102,101",,,
351558953,103,3,"103,102,101",,,
1988410166,103,3,"103,102,101",,,
447627658,103,3,"103,102,101",0.74987,0.76,4741.0
361861044,103,3,"103,102,101",1.57036,2.03,8266.0
469878140,103,3,"103,102,101",2.35103,1.99,8145.0
402593209,103,3,"103,102,101",0.686265,0.7,4463.0
310515887,103,3,"103,102,101",1.28255,1.33,6496.19
360453362,103,3,"103,102,101",0.86493,1.05,5835.0
2026229140,103,3,"103,102,101",,,
300316029,103,3,"103,102,101",1.92921,2.13,8535.0
350572362,103,3,"103,102,101",4.24823,1.86,7836.0
351181774,103,3,"103,102,101",2.36165,1.76,7571.49
331753560,103,3,"103,102,101",1.99881,1.1,5980.8
380838154,103,3,"103,102,101",15.2693,,4459.0
466095211,103,3,"103,102,101",1.97207,2.02,8237.0
1922082055,103,3,"103,102,101",,,
346704136,103,3,"103,102,101",0.839147,1.17,6162.0
343448758,103,3,"103,102,101",,,
363873149,103,3,"103,102,101",0.679334,0.71,4522.0
410088244,103,3,"103,102,101",2.06445,1.6,7168.0
451463754,103,3,"103,102,101",1.00651,1.07,5906.0
