host,status,t_search,t_download,search_method
TIC_431085335,Success,2.8502457910217345,0.2827945830067619,tic_id_spoc
TIC_76229610,Success,1.870342958951369,0.0976514579961076,tic_id_spoc
TIC_84404935,Success,3.641117374994792,0.4707581250113435,tic_id_spoc
TIC_170341426,Success,2.6658237089868635,0.2848018749500625,tic_id_spoc
TIC_304835640,Success,3.843556541018188,1.1914170419913717,tic_id_spoc
TIC_349964152,I/O operation on closed file.,,,
TIC_469880084,I/O operation on closed file.,,,
TIC_419794454,I/O operation on closed file.,,,
TIC_389010277,I/O operation on closed file.,,,
TIC_466307264,I/O operation on closed file.,,,
TIC_80313767,I/O operation on closed file.,,,
TIC_350222083,I/O operation on closed file.,,,
TIC_76812373,Success,0.9032269589952192,0.0897602909826673,tic_id_spoc
TIC_370282569,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2018206045859-s0001-0000000370282569-0120-s/tess2018206045859-s0001-0000000370282569-0120-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,
TIC_121196256,I/O operation on closed file.,,,
TIC_303015196,I/O operation on closed file.,,,
TIC_85136394,I/O operation on closed file.,,,
TIC_200662899,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2018234235059-s0002-0000000200662899-0121-s/tess2018234235059-s0002-0000000200662899-0121-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,
TIC_224000801,Success,1.8385831670020707,1.1991040830034765,tic_id_spoc
TIC_365954183,I/O operation on closed file.,,,
TIC_58488696,Success,1.7549598339828665,3.4978352090111,tic_id_spoc
TIC_120034868,I/O operation on closed file.,,,
TIC_151747664,I/O operation on closed file.,,,
TIC_394580364,Success,1.1132465419941582,1.1694095830316655,tic_id_spoc
TIC_615820998,Success,1.6227974999928847,2.164450458018109,tic_id_spoc
TIC_281741309,Success,0.3479619999998249,2.5964241250185296,tic_id_spoc
TIC_466163775,I/O operation on closed file.,,,
TIC_354606680,I/O operation on closed file.,,,
TIC_457994950,I/O operation on closed file.,,,
