host,status,t_search,t_download,search_method,n_sectors_downloaded
TIC_466307264,I/O operation on closed file.,,,,
TIC_365954183,I/O operation on closed file.,,,,
TIC_1688227492,Success,5.804737874947023,4.3056501660030335,tic_id_spoc,3.0
TIC_349964152,I/O operation on closed file.,,,,
TIC_1988436721,I/O operation on closed file.,,,,
TIC_394484050,I/O operation on closed file.,,,,
TIC_301687690,I/O operation on closed file.,,,,
TIC_1509144412,Success,8.203905374975875,7.000855166988913,tic_id_spoc,3.0
TIC_371928668,I/O operation on closed file.,,,,
TIC_396212145,I/O operation on closed file.,,,,
TIC_464378507,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000000464378507-0303-s/tess2026060005000-s0101-0000000464378507-0303-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_464317121,I/O operation on closed file.,,,,
TIC_295253681,I/O operation on closed file.,,,,
TIC_1988286874,I/O operation on closed file.,,,,
TIC_352435054,I/O operation on closed file.,,,,
TIC_362553116,I/O operation on closed file.,,,,
TIC_1509092906,I/O operation on closed file.,,,,
TIC_351558953,I/O operation on closed file.,,,,
TIC_1988410166,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000001988410166-0303-s/tess2026060005000-s0101-0000001988410166-0303-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_447627658,I/O operation on closed file.,,,,
TIC_376669357,I/O operation on closed file.,,,,
TIC_361861044,I/O operation on closed file.,,,,
TIC_469878140,Success,1.3571539589902386,3.6756262499839063,tic_id_spoc,3.0
TIC_402593209,I/O operation on closed file.,,,,
TIC_310515887,I/O operation on closed file.,,,,
TIC_360453362,I/O operation on closed file.,,,,
TIC_2026229140,I/O operation on closed file.,,,,
TIC_300316029,I/O operation on closed file.,,,,
TIC_350572362,I/O operation on closed file.,,,,
TIC_351181774,I/O operation on closed file.,,,,
TIC_331753560,I/O operation on closed file.,,,,
TIC_380838154,I/O operation on closed file.,,,,
TIC_466095211,"Error in reading Data product /Users/anujtripathi/.cache/lightkurve/mastDownload/TESS/tess2026060005000-s0101-0000000466095211-0303-s/tess2026060005000-s0101-0000000466095211-0303-s_lc.fits of type TessLightCurve .
This file may be corrupt due to an interrupted download. Please remove it from your disk and try again.",,,,
TIC_1922082055,Success,1.092930541955866,7.613537417026237,tic_id_spoc,3.0
TIC_346704136,Success,1.3096509590395726,9.362885540991556,tic_id_spoc,3.0
TIC_343448758,I/O operation on closed file.,,,,
TIC_363873149,I/O operation on closed file.,,,,
