host,label,status,r_star_used,m_star_used,period_v3,duration_v3,SDE_v3,depth_v3,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,ttv_std,ttv_amplitude,elapsed_s
11_Com,1.0,Success,13.76,2.09,2.2508678614493025,0.1749279136024182,6.397186864085209,0.9998355222244236,2.464949351964602e-08,9.619829698373448e-05,8.570388595097178e-05,,4.008126496555905e-13,1.3642420526593924e-12,81.45480641699396
11_UMi,1.0,Success,29.79,2.78,5.684632214339306,0.0392532774688346,6.635512291060554,0.9993656504761164,7.502437385917753e-08,0.0004519571200712,-6.359568946501248e-05,,5.49473314713149e-13,1.5916157281026244e-12,137.37147675000597
14_And,1.0,Success,11.55,1.78,1.2679235418604884,0.0329311856877657,4.6956839036410765,0.9998190293598664,6.65405709490308e-08,0.0002057638782586,0.0001556631216693,,3.031649005909761e-13,9.094947017729282e-13,80.60849204199621
14_Her,1.0,Success,0.93,0.97,1.6025802434040497,0.0343854010453874,6.281204656462793,0.9999351781176165,3.7931346415761406e-08,4.156722246974614e-05,1.1048279135783544e-05,,3.0440805528518156e-13,9.094947017729282e-13,29.956680625036824
16_Cyg_B,1.0,Success,1.13,1.08,5.294003507186989,0.0210151004667895,0.0544519923796801,0.9994174320234664,1.9345253566199713e-06,0.0003606903263481,5.255473589538262e-05,,0.0,0.0,32.425675999955274
17_Sco,1.0,Success,25.92,1.22,6.242968011453363,0.0503866377166975,5.052999331204199,0.9997944414888958,4.3131462584143354e-08,0.0001996772088137,-3.913260203658453e-06,0.23867716667438,7.190186943645084e-13,1.8189894035458565e-12,68.42302266700426
18_Del,1.0,Success,8.8,2.1,2.1265473017280287,0.0634078765814457,6.616080833205392,0.9998547897092096,2.3945084703107618e-08,8.28551413292244e-05,8.438047638836821e-06,,6.29650178150489e-13,1.8189894035458565e-12,82.73879179201322
1RXS_J160929.1-210524,1.0,Success,1.31316,0.85,10.517569393627712,0.0310243082979804,9.002216012241057,0.9925789547878234,4.349786271398915e-06,0.0008956887231384,-0.0001646932991783,,2.1436995702562485e-13,4.547473508864641e-13,23.387549124949143
24_Boo,1.0,Success,12.19,1.05,2.697028686651044,0.0828268188348454,5.734389068608819,0.9997345368720372,6.929278369505847e-08,0.0001902488612872,3.4116036713771614e-05,0.5904998280376141,1.5916157281026248e-13,4.547473508864641e-13,119.55840008397354
24_Sex,1.0,Success,4.9,1.54,11.68278775198478,0.1497639933271288,5.296386365678508,0.999478042339626,1.0966069134469678e-07,0.0001970518430667,1.569411369961582e-05,,,,80.72806120797759
2MASS_J01033563-5515561_A,1.0,Success,1.0,0.19,1.66661556078864,0.0598121858923589,7.395306845160627,0.9905899243430942,0.0001124296699522,0.0031563402932168,0.0005533929670989,0.7417022701490769,1.03601700983248e-13,2.273736754432321e-13,19.459225583006628
2MASS_J01225093-2439505,1.0,Success,0.36645,0.4,9.108837937773515,0.0715995740330696,6.498408554440173,0.9963603374214391,1.0430187512042172e-05,0.0007795482848312,0.0002397762005781,,,,54.35011062503327
2MASS_J02192210-3925225,1.0,Success,0.281,0.108,7.385595809818753,0.0667686782074062,5.029455838117377,0.994409118082693,8.130553442441912e-05,0.0009870941284991,0.0005533673052352,0.6133260471370722,1.8564982859236946e-13,4.547473508864641e-13,51.680071375041734
2MASS_J0249-0557_A,1.0,Success,0.315959,0.046,2.201594695802673,0.2445438384851877,6.438917256388895,0.9876959077595828,8.074624474558068e-05,0.0029434152136664,0.0113309820840575,1.1364669746262397,1.3073067170263788e-13,4.547473508864641e-13,10.15151783399051
2MASS_J03590986+2009361,1.0,Success,0.289776,0.264996,6.729144676120334,0.0217569973578059,6.283382397560766,0.9243004401027098,0.0051253604576935,0.073469593853879,-5.211200177379638e-06,-0.5191964189773557,2.273736754432321e-13,4.547473508864641e-13,84.95622725004796
2MASS_J04372171+2651014,1.0,Success,0.84,0.17,1.836049924142262,0.0716104966486333,10.87447883879848,0.9924632501962084,5.556793545999144e-05,0.0013927377083436,0.0018241894512027,1.7357508410533304,1.640733954873713e-13,4.547473508864641e-13,21.0375841659843
2MASS_J04414489+2301513,1.0,Post-processing error: 'bool' object has no attribute 'sum',,,,,,,,,,,,,12.747785375046078
2MASS_J11011926-7732383,1.0,Success,1.0,1.0,0.8592522183379255,0.0160996773300463,4.83223742397512,0.9685493101917348,0.0109850343157028,0.0260521412247623,0.0061185430028063,-1.450844926719885,1.3088529112001693e-13,4.547473508864641e-13,24.80876729200827
2MASS_J11550485-7919108,1.0,Success,0.600455,0.58846,12.322362896422042,0.1413160850343968,7.495607834682432,0.995267278729008,7.789667023160848e-05,0.0002140736354119,0.0001043823917331,,,,50.31840250000823
