host,label,n_points,SDE,SDE_raw,FAP,period,period_uncertainty,T0,duration,depth,depth_mean,depth_mean_std,depth_mean_even,depth_mean_odd,odd_even_mismatch,rp_rs,snr,transit_count,distinct_transit_count,empty_transit_count,pl_names,n_planets_in_catalog,ra,dec,st_rad,st_teff,st_mass,n_original,n_after_quality,n_after_outliers,n_final,points_removed_pct,pre_norm_median_flux,flux_source,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,depth_duration_ratio,r_star_used,m_star_used
11_Com,1.0,13502.0,6.397186864085209,4.4201743948854535,,2.2508678614493025,0.0138304025998532,2641.4504646386313,0.1749279136024182,0.9998355222244236,0.9998874926652486,5.039609359311908e-06,0.9998833735449656,0.9998921757127136,0.6254960560965833,0.0116832063471174,23.472954626991843,11.0,9.0,2.0,11 Com b,1.0,185.1787793,17.7932516,13.76,4874.0,2.09,15467.0,13502.0,13502.0,13502.0,12.70446757612983,4744671.75,pdcsap_flux,2.464949351964602e-08,9.619829698373448e-05,8.570388595097178e-05,,5.715700265521271,13.76,2.09
11_UMi,1.0,17584.0,6.635512291060554,5.372858124955867,0.030972389,5.684632214339306,0.033371570009554,1686.1335471772434,0.0392532774688346,0.9993656504761164,0.9992768529933416,4.4165149276488714e-05,0.9990658951899576,0.9994918676775604,4.726446653183643,0.0226501694792953,26.46907107351184,5.0,4.0,1.0,11 UMi b,1.0,229.2745954,71.8239428,29.79,4213.0,2.78,18348.0,17584.0,17584.0,17584.0,4.163941574013519,4725428.25,pdcsap_flux,7.502437385917753e-08,0.0004519571200712,-6.359568946501248e-05,,25.45941931268209,29.79,2.78
14_And,1.0,13878.0,4.6956839036410765,4.180267606957821,,1.2679235418604884,0.0052390347247085,1738.8153041749442,0.0329311856877657,0.9998190293598664,0.9997990052119844,1.4469516089616416e-05,0.999782665213128,0.9998152528944628,0.8064852114047688,0.0121616443529103,14.5713216553888,24.0,20.0,4.0,14 And b,1.0,352.82415,39.2358367,11.55,4888.0,1.78,16712.0,13878.0,13878.0,13878.0,16.957874581139297,3016265.4,pdcsap_flux,6.65405709490308e-08,0.0002057638782586,0.0001556631216693,1.8542327183630731,30.360857299204696,11.55,1.78
14_Her,1.0,18189.0,6.281204656462793,4.489408729632203,0.055542217,1.6025802434040497,0.0035659837688639,1956.0931898284373,0.0343854010453874,0.9999351781176165,0.999943425822665,9.12303551173455e-06,0.9999438702698916,0.9999429882130878,0.0345002155033961,0.0069905766897444,5.711435990534024,17.0,16.0,1.0,14 Her b; HD 145675 c,2.0,242.6021014,43.8163621,0.93,5338.0,0.97,18206.0,18206.0,18189.0,18189.0,0.0933758101724691,706527.5,pdcsap_flux,3.7931346415761406e-08,4.156722246974614e-05,1.1048279135783544e-05,,29.08022438934886,0.93,0.97
16_Cyg_B,1.0,18345.0,0.0544519923796801,0.0905766603838469,,5.294003507186989,inf,1691.704609478566,0.0210151004667895,0.9994174320234664,0.9992644321672322,0.0001346479804467,0.999336435862189,0.9991721774330689,0.4274858267507349,0.0250781059338178,4.53759785807914,2.0,2.0,0.0,16 Cyg B b,1.0,295.4656422,50.5168243,1.13,5750.0,1.08,18397.0,18397.0,18345.0,18345.0,0.2826547806707657,879749.44,pdcsap_flux,1.9345253566199713e-06,0.0003606903263481,5.255473589538262e-05,,47.557109403443576,1.13,1.08
17_Sco,1.0,12720.0,5.052999331204199,4.64722328302171,,6.242968011453363,0.0917041173639443,3781.110618531802,0.0503866377166975,0.9997944414888958,0.9996835636521362,3.219923720364815e-05,0.9998282188285268,0.999403020279742,5.542098472001586,0.0158671319000699,14.993308281204806,3.0,3.0,0.0,17 Sco b,1.0,243.4620874,-11.8377905,25.92,4157.0,1.22,14110.0,12720.0,12720.0,12720.0,9.851169383416014,3954871.15,pdcsap_flux,4.3131462584143354e-08,0.0001996772088137,-3.913260203658453e-06,0.23867716667438,19.84245202290163,25.92,1.22
18_Del,1.0,13386.0,6.616080833205392,5.662045205798741,0.019287715,2.1265473017280287,0.0076249798410681,2797.9464299863184,0.0634078765814457,0.9998547897092096,0.9998534167597484,7.085821573938285e-06,0.9998342341738984,0.9998775119590476,2.1831295340088297,0.0111732477057807,18.143029407913303,13.0,9.0,4.0,18 Del b,1.0,314.6078375,10.8391378,8.8,4980.0,2.1,18789.0,13386.0,13386.0,13386.0,28.75618713076801,2104404.35,pdcsap_flux,2.3945084703107618e-08,8.28551413292244e-05,8.438047638836821e-06,,15.768621244159204,8.8,2.1
1RXS_J160929.1-210524,1.0,12499.0,9.002216012241057,6.8694374714990865,0.000880352,10.517569393627712,0.024107359391051,3775.298629481276,0.0310243082979804,0.9925789547878234,0.9942131380357856,0.0005211081761567,0.9942131380357856,,,0.0757811977740377,16.79543074857242,3.0,2.0,1.0,1RXS J160929.1-210524 b,1.0,242.3762343,-21.0831403,1.31316,4060.0,0.85,14061.0,12499.0,12499.0,12499.0,11.108740487874256,5803.5664,pdcsap_flux,4.349786271398915e-06,0.0008956887231384,-0.0001646932991783,,31.99358855173695,1.31316,0.85
24_Boo,1.0,17779.0,5.734389068608819,4.153800872128666,,2.697028686651044,0.0140791561886985,1899.8713583601063,0.0828268188348454,0.9997345368720372,0.9997322237165672,1.0989408730905386e-05,0.9997293716440956,0.99973572938898,0.2013413356417426,0.0146524163447544,23.388393124385473,10.0,9.0,1.0,24 Boo b,1.0,217.1555242,49.8446488,12.19,4816.0,1.05,18568.0,17779.0,17779.0,17779.0,4.249246014648856,1996616.1,pdcsap_flux,6.929278369505847e-08,0.0001902488612872,3.4116036713771614e-05,0.5904998280376141,12.07017909097152,12.19,1.05
24_Sex,1.0,12834.0,5.296386365678508,5.680270996667879,0.02745098,11.68278775198478,0.0692572341664679,1523.5621472005178,0.1497639933271288,0.999478042339626,0.9995298015449144,3.580099083532782e-05,0.9997126331518836,0.9993185294657502,4.49812722980996,0.0205458817729383,19.606373540292747,2.0,2.0,0.0,24 Sex b; 24 Sex c,2.0,155.8684866,-0.9023998,4.9,5098.0,1.54,13285.0,12957.0,12834.0,12834.0,3.3948061723748535,896852.225,pdcsap_flux,1.0966069134469678e-07,0.0001970518430667,1.569411369961582e-05,,6.673687180312231,4.9,1.54
