host,ra,dec,last_verified_unknown_utc,newly_flagged_in_archive_or_exofop,exofop_has_target_page,exofop_note,exofop_code,arxiv_status,arxiv_links,arxiv_code,ads_status,ads_links,ads_code,vsx_status,vsx_detail,vsx_code,blending_status,n_gaia_neighbors_tier1_21as,n_gaia_neighbors_tier2_63as,blend_code,plausibility_verdict,period_days,epoch_bjd,transit_depth_ppm,transit_duration_hours,planet_radius_earth,semi_major_axis_au,equilibrium_temp_k,insolation_flux_earth,rough_hz_flag,stellar_spectral_type_rough,stellar_mass_was_defaulted_to_solar,radius_plausible,predicted_probability,SDE,FAP,distinct_transit_count,period,duration,T0,st_rad,st_teff,st_mass,confidence_tier,supporting_evidence,doubting_evidence,stellar_mass_status,predicted_probability_dup,SDE_dup,FAP_dup,distinct_transit_count_dup,period_dup,duration_dup,T0_dup,st_rad_dup,st_teff_dup,st_mass_dup,predicted_probability_dup.1,SDE_dup.1,FAP_dup.1,distinct_transit_count_dup.1,period_dup.1,duration_dup.1,T0_dup.1,st_rad_dup.1,st_teff_dup.1,st_mass_dup.1,predicted_probability_dup.2,SDE_dup.2,FAP_dup.2,distinct_transit_count_dup.2,period_dup.2,duration_dup.2,T0_dup.2,st_rad_dup.2,st_teff_dup.2,st_mass_dup.2,predicted_probability_dup.3,SDE_dup.3,FAP_dup.3,distinct_transit_count_dup.3,period_dup.3,duration_dup.3,T0_dup.3,st_rad_dup.3,st_teff_dup.3,st_mass_dup.3,predicted_probability_dup.4,SDE_dup.4,FAP_dup.4,distinct_transit_count_dup.4,period_dup.4,duration_dup.4,T0_dup.4,st_rad_dup.4,st_teff_dup.4,st_mass_dup.4,predicted_probability_dup.5,SDE_dup.5,FAP_dup.5,distinct_transit_count_dup.5,period_dup.5,duration_dup.5,T0_dup.5,st_rad_dup.5,st_teff_dup.5,st_mass_dup.5,predicted_probability_dup.6,SDE_dup.6,FAP_dup.6,distinct_transit_count_dup.6,period_dup.6,duration_dup.6,T0_dup.6,st_rad_dup.6,st_teff_dup.6,st_mass_dup.6,predicted_probability_dup.7,SDE_dup.7,FAP_dup.7,distinct_transit_count_dup.7,period_dup.7,duration_dup.7,T0_dup.7,st_rad_dup.7,st_teff_dup.7,st_mass_dup.7,rv_status,rv_detail,rv_code,planet_radius_earth_p16,planet_radius_earth_p84,semi_major_axis_au_p16,semi_major_axis_au_p84,equilibrium_temp_k_p16,equilibrium_temp_k_p84,uncertainty_fallbacks_used,predicted_probability_dup,SDE_dup,FAP_dup,distinct_transit_count_dup,period_dup,duration_dup,T0_dup,st_rad_dup,st_teff_dup,st_mass_dup,combined_tier
TIC_403153811,336.82960989237,-57.3914084718739,2026-07-15 01:12:40 UTC,False,False,,NO_HIT,No arXiv match,,NO_HIT,SKIPPED: no ADS_API_KEY,,SKIPPED,No VSX match within 1 TESS pixel,,NO_HIT,"MODERATE (source within 3 TESS pixels) -- nearest neighbor at 27.5"", G=19.89, +6.4 mag vs target",0.0,6.0,HIT,"Physically plausible, low-to-moderate contamination risk",0.5595357906390587,4128.0552887053245,664.800886841177,0.3947040960169032,1.4808367787682368,0.0107113188449397,1284.7294363403446,453.9495503081536,False,K,False,True,0.9565014168915316,7.200160512780999,0.007122849,38.0,0.5595357906390587,0.0164460040007043,4128.0552887053245,0.526541,3800.0,0.523665,Medium,high classifier probability (0.957); moderate detection: SDE=7.2 across 38 distinct transits; physically plausible derived radius (1.5 R_earth); no known variable-star match (VSX); not previously flagged by ExoFOP or the TOI catalog as of 2026-07-15 01:12:40 UTC,a moderate-distance Gaia source is a mild contamination concern,real TIC catalog value,0.9565014168915316,7.200160512780999,0.007122849,38.0,0.5595357906390587,0.0164460040007043,4128.0552887053245,0.526541,3800.0,0.523665,0.9565014168915316,7.200160512780999,0.007122849,38.0,0.5595357906390587,0.0164460040007043,4128.0552887053245,0.526541,3800.0,0.523665,0.9565014168915316,7.200160512780999,0.007122849,38.0,0.5595357906390587,0.0164460040007043,4128.0552887053245,0.526541,3800.0,0.523665,0.9565014168915316,7.200160512780999,0.007122849,38.0,0.5595357906390587,0.0164460040007043,4128.0552887053245,0.526541,3800.0,0.523665,0.9565014168915316,7.200160512780999,0.007122849,38.0,0.5595357906390587,0.0164460040007043,4128.0552887053245,0.526541,3800.0,0.523665,0.9565014168915316,7.200160512780999,0.007122849,38.0,0.5595357906390587,0.0164460040007043,4128.0552887053245,0.526541,3800.0,0.523665,0.9565014168915316,7.200160512780999,0.007122849,38.0,0.5595357906390587,0.0164460040007043,4128.0552887053245,0.526541,3800.0,0.523665,0.9565014168915316,7.200160512780999,0.007122849,38.0,0.5595357906390587,0.0164460040007043,4128.0552887053245,0.526541,3800.0,0.523665,,,,,,,,,,,,,,,,,,,,,moderate
TIC_273366457,340.020650170207,-72.4144484838855,2026-07-15 01:12:40 UTC,False,False,,NO_HIT,No arXiv match,,NO_HIT,SKIPPED: no ADS_API_KEY,,SKIPPED,No VSX match within 1 TESS pixel,,NO_HIT,"MODERATE (source within 3 TESS pixels) -- nearest neighbor at 30.7"", G=19.12, +3.6 mag vs target",0.0,7.0,HIT,"Physically plausible, low-to-moderate contamination risk",1.750734642095626,1326.6484487607984,22498.231269262986,0.39716793780012,2.9449362420806926,0.0221030744453367,4265.844871690266,55179.92717678577,False,O,False,True,0.9260863882327912,6.452722328658594,0.023769508,15.0,1.750734642095626,0.016548664075005,1326.6484487607984,0.18,31000.0,0.47,Medium,high classifier probability (0.926); physically plausible derived radius (2.9 R_earth); no known variable-star match (VSX); not previously flagged by ExoFOP or the TOI catalog as of 2026-07-15 01:12:40 UTC,"marginal detection statistics: SDE=6.5, only 15 distinct transits observed; a moderate-distance Gaia source is a mild contamination concern",real TIC catalog value,0.9260863882327912,6.452722328658594,0.023769508,15.0,1.750734642095626,0.016548664075005,1326.6484487607984,0.18,31000.0,0.47,0.9260863882327912,6.452722328658594,0.023769508,15.0,1.750734642095626,0.016548664075005,1326.6484487607984,0.18,31000.0,0.47,0.9260863882327912,6.452722328658594,0.023769508,15.0,1.750734642095626,0.016548664075005,1326.6484487607984,0.18,31000.0,0.47,0.9260863882327912,6.452722328658594,0.023769508,15.0,1.750734642095626,0.016548664075005,1326.6484487607984,0.18,31000.0,0.47,0.9260863882327912,6.452722328658594,0.023769508,15.0,1.750734642095626,0.016548664075005,1326.6484487607984,0.18,31000.0,0.47,0.9260863882327912,6.452722328658594,0.023769508,15.0,1.750734642095626,0.016548664075005,1326.6484487607984,0.18,31000.0,0.47,0.9260863882327912,6.452722328658594,0.023769508,15.0,1.750734642095626,0.016548664075005,1326.6484487607984,0.18,31000.0,0.47,0.9260863882327912,6.452722328658594,0.023769508,15.0,1.750734642095626,0.016548664075005,1326.6484487607984,0.18,31000.0,0.47,,,,,,,,,,,,,,,,,,,,,moderate
TIC_465765802,282.668400401676,-70.3226742784497,2026-07-15 01:12:40 UTC,False,False,,NO_HIT,No arXiv match,,NO_HIT,SKIPPED: no ADS_API_KEY,,SKIPPED,No VSX match within 1 TESS pixel,,NO_HIT,"MODERATE (source within 3 TESS pixels) -- nearest neighbor at 27.0"", G=16.37, +1.0 mag vs target",0.0,14.0,HIT,"Physically plausible, low-to-moderate contamination risk",1.0518619046094306,3097.9488343361886,5968.982449177207,0.4292662441556591,3.2945754720889884,0.0146770988239052,876.0241171941243,98.1352742616216,False,M,False,True,0.9257082519415208,6.726023440981028,0.014885954,19.0,1.0518619046094306,0.0178860935064858,3097.9488343361886,0.390949,3520.0,0.381227,Medium,high classifier probability (0.926); physically plausible derived radius (3.3 R_earth); no known variable-star match (VSX); not previously flagged by ExoFOP or the TOI catalog as of 2026-07-15 01:12:40 UTC,"marginal detection statistics: SDE=6.7, only 19 distinct transits observed; a moderate-distance Gaia source is a mild contamination concern",real TIC catalog value,0.9257082519415208,6.726023440981028,0.014885954,19.0,1.0518619046094306,0.0178860935064858,3097.9488343361886,0.390949,3520.0,0.381227,0.9257082519415208,6.726023440981028,0.014885954,19.0,1.0518619046094306,0.0178860935064858,3097.9488343361886,0.390949,3520.0,0.381227,0.9257082519415208,6.726023440981028,0.014885954,19.0,1.0518619046094306,0.0178860935064858,3097.9488343361886,0.390949,3520.0,0.381227,0.9257082519415208,6.726023440981028,0.014885954,19.0,1.0518619046094306,0.0178860935064858,3097.9488343361886,0.390949,3520.0,0.381227,0.9257082519415208,6.726023440981028,0.014885954,19.0,1.0518619046094306,0.0178860935064858,3097.9488343361886,0.390949,3520.0,0.381227,0.9257082519415208,6.726023440981028,0.014885954,19.0,1.0518619046094306,0.0178860935064858,3097.9488343361886,0.390949,3520.0,0.381227,0.9257082519415208,6.726023440981028,0.014885954,19.0,1.0518619046094306,0.0178860935064858,3097.9488343361886,0.390949,3520.0,0.381227,0.9257082519415208,6.726023440981028,0.014885954,19.0,1.0518619046094306,0.0178860935064858,3097.9488343361886,0.390949,3520.0,0.381227,,,,,,,,,,,,,,,,,,,,,moderate
TIC_199730918,21.2622409013672,-45.6114943993583,2026-07-15 01:12:40 UTC,False,False,,NO_HIT,No arXiv match,,NO_HIT,SKIPPED: no ADS_API_KEY,,SKIPPED,No VSX match within 1 TESS pixel,,NO_HIT,"MODERATE (source within 3 TESS pixels) -- nearest neighbor at 53.9"", G=21.47, +12.8 mag vs target",0.0,1.0,HIT,"Physically plausible, low-to-moderate contamination risk",0.9934252889891008,2088.490510529594,92.0854006531968,0.4351860034072752,3.125840070702451,0.0194848316507015,2912.641439836603,11992.479560091397,False,K,True,True,0.92171379498191,6.647890408847859,0.016806723,23.0,0.9934252889891008,0.0181327501419698,2088.490510529594,2.98636,4879.0,,Medium,high classifier probability (0.922); physically plausible derived radius (3.1 R_earth); no known variable-star match (VSX); not previously flagged by ExoFOP or the TOI catalog as of 2026-07-15 01:12:40 UTC,"marginal detection statistics: SDE=6.6, only 23 distinct transits observed; a moderate-distance Gaia source is a mild contamination concern; stellar mass was missing from the TIC catalog and defaulted to solar -- semi-major axis/temperature estimates are less reliable for non-solar-type stars",DEFAULTED TO SOLAR -- Teq/insolation/semi-major axis degraded,0.92171379498191,6.647890408847859,0.016806723,23.0,0.9934252889891008,0.0181327501419698,2088.490510529594,2.98636,4879.0,,0.92171379498191,6.647890408847859,0.016806723,23.0,0.9934252889891008,0.0181327501419698,2088.490510529594,2.98636,4879.0,,0.92171379498191,6.647890408847859,0.016806723,23.0,0.9934252889891008,0.0181327501419698,2088.490510529594,2.98636,4879.0,,0.92171379498191,6.647890408847859,0.016806723,23.0,0.9934252889891008,0.0181327501419698,2088.490510529594,2.98636,4879.0,,0.92171379498191,6.647890408847859,0.016806723,23.0,0.9934252889891008,0.0181327501419698,2088.490510529594,2.98636,4879.0,,0.92171379498191,6.647890408847859,0.016806723,23.0,0.9934252889891008,0.0181327501419698,2088.490510529594,2.98636,4879.0,,0.92171379498191,6.647890408847859,0.016806723,23.0,0.9934252889891008,0.0181327501419698,2088.490510529594,2.98636,4879.0,,0.92171379498191,6.647890408847859,0.016806723,23.0,0.9934252889891008,0.0181327501419698,2088.490510529594,2.98636,4879.0,,,,,,,,,,,,,,,,,,,,,,moderate
TIC_260753626,346.54939989159,-70.488167913749,2026-07-15 01:12:40 UTC,False,False,,NO_HIT,No arXiv match,,NO_HIT,SKIPPED: no ADS_API_KEY,,SKIPPED,No VSX match within 1 TESS pixel,,NO_HIT,"MODERATE (source within 3 TESS pixels) -- nearest neighbor at 28.4"", G=20.28, +11.6 mag vs target",0.0,8.0,HIT,"Physically plausible, low-to-moderate contamination risk",0.8449320553065148,2036.3804230545893,72.44330334221783,0.44908360718694,14.26362123444761,0.0174912578271213,6594.035188083754,315040.16891870863,False,K,True,True,0.7802374644492579,9.898159252123689,8.0032e-05,27.0,0.8449320553065148,0.0187118169661225,2036.3804230545893,15.3639,4614.0,,Medium,moderate detection: SDE=9.9 across 27 distinct transits; physically plausible derived radius (14.3 R_earth); no known variable-star match (VSX); not previously flagged by ExoFOP or the TOI catalog as of 2026-07-15 01:12:40 UTC,a moderate-distance Gaia source is a mild contamination concern; stellar mass was missing from the TIC catalog and defaulted to solar -- semi-major axis/temperature estimates are less reliable for non-solar-type stars,DEFAULTED TO SOLAR -- Teq/insolation/semi-major axis degraded,0.7802374644492579,9.898159252123689,8.0032e-05,27.0,0.8449320553065148,0.0187118169661225,2036.3804230545893,15.3639,4614.0,,0.7802374644492579,9.898159252123689,8.0032e-05,27.0,0.8449320553065148,0.0187118169661225,2036.3804230545893,15.3639,4614.0,,0.7802374644492579,9.898159252123689,8.0032e-05,27.0,0.8449320553065148,0.0187118169661225,2036.3804230545893,15.3639,4614.0,,0.7802374644492579,9.898159252123689,8.0032e-05,27.0,0.8449320553065148,0.0187118169661225,2036.3804230545893,15.3639,4614.0,,0.7802374644492579,9.898159252123689,8.0032e-05,27.0,0.8449320553065148,0.0187118169661225,2036.3804230545893,15.3639,4614.0,,0.7802374644492579,9.898159252123689,8.0032e-05,27.0,0.8449320553065148,0.0187118169661225,2036.3804230545893,15.3639,4614.0,,0.7802374644492579,9.898159252123689,8.0032e-05,27.0,0.8449320553065148,0.0187118169661225,2036.3804230545893,15.3639,4614.0,,0.7802374644492579,9.898159252123689,8.0032e-05,27.0,0.8449320553065148,0.0187118169661225,2036.3804230545893,15.3639,4614.0,,,,,,,,,,,,,,,,,,,,,,moderate
TIC_234495456,9.91944566354615,-62.403467847029,2026-07-15 01:12:40 UTC,False,False,,NO_HIT,No arXiv match,,NO_HIT,SKIPPED: no ADS_API_KEY,,SKIPPED,No VSX match within 1 TESS pixel,,NO_HIT,"LOW-MODERATE (source within 1 pixel, but too faint to meaningfully dilute the aperture) -- nearest neighbor at 13.3"", G=20.63, +5.9 mag vs target",1.0,7.0,HIT,"Physically plausible, low-to-moderate contamination risk",0.7611613696811822,1325.5684162122775,13886.249034002818,1.9739693111578704,3.2957037631038446,0.0099645747933742,727.4585933395135,46.66529376955617,False,M,False,True,0.6839881562349946,11.45945023970936,8.0032e-05,36.0,0.7611613696811822,0.0822487212982446,1325.5684162122775,0.256405,2974.0,0.227826,Medium,strong detection: SDE=11.5 across 36 distinct transits; physically plausible derived radius (3.3 R_earth); no known variable-star match (VSX); not previously flagged by ExoFOP or the TOI catalog as of 2026-07-15 01:12:40 UTC,a moderate-distance Gaia source is a mild contamination concern,real TIC catalog value,0.6839881562349946,11.45945023970936,8.0032e-05,36.0,0.7611613696811822,0.0822487212982446,1325.5684162122775,0.256405,2974.0,0.227826,0.6839881562349946,11.45945023970936,8.0032e-05,36.0,0.7611613696811822,0.0822487212982446,1325.5684162122775,0.256405,2974.0,0.227826,0.6839881562349946,11.45945023970936,8.0032e-05,36.0,0.7611613696811822,0.0822487212982446,1325.5684162122775,0.256405,2974.0,0.227826,0.6839881562349946,11.45945023970936,8.0032e-05,36.0,0.7611613696811822,0.0822487212982446,1325.5684162122775,0.256405,2974.0,0.227826,0.6839881562349946,11.45945023970936,8.0032e-05,36.0,0.7611613696811822,0.0822487212982446,1325.5684162122775,0.256405,2974.0,0.227826,0.6839881562349946,11.45945023970936,8.0032e-05,36.0,0.7611613696811822,0.0822487212982446,1325.5684162122775,0.256405,2974.0,0.227826,0.6839881562349946,11.45945023970936,8.0032e-05,36.0,0.7611613696811822,0.0822487212982446,1325.5684162122775,0.256405,2974.0,0.227826,0.6839881562349946,11.45945023970936,8.0032e-05,36.0,0.7611613696811822,0.0822487212982446,1325.5684162122775,0.256405,2974.0,0.227826,,,,,,,,,,,,,,,,,,,,,moderate
TIC_213892434,258.537725666711,-51.9755597262451,2026-07-15 01:12:40 UTC,False,False,,NO_HIT,No arXiv match,,NO_HIT,SKIPPED: no ADS_API_KEY,,SKIPPED,No VSX match within 1 TESS pixel,,NO_HIT,"LOW-MODERATE (source within 1 pixel, but too faint to meaningfully dilute the aperture) -- nearest neighbor at 4.1"", G=17.13, +7.6 mag vs target",30.0,49.0,HIT,"Physically plausible, low-to-moderate contamination risk",0.7245315225708668,4153.331141523124,121.77759897236128,0.413293308675612,16.273221541025773,0.0157874276678837,6811.384269144113,358676.0829529062,False,K,True,True,0.6709443220159408,9.461437281256597,8.0032e-05,32.0,0.7245315225708668,0.0172205545281505,4153.331141523124,13.5195,4827.0,,Medium,moderate detection: SDE=9.5 across 32 distinct transits; physically plausible derived radius (16.3 R_earth); no known variable-star match (VSX); not previously flagged by ExoFOP or the TOI catalog as of 2026-07-15 01:12:40 UTC,a moderate-distance Gaia source is a mild contamination concern; stellar mass was missing from the TIC catalog and defaulted to solar -- semi-major axis/temperature estimates are less reliable for non-solar-type stars,DEFAULTED TO SOLAR -- Teq/insolation/semi-major axis degraded,0.6709443220159408,9.461437281256597,8.0032e-05,32.0,0.7245315225708668,0.0172205545281505,4153.331141523124,13.5195,4827.0,,0.6709443220159408,9.461437281256597,8.0032e-05,32.0,0.7245315225708668,0.0172205545281505,4153.331141523124,13.5195,4827.0,,0.6709443220159408,9.461437281256597,8.0032e-05,32.0,0.7245315225708668,0.0172205545281505,4153.331141523124,13.5195,4827.0,,0.6709443220159408,9.461437281256597,8.0032e-05,32.0,0.7245315225708668,0.0172205545281505,4153.331141523124,13.5195,4827.0,,0.6709443220159408,9.461437281256597,8.0032e-05,32.0,0.7245315225708668,0.0172205545281505,4153.331141523124,13.5195,4827.0,,0.6709443220159408,9.461437281256597,8.0032e-05,32.0,0.7245315225708668,0.0172205545281505,4153.331141523124,13.5195,4827.0,,0.6709443220159408,9.461437281256597,8.0032e-05,32.0,0.7245315225708668,0.0172205545281505,4153.331141523124,13.5195,4827.0,,0.6709443220159408,9.461437281256597,8.0032e-05,32.0,0.7245315225708668,0.0172205545281505,4153.331141523124,13.5195,4827.0,,,,,,,,,,,,,,,,,,,,,,moderate
TIC_401838575,26.1329226343446,-46.0755054864637,2026-07-15 01:12:40 UTC,False,False,,NO_HIT,No arXiv match,,NO_HIT,SKIPPED: no ADS_API_KEY,,SKIPPED,No VSX match within 1 TESS pixel,,NO_HIT,"No other Gaia sources within 3 TESS pixels (63"")",0.0,0.0,NO_HIT,"Physically plausible, low-to-moderate contamination risk",0.6301615651594599,1354.3658856330032,9283.53888006883,1.6549372905086184,2.172585533145051,0.0080565858145476,693.7000507761095,38.58760243410626,False,M,False,True,0.6355388167612813,10.660694859920454,8.0032e-05,42.0,0.6301615651594599,0.0689557204378591,1354.3658856330032,0.206724,2840.0,0.175683,Medium,strong detection: SDE=10.7 across 42 distinct transits; physically plausible derived radius (2.2 R_earth); no known variable-star match (VSX); not previously flagged by ExoFOP or the TOI catalog as of 2026-07-15 01:12:40 UTC,none,real TIC catalog value,0.6355388167612813,10.660694859920454,8.0032e-05,42.0,0.6301615651594599,0.0689557204378591,1354.3658856330032,0.206724,2840.0,0.175683,0.6355388167612813,10.660694859920454,8.0032e-05,42.0,0.6301615651594599,0.0689557204378591,1354.3658856330032,0.206724,2840.0,0.175683,0.6355388167612813,10.660694859920454,8.0032e-05,42.0,0.6301615651594599,0.0689557204378591,1354.3658856330032,0.206724,2840.0,0.175683,0.6355388167612813,10.660694859920454,8.0032e-05,42.0,0.6301615651594599,0.0689557204378591,1354.3658856330032,0.206724,2840.0,0.175683,0.6355388167612813,10.660694859920454,8.0032e-05,42.0,0.6301615651594599,0.0689557204378591,1354.3658856330032,0.206724,2840.0,0.175683,0.6355388167612813,10.660694859920454,8.0032e-05,42.0,0.6301615651594599,0.0689557204378591,1354.3658856330032,0.206724,2840.0,0.175683,0.6355388167612813,10.660694859920454,8.0032e-05,42.0,0.6301615651594599,0.0689557204378591,1354.3658856330032,0.206724,2840.0,0.175683,0.6355388167612813,10.660694859920454,8.0032e-05,42.0,0.6301615651594599,0.0689557204378591,1354.3658856330032,0.206724,2840.0,0.175683,,,,,,,,,,,,,,,,,,,,,moderate
TIC_303703388,272.412391718739,-62.9900318058552,2026-07-15 01:12:40 UTC,False,False,,NO_HIT,No arXiv match,,NO_HIT,SKIPPED: no ADS_API_KEY,,SKIPPED,No VSX match within 1 TESS pixel,,NO_HIT,"LOW-MODERATE (source within 1 pixel, but too faint to meaningfully dilute the aperture) -- nearest neighbor at 10.5"", G=20.25, +10.6 mag vs target",3.0,38.0,HIT,"Physically plausible, low-to-moderate contamination risk",1.0039131855105528,4074.27102765623,443.6589192815532,1.9475643999885577,3.570990203272022,0.0232330727233196,2886.2899539516725,11564.336524924534,False,F,False,True,0.6082053945171582,7.583958127449691,0.003281313,25.0,1.0039131855105528,0.0811485166661899,4074.27102765623,1.5543,7318.0,1.66,Medium,moderate detection: SDE=7.6 across 25 distinct transits; physically plausible derived radius (3.6 R_earth); no known variable-star match (VSX); not previously flagged by ExoFOP or the TOI catalog as of 2026-07-15 01:12:40 UTC,a moderate-distance Gaia source is a mild contamination concern,real TIC catalog value,0.6082053945171582,7.583958127449691,0.003281313,25.0,1.0039131855105528,0.0811485166661899,4074.27102765623,1.5543,7318.0,1.66,0.6082053945171582,7.583958127449691,0.003281313,25.0,1.0039131855105528,0.0811485166661899,4074.27102765623,1.5543,7318.0,1.66,0.6082053945171582,7.583958127449691,0.003281313,25.0,1.0039131855105528,0.0811485166661899,4074.27102765623,1.5543,7318.0,1.66,0.6082053945171582,7.583958127449691,0.003281313,25.0,1.0039131855105528,0.0811485166661899,4074.27102765623,1.5543,7318.0,1.66,0.6082053945171582,7.583958127449691,0.003281313,25.0,1.0039131855105528,0.0811485166661899,4074.27102765623,1.5543,7318.0,1.66,0.6082053945171582,7.583958127449691,0.003281313,25.0,1.0039131855105528,0.0811485166661899,4074.27102765623,1.5543,7318.0,1.66,0.6082053945171582,7.583958127449691,0.003281313,25.0,1.0039131855105528,0.0811485166661899,4074.27102765623,1.5543,7318.0,1.66,0.6082053945171582,7.583958127449691,0.003281313,25.0,1.0039131855105528,0.0811485166661899,4074.27102765623,1.5543,7318.0,1.66,,,,,,,,,,,,,,,,,,,,,moderate
TIC_197766496,327.17874808184,-54.1775565172542,2026-07-15 01:12:40 UTC,False,False,,NO_HIT,No arXiv match,,NO_HIT,SKIPPED: no ADS_API_KEY,,SKIPPED,No VSX match within 1 TESS pixel,,NO_HIT,"LOW-MODERATE (source within 1 pixel, but too faint to meaningfully dilute the aperture) -- nearest neighbor at 15.2"", G=19.69, +9.6 mag vs target",1.0,5.0,HIT,"Physically plausible, low-to-moderate contamination risk",1.9353604010741292,1325.7271911055277,379.3552318748228,1.769680144638648,17.455454981713828,0.0303935258572784,3623.252316607231,28718.0670024669,False,K,True,True,0.51790331413802,8.252901463008723,0.001040416,14.0,1.9353604010741292,0.073736672693277,1325.7271911055277,8.21635,4570.0,,Medium,moderate detection: SDE=8.3 across 14 distinct transits; physically plausible derived radius (17.5 R_earth); no known variable-star match (VSX); not previously flagged by ExoFOP or the TOI catalog as of 2026-07-15 01:12:40 UTC,a moderate-distance Gaia source is a mild contamination concern; stellar mass was missing from the TIC catalog and defaulted to solar -- semi-major axis/temperature estimates are less reliable for non-solar-type stars,DEFAULTED TO SOLAR -- Teq/insolation/semi-major axis degraded,0.51790331413802,8.252901463008723,0.001040416,14.0,1.9353604010741292,0.073736672693277,1325.7271911055277,8.21635,4570.0,,0.51790331413802,8.252901463008723,0.001040416,14.0,1.9353604010741292,0.073736672693277,1325.7271911055277,8.21635,4570.0,,0.51790331413802,8.252901463008723,0.001040416,14.0,1.9353604010741292,0.073736672693277,1325.7271911055277,8.21635,4570.0,,0.51790331413802,8.252901463008723,0.001040416,14.0,1.9353604010741292,0.073736672693277,1325.7271911055277,8.21635,4570.0,,0.51790331413802,8.252901463008723,0.001040416,14.0,1.9353604010741292,0.073736672693277,1325.7271911055277,8.21635,4570.0,,0.51790331413802,8.252901463008723,0.001040416,14.0,1.9353604010741292,0.073736672693277,1325.7271911055277,8.21635,4570.0,,0.51790331413802,8.252901463008723,0.001040416,14.0,1.9353604010741292,0.073736672693277,1325.7271911055277,8.21635,4570.0,,0.51790331413802,8.252901463008723,0.001040416,14.0,1.9353604010741292,0.073736672693277,1325.7271911055277,8.21635,4570.0,,,,,,,,,,,,,,,,,,,,,,moderate
