host,status,SDE,SDE_raw,FAP,period,period_uncertainty,T0,duration,depth,depth_mean,depth_mean_std,depth_mean_even,depth_mean_odd,odd_even_mismatch,rp_rs,snr,transit_count,distinct_transit_count,empty_transit_count,chi2red_min,depth_consistency_std,secondary_eclipse_depth,transit_shape_ratio,depth_duration_ratio,elapsed_s,st_rad,st_teff,st_mass,sector,ra,dec,st_rad_err,st_mass_err,predicted_probability
TIC_323859617,Success,5.975143566045115,5.630452002057434,0.05962385,5.966298725024133,0.0215320190945487,1658.4063779546746,0.0641849981769861,0.999829348789754,0.9998184597740272,1.134048878824624e-05,0.9997883103489472,0.9998633562005048,2.918049843344564,0.0117479430661888,20.256779185714436,5.0,5.0,0.0,1.8055885209736498e-08,0.0001434090373082,1.3235328277794167e-06,-3.789607742322877,15.57730586877617,96.07350216608027,35.9117,4148.0,,104.0,275.577389722565,-38.6568976303378,,,0.9916719992826369
TIC_367899500,Success,5.691061357905157,4.6496153151242545,0.093317327,3.764139881261501,0.0150820249630645,1629.4493871151335,0.0631616328720446,0.9997210315005444,0.9997288983306868,1.141785089205558e-05,0.999699572944146,0.9997872268467738,2.701058781805286,0.0150205117733935,19.986675207749805,7.0,6.0,1.0,4.919105801731891e-08,8.941871292821316e-05,-4.011969751571698e-05,-3.6831358299444767,15.827979519241037,86.9874082080787,10.9664,4883.0,,104.0,260.779671214172,-56.5255482948269,,,0.9894288457076843
TIC_260795157,Success,7.054673996291052,5.663315228222757,0.008563425,3.376834012442703,0.0093059568565372,1328.3579839487984,0.0154384993138751,0.9997905190365192,0.9997844520705178,4.002109000703808e-05,0.9997262137922216,0.99984136675158,1.042332239700701,0.0130160565923414,6.180294197103337,8.0,8.0,0.0,1.0564742263630118e-07,0.0002552196804665,7.725905844635506e-06,-5.0930200291921945,64.75956624475624,50.94148404104635,0.618071,4745.18,0.76,104.0,347.58570691705,-68.8388958013867,0.0367839,0.0890751,0.9870525168779245
TIC_324497887,Success,5.835455986239912,5.142499920334094,0.074509804,4.243324964693656,0.0170685475498721,1660.6896635934056,0.0861773545589202,0.9996334081202696,0.9996794941905194,1.1203622071274528e-05,0.9997110100603588,0.9996505336614782,1.925925530009752,0.0172186289446048,26.226450688396575,6.0,6.0,0.0,5.238996155650957e-08,0.0001158007945025,-3.0411359133841746e-05,0.85706610094023,11.599722609688737,105.4413823330542,8.714,4790.31,,104.0,277.207748914572,-49.0705936768556,,,0.9864294410216535
TIC_74648456,Success,5.690796980601177,5.056833012437969,0.093637455,1.007999567667078,0.0030698905278017,4179.533058549391,0.025727301999831,0.9919813741343332,0.9930994190942514,0.0014079582402522,0.9924373640469116,0.9938131467306516,0.3452857456269612,0.0805298930140735,4.543298974008555,25.0,23.0,2.0,0.0009767657219699,0.0074565166876691,0.0013645744043593,-2.4628832774866933,38.55753604248303,31.507147541968152,0.901299,4490.0,0.7,104.0,265.559043272719,-57.0972200687336,,,0.9844728461373634
TIC_229141027,Success,6.0503620192200565,5.973160050171624,0.050660264,3.3428744813278346,0.0142673985393189,4154.297328616998,0.0279439338737908,0.9975962021086068,0.997643020132842,0.0006599158094909,0.9988299513076908,0.995816972171536,1.549812420639594,0.0440916266956003,4.264885439925877,7.0,7.0,0.0,4.048359742842452e-05,0.003006410597627,-4.367770720947739e-05,0.5582884108999071,35.699919940201134,50.45044499996584,0.921573,5885.0,1.07,104.0,26.1101246296844,-48.1880232023556,0.0482387,0.128626,0.983932118481518
TIC_140459480,Success,6.055039928001939,4.9329765239558645,0.050180072,4.6317948957358555,0.0225091469518101,2119.234256357905,0.1191401010348004,0.99975786218512,0.9997719651567982,9.84741518899011e-06,0.9997556109600344,0.999788319353562,1.17910163754247,0.0139938900161574,18.358296622209313,5.0,4.0,1.0,5.2358864737169236e-08,4.513337977726607e-05,-1.3834069782170388e-05,0.695392995016214,8.39144715760392,85.22424541693181,15.0237,4545.0,,104.0,20.4127492049935,-33.232423488284,,,0.9835200542451794
TIC_143359172,Success,6.215355665177947,6.437187365600051,0.03857543,12.492820061013749,0.0433257127408746,1657.139051066715,0.0883583049938792,0.9995884198180238,0.9995917533427032,2.248073934362599e-05,0.9994771717684288,0.9998304649557742,7.452155150408427,0.0182446011787935,23.77814069457077,3.0,3.0,0.0,5.271498769999437e-08,0.0002330395530788,1.0156016940543466e-05,-1.4659021414068787,11.312897184789447,62.28654483403079,36.0542,4030.0,,104.0,294.036232696778,-46.1513580369627,,,0.9834838017925354
TIC_277749000,Success,6.947665962352321,6.627634786707759,0.010404162,3.430180854972839,0.0109542168392302,4103.044074909565,0.0283419814878475,0.9904787197640892,0.9923858796452998,0.0018306749846372,0.9902746845688662,1.0010417794586777,1.852482740891104,0.0877515549195157,4.081275158273097,7.0,5.0,2.0,0.0003544691546084,0.0045986345650999,-1.3855632710946251e-05,-1.5964410887813962,34.94740550122744,59.10491125006229,0.535098,3738.0,0.531654,104.0,330.347552573352,-64.731391361216,0.0163837,0.0206181,0.9814455408282141
TIC_314017939,Success,5.783123176685409,3.8171495163798927,0.080352141,1.3992919985931616,0.0065871037221114,3183.1094481306905,0.053149311876799,0.999792175198665,0.9997713937684878,9.981070588680536e-06,0.9998015022229064,0.9997368374742118,2.456174767466081,0.0129645018446392,22.419888044866948,17.0,15.0,2.0,5.908935154131551e-08,0.0002110344501185,0.0001600578767974,0.8827040973137767,18.811008833307177,56.48856837500352,10.2405,4854.0,,104.0,2.35266330878729,-45.7474204026887,,,0.980951540036512
TIC_343961704,Success,6.300712786212094,5.71942802308363,0.032893157,1.4625461399966164,0.0033669130055902,4179.918445676955,0.0210399808557508,0.9981314407530992,0.998347394358348,0.0003651158090538,0.9986930549230753,0.9979523537129456,0.7173427299693921,0.0388741210952864,4.6624432673949565,17.0,15.0,2.0,2.8263024915514103e-05,0.0013086253451368,3.916722259478256e-05,-1.0366125938142206,47.43975042545168,69.00821933394764,0.543935,3725.0,0.539767,104.0,285.991525777503,-59.2455732053615,0.0161376,0.0202738,0.9807631741101732
TIC_102032194,Success,7.442142045486423,6.457807129219745,0.004321729,12.273101038243478,0.0390002088462049,1366.3790735899013,0.1218680645506467,0.9992273908475924,0.9997238917697188,2.533915794532313e-05,0.9998784697920936,0.9995135642966516,6.105119890255583,0.0249969528544913,15.55012943761908,2.0,2.0,0.0,4.4516662073612516e-08,0.0001824527477209,-7.263882320751591e-06,-0.6893022970098034,8.199255436869,101.55316520796625,50.208,3851.0,,104.0,16.0998204725238,-47.9403364869423,,,0.9787387952170153
TIC_118273470,Success,6.039408442986145,5.386250105279105,0.051940776,6.762591248920018,0.0381702044359606,1661.9171742772232,0.1424407535500535,0.9997170215883964,0.999745993108686,1.6331117585524464e-05,0.99998266951434,0.9994963835661114,16.4062090229203,0.0151280795339112,21.60399037681287,4.0,4.0,0.0,5.18636472965419e-08,0.0002438151398052,2.4314392132018803e-05,0.0914521052577831,7.018476079860789,52.755770792020485,34.1198,4165.0,,104.0,272.067388041911,-55.69123512054,,,0.9782555359662843
TIC_118191232,Success,5.929672430026517,5.779230124473699,0.064105642,0.5052718167671616,0.0008898175176453,4074.568040279714,0.0196596029169158,0.9976533719224724,0.9979383931841704,0.0004260198411287,0.9974884180605362,0.9984053485011488,0.7614753069698824,0.043564153356864,5.017530793835128,50.0,47.0,3.0,0.000109106231559,0.0031357745010254,0.00022163834787,-0.1257699091087188,50.74636431563184,65.1805247500306,0.66543,4618.0,0.73,104.0,271.893200262701,-58.5777376283382,,,0.9765242774762448
TIC_466307646,Success,5.708415102469899,4.276198651559984,0.090356142,1.5531860546272993,0.0045873068798494,3127.7760254090203,0.0218094692144803,0.9984971663648372,0.9987024605008892,0.000280930911659,0.9987129020726604,0.998691682104222,0.0267042609294172,0.034862826942718,4.408952384052932,15.0,12.0,3.0,1.6320561596075907e-05,0.0009035821384499,5.450493439917992e-05,-0.5709680376391149,45.78273577157435,73.5257563329651,0.774532,5104.0,0.86,104.0,306.398699507224,-62.3336570674179,0.047118,0.107937,0.9759176601886738
TIC_119625675,Success,5.908388219798296,4.936584908541397,0.065866347,2.339177304617631,0.012357397998894,1658.3147648920374,0.1107148025751714,0.999709596694348,0.9997391358035568,9.740518963848085e-06,0.9997316335612424,0.999748687954335,0.6088284667288182,0.0153252625897882,28.04970209040904,11.0,11.0,0.0,7.014695609241963e-08,0.0001816204641056,6.836848971203402e-05,0.6516347241972977,9.029592912976383,98.22481141705066,11.4455,4934.0,,104.0,277.486403039111,-57.5231415386575,,,0.9748767603261698
TIC_207089163,Success,6.248772260489946,5.397864829045138,0.036814726,4.027872265840673,0.0235766743586904,1357.790778160947,0.1402633568532409,0.9997116330927046,0.9997518438885052,1.7247781042889495e-05,0.9996946546830504,0.9998107957749498,2.403038621145217,0.0152714353050113,13.86855097297952,6.0,6.0,0.0,1.8861075219268908e-07,9.90860260181323e-05,4.807161670139504e-05,-0.0940231309908721,7.127389900832859,122.99178770906292,12.4217,4603.0,,104.0,23.6968378554099,-53.9754117251335,,,0.97310676402909
TIC_79492963,Success,5.837500731876974,5.200245179630596,0.074269708,4.357299917400343,0.0128702222957013,4180.3344372701495,0.0334699276966817,0.8234422921249798,1.0282429656115308,0.0343703301185097,0.9908187886735323,1.079414799383896,0.8913609286826302,0.3778770252925184,-0.8022699810163199,6.0,5.0,1.0,0.1432553222154827,0.0710670890409168,-0.0029024852455883,-5.577014955020614,24.602452075407857,60.3768551669782,0.518213,4124.0,0.65,104.0,321.893738651016,-50.2470179168299,,,0.97193334363246
TIC_161265576,Success,6.675298663358795,5.391025347485532,0.016166467,10.787450378463877,0.0644767388323952,1327.6837958444105,0.1418611593342078,0.9996793094676258,0.9996911142752553,2.7882602104989515e-05,0.9996215628913568,0.9997931229716396,2.9318991543146775,0.0161046101491963,24.54986324784755,3.0,3.0,0.0,3.4125437865749285e-08,0.0005216886498896,-2.752718869292181e-06,-4.750081184328229,7.046885237364382,50.177529709006194,17.8151,4584.0,,104.0,341.617887024946,-49.6857894750638,,,0.971611866996436
TIC_63687402,Success,6.2504542359515565,5.804510651792972,0.036814726,6.260702941985878,0.0280170606353937,4184.76336446498,0.0464641050961399,0.997091627400864,0.997349357839698,0.0005150535967449,0.9972869090609292,0.9974137581428036,0.0875357812379308,0.048498931323805,6.38193411353416,4.0,4.0,0.0,2.242680800021096e-05,0.0019933038540476,2.8621620076552112e-05,-0.0876422390772902,21.45939592159924,50.166066125035286,0.756817,4948.0,0.81,104.0,278.476924687833,-47.5696382579963,0.0478342,0.097633,0.9714967969547157
TIC_140041127,Success,5.7829773641807085,4.364141592640128,0.080512205,1.675692457081931,0.0062932787788198,1326.376810194925,0.1011441568189716,0.9998359560325016,0.9998545139292014,6.440703968408231e-06,0.999879872154233,0.9998280134417816,2.865391473629711,0.0115182706477235,21.29237358589062,16.0,16.0,0.0,5.25220974807348e-08,0.0001188073153979,8.589339769882187e-05,0.412825101549338,9.88525672147343,118.60581983393058,13.6047,5139.0,,104.0,329.014355580288,-52.4637585362591,,,0.9701520472890671
