host,gaia_teff,gaia_status,gaia_distance_pc,simbad_sptype,simbad_parallax_mas,simbad_status,stellar_param_flags,stellar_param_verified_clean,stellar_param_could_be_checked
TIC_447400458,4548.080078125,Success,224.602294921875,,,Not found in SIMBAD,,True,True
TIC_50010670,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,M0III,3.1201,Success,,True,True
TIC_335150213,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,,Not found in SIMBAD,,False,False
TIC_420437359,4804.0576171875,Success,173.99330139160156,,,Not found in SIMBAD,,True,True
TIC_402453271,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,K1IIb,3.8484,Success,,True,True
TIC_394134589,,No Gaia match within 5 arcsec,,M0.5V,53.2805,Success,,True,True
TIC_314017939,4745.21826171875,Success,44.26430130004883,K0III,22.6081,Success,,True,True
TIC_71379213,4491.27099609375,Success,636.5465087890625,K2II/III,1.533,Success,,True,True
TIC_301690351,4914.9384765625,Success,94.1313018798828,K0/1III,10.4684,Success,,True,True
TIC_222012610,,No Gaia match within 5 arcsec,,G5VFe-1.2CH-0.9,43.2721,Success,,True,True
TIC_363268904,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,K0.5IIbCN1,3.2585,Success,,True,True
TIC_341228186,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,K3III,4.2347,Success,,True,True
TIC_161265576,4835.27099609375,Success,193.19090270996097,K1III,4.9819,Success,,True,True
TIC_342147222,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,,Not found in SIMBAD,,False,False
TIC_120442975,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,21.1656,Success,,False,False
TIC_148157626,4238.10986328125,Success,157.50770568847656,,,Not found in SIMBAD,,True,True
TIC_319768482,4620.7646484375,Success,453.0185852050781,K1III,2.2033,Success,,True,True
TIC_160413824,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,K1/2III,1.7517,Success,,True,True
TIC_403153811,3928.293701171875,Success,96.40180206298828,,,Not found in SIMBAD,,True,True
TIC_213158282,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,K2/3III,3.8101,Success,,True,True
TIC_220506705,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,M3III,1.486,Success,,True,True
TIC_235006943,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,2.173,Success,,False,False
TIC_402457337,4642.076171875,Success,278.410400390625,,,Not found in SIMBAD,,True,True
TIC_394633233,4531.53369140625,Success,298.40838623046875,K4III,2.9698,Success,,True,True
TIC_230953185,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,K1III,8.6669,Success,,True,True
TIC_160702612,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,0.7151,Success,,False,False
TIC_352352778,4505.78955078125,Success,758.6414794921875,G8/K1(III),1.4932,Success,,True,True
TIC_69511960,3277.644287109375,Success,138.47430419921875,,,Not found in SIMBAD,,True,True
TIC_234289408,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,,Not found in SIMBAD,,False,False
TIC_447605389,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,,Not found in SIMBAD,,False,False
TIC_406280054,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,sdB,0.8352,Success,,False,False
TIC_327710327,,No Gaia match within 5 arcsec,,M2.5V,29.7294,Success,,True,True
TIC_273366457,14279.3486328125,Success,9696.2060546875,B/sdB,0.2249,Success,TIC Teff (31000K) vs Gaia teff_gspphot (14279K) disagree by 54%,False,True
TIC_465765802,3572.290771484375,Success,139.82679748535156,,,Not found in SIMBAD,,True,True
TIC_425907353,3713.057861328125,Success,318.72491455078125,M2III,3.0123,Success,,True,True
TIC_199730918,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,K1/2III,8.1539,Success,,True,True
TIC_345087856,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,,Not found in SIMBAD,,False,False
TIC_406321525,4570.1376953125,Success,445.8304138183594,K1III,2.2318,Success,,True,True
TIC_219139751,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,K5III,2.3646,Success,,True,True
TIC_303990872,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,,1.2858,Success,,False,False
TIC_394137224,,Gaia match found but no teff_gspphot available (star may be too bright/faint for this pipeline),,M3.0Ve,27.1566,Success,,True,True
